Time, X, Y, Z
0,-0.1739637,0.8780785,0.2155559
0.000213623,-0.1739426,0.8781497,0.2155968
0.01106262,-0.17394,0.8781821,0.2156079
0.02000427,-0.1739639,0.8781856,0.2156108
0.02223206,-0.1739764,0.8781721,0.2156059
0.0335083,-0.1740859,0.8782622,0.2156253
0.03999329,-0.174132,0.8782963,0.2155828
0.04476929,-0.174157,0.8782993,0.2155221
0.05593872,-0.1741967,0.8782626,0.2154472
0.05999756,-0.1742057,0.8782353,0.2154188
0.0668335,-0.1742464,0.8781849,0.2153478
0.07789612,-0.1743744,0.8781538,0.2152427
0.08000183,-0.1744114,0.8781406,0.2151965
0.08914185,-0.1744836,0.8781863,0.2150479
0.1000061,-0.1745551,0.8781372,0.2148475
0.1001282,-0.1745555,0.8781368,0.2148466
0.111145,-0.1745644,0.8781193,0.214715
0.1199951,-0.1746062,0.8781503,0.2145984
0.1223297,-0.1746215,0.8781624,0.2145452
0.1335754,-0.1746086,0.8781695,0.2143958
0.1399994,-0.1745793,0.878177,0.2143123
0.1446381,-0.1745465,0.8781908,0.2142422
0.1555786,-0.1744918,0.8781892,0.2141285
0.1600037,-0.1744729,0.8781936,0.2140789
0.166748,-0.1744707,0.8781602,0.2140062
0.1778717,-0.174409,0.8781356,0.2139128
0.1799927,-0.1743923,0.8781322,0.2138911
0.1887817,-0.174351,0.8780259,0.2138022
0.1998596,-0.1742129,0.878001,0.2136969
0.1999969,-0.1742105,0.8780013,0.2136954
0.2111816,-0.174109,0.877874,0.2135275
0.2200012,-0.1740471,0.8776995,0.2134329
0.2225189,-0.1740306,0.8776485,0.2134006
0.2333374,-0.174031,0.8773746,0.2132023
0.2400055,-0.1739949,0.877255,0.2130483
0.2445221,-0.1739359,0.8771946,0.2129267
0.2555847,-0.1738884,0.8770775,0.2127325
0.2599945,-0.1739046,0.8770527,0.2126958
0.2668762,-0.1739817,0.8769778,0.2126367
0.2777863,-0.1741489,0.8769404,0.21255
0.2799988,-0.1741833,0.8769257,0.2125237
0.2887268,-0.1743081,0.8768804,0.2124024
0.2998962,-0.1743908,0.8768814,0.2123659
0.3000031,-0.1743915,0.8768816,0.2123658
0.3109894,-0.1744665,0.8768253,0.2123143
0.3199921,-0.174408,0.8767278,0.2123001
0.3222198,-0.1743838,0.8767019,0.2122977
0.3332672,-0.1743129,0.8765696,0.2122335
0.3399963,-0.174282,0.8764974,0.2121856
0.3443451,-0.1742612,0.8764557,0.2121578
0.3554382,-0.1741232,0.8764569,0.2121396
0.3600006,-0.1740909,0.8764899,0.2121169
0.3665314,-0.1741545,0.876562,0.2120232
0.3776703,-0.1741192,0.876621,0.2120925
0.3800049,-0.1740983,0.8766353,0.2121145
0.3888855,-0.1740811,0.8766812,0.2121467
0.3998718,-0.1740727,0.8767437,0.2122097
0.3999939,-0.174073,0.8767439,0.2122104
0.4108734,-0.174092,0.8767375,0.2121944
0.4199982,-0.1741195,0.8767442,0.2121939
0.4222717,-0.1741355,0.8767529,0.2122049
0.4332733,-0.174132,0.8766918,0.2121568
0.4400024,-0.1741455,0.8766782,0.2121163
0.4444275,-0.1741764,0.8767051,0.2120872
0.4554749,-0.1742874,0.8766707,0.2120538
0.4599915,-0.174347,0.8766446,0.212036
0.4666901,-0.1744427,0.8766056,0.2120009
0.4777679,-0.1745661,0.8765797,0.2119819
0.4799957,-0.1745862,0.8765832,0.211992
0.4888458,-0.1745928,0.8764899,0.2119782
0.4998932,-0.1746109,0.8764756,0.2119813
0.5,-0.1746083,0.8764803,0.2119862
0.5110016,-0.1746006,0.87648,0.212023
0.5200043,-0.1745833,0.8764385,0.2120492
0.5221863,-0.1745812,0.8764364,0.2120593
0.5332947,-0.1745538,0.8764062,0.2120745
0.5399933,-0.1745103,0.8764306,0.2120866
0.5443268,-0.174464,0.8764799,0.2121009
0.5553589,-0.1743605,0.8765398,0.2121426
0.5599976,-0.1743323,0.8765494,0.2121554
0.5665283,-0.1743012,0.8765617,0.2122073
0.5776978,-0.1742531,0.8765623,0.2122771
0.5800018,-0.174243,0.8765616,0.2122924
0.5888367,-0.1742336,0.8766419,0.212346
0.5998993,-0.1741217,0.876743,0.2123717
0.6000061,-0.1741205,0.8767465,0.212373
0.6111908,-0.1740488,0.8768258,0.2124386
0.6199951,-0.174029,0.8768398,0.2125653
0.6221313,-0.1740256,0.876839,0.2126009
0.6331482,-0.1740593,0.8768428,0.2126984
0.6399994,-0.1740629,0.8768574,0.2127935
0.6442108,-0.1740457,0.8768705,0.2128861
0.6554108,-0.1740999,0.8769095,0.2129854
0.6600037,-0.1741005,0.8769304,0.2130384
0.6665039,-0.1740169,0.8769832,0.213152
0.6775513,-0.1740839,0.8771181,0.2133151
0.6799927,-0.174115,0.8771552,0.213355
0.6888885,-0.1741324,0.8772963,0.2135588
0.6996613,-0.1741392,0.8774168,0.213747
0.6999969,-0.1741455,0.8774129,0.213739
0.7109222,-0.174234,0.8775272,0.2138752
0.7200012,-0.1742924,0.8775686,0.2139508
0.7220612,-0.1743017,0.8775706,0.2139632
0.7331238,-0.1744144,0.8776001,0.214033
0.7400055,-0.1745313,0.8776556,0.2140871
0.7442474,-0.1746209,0.8777305,0.2141469
0.7553558,-0.1748647,0.8780028,0.2142901
0.7599945,-0.1750466,0.8780715,0.2143573
0.7664642,-0.1753662,0.8782319,0.2144922
0.7777252,-0.1757936,0.878689,0.2146199
0.7799988,-0.1758901,0.8788099,0.214638
0.78862,-0.1763703,0.8792313,0.214623
0.7996063,-0.1767393,0.8798306,0.2145956
0.8000031,-0.1767846,0.8799006,0.2145774
0.8113403,-0.1774286,0.8808421,0.2144253
0.8199921,-0.1779841,0.8815073,0.2141822
0.8220978,-0.1781209,0.8816653,0.2141172
0.8330231,-0.1788221,0.882549,0.2138102
0.8399963,-0.1793764,0.8833312,0.2134106
0.8441315,-0.1797472,0.8838748,0.2131027
0.8554688,-0.1806531,0.8856283,0.2125112
0.8600006,-0.1810695,0.8864035,0.2122959
0.8665771,-0.1819519,0.8878347,0.2116968
0.8774414,-0.1829453,0.8903111,0.2103788
0.8800049,-0.1831645,0.8910255,0.2099962
0.8885345,-0.1839083,0.8938476,0.2085949
0.8996277,-0.1844762,0.897095,0.2071662
0.8999939,-0.1843803,0.8972689,0.2071309
0.9109955,-0.1843142,0.9016958,0.2055102
0.9199982,-0.1841226,0.905297,0.2036937
0.9221497,-0.1840923,0.9062161,0.2031501
0.933075,-0.1838419,0.9098382,0.2006747
0.9400024,-0.1836947,0.9125434,0.1985815
0.9440918,-0.1835731,0.9145067,0.1970643
0.9553223,-0.183278,0.9183772,0.1933812
0.9599915,-0.1830168,0.9203504,0.1915179
0.966629,-0.1821685,0.9237751,0.1887965
0.9775238,-0.1808452,0.9282943,0.1849968
0.9799957,-0.1804187,0.9295783,0.1841036
0.9885559,-0.1787144,0.9345831,0.1807247
0.9996948,-0.1763646,0.9403067,0.1769734
1,-0.1761321,0.9406565,0.1770677
1.010788,-0.17356,0.9476038,0.1740621
1.020004,-0.1721108,0.952636,0.1722038
1.021927,-0.1718355,0.9536278,0.1718343
1.033112,-0.1706757,0.9584687,0.1692603
1.039993,-0.1701557,0.9611486,0.1670048
1.044083,-0.169875,0.9630635,0.165139
1.055115,-0.169534,0.9669802,0.1606325
1.059998,-0.1694669,0.9689177,0.158176
1.066284,-0.1694541,0.9717973,0.1545727
1.077393,-0.1691031,0.9763833,0.1485993
1.080002,-0.1688709,0.9775343,0.1470243
1.088425,-0.1680563,0.9816512,0.1415079
1.099823,-0.1673862,0.9858251,0.1354209
1.100006,-0.1674009,0.9857625,0.1355423
1.110809,-0.1668721,0.9897017,0.1298938
1.119995,-0.166589,0.992381,0.1259394
1.121948,-0.1665305,0.9929508,0.1250935
1.132965,-0.1663942,0.9959731,0.1202998
1.139999,-0.1664975,0.9976274,0.1168879
1.144104,-0.1663281,0.9988672,0.1143425
1.155197,-0.1658187,1.001296,0.1093298
1.160004,-0.1654901,1.00242,0.1070847
1.166351,-0.1646729,1.004372,0.1035081
1.177429,-0.1631308,1.007301,0.09751946
1.179993,-0.162558,1.008,0.09594598
1.188583,-0.1603585,1.010661,0.09022854
1.199707,-0.1566838,1.013501,0.08378826
1.199997,-0.156585,1.013578,0.08362097
1.210846,-0.1526762,1.016349,0.07807744
1.220001,-0.1500201,1.017934,0.07342637
1.221954,-0.1494417,1.018268,0.07234861
1.232819,-0.147076,1.019576,0.06709072
1.240005,-0.1455769,1.020361,0.06272274
1.244034,-0.1445372,1.020934,0.05973426
1.255173,-0.1424855,1.021277,0.05310801
1.259995,-0.1414344,1.02156,0.05031794
1.266174,-0.1397302,1.022073,0.04676062
1.277267,-0.1364206,1.02282,0.04190789
1.279999,-0.1355749,1.023103,0.04066609
1.288559,-0.1325991,1.024018,0.03629559
1.299545,-0.1280222,1.024387,0.03119436
1.300003,-0.1278368,1.024403,0.03096513
1.310577,-0.1234005,1.02467,0.02569064
1.319992,-0.1197881,1.024837,0.02162935
1.321777,-0.1190972,1.024868,0.02085023
1.332977,-0.1151789,1.024727,0.01750097
1.339996,-0.1124194,1.024773,0.01527885
1.344086,-0.1106748,1.024692,0.01384105
1.355118,-0.1073657,1.024473,0.01070142
1.360001,-0.1058776,1.024294,0.009276673
1.366348,-0.1037632,1.02392,0.007400677
1.377335,-0.1010352,1.023515,0.005065024
1.380005,-0.1004258,1.023454,0.004539788
1.388412,-0.09817937,1.023144,0.002552703
1.399673,-0.09593855,1.023248,0.0004383028
1.399994,-0.09586877,1.02325,0.0003758967
1.410736,-0.09335507,1.023328,-0.001638651
1.419998,-0.09114618,1.023116,-0.00306806
1.421707,-0.09073284,1.023074,-0.003331199
1.433197,-0.08842707,1.022696,-0.004801318
1.440002,-0.08683141,1.022643,-0.005789816
1.443985,-0.08575267,1.022542,-0.006467327
1.455063,-0.08349661,1.022393,-0.007728428
1.459991,-0.08243886,1.022285,-0.008339852
1.466095,-0.08095514,1.022061,-0.009234488
1.477158,-0.0790612,1.021696,-0.01065099
1.479996,-0.07844717,1.021329,-0.01105851
1.488464,-0.07661878,1.020355,-0.01227881
1.499573,-0.0747959,1.019245,-0.01351139
1.5,-0.074724,1.019201,-0.01356092
1.510544,-0.07297992,1.017871,-0.0150108
1.520004,-0.07167123,1.016446,-0.01612473
1.521683,-0.0714421,1.016194,-0.01632251
1.532959,-0.07000419,1.014779,-0.01736251
1.539993,-0.06909516,1.013628,-0.01795053
1.543976,-0.06852507,1.012848,-0.01826067
1.554901,-0.06727719,1.011134,-0.0188559
1.559998,-0.06667025,1.010249,-0.01906458
1.56604,-0.06587572,1.009047,-0.01929431
1.577057,-0.06468673,1.007209,-0.01958902
1.580002,-0.06434282,1.00665,-0.01966959
1.588287,-0.06336752,1.00503,-0.01989521
1.599457,-0.06220172,1.003295,-0.02005938
1.600006,-0.06213693,1.003203,-0.02006686
1.610611,-0.06082296,1.001353,-0.02003071
1.619995,-0.05985473,0.9997102,-0.02017666
1.621536,-0.05969627,0.999447,-0.02020361
1.632813,-0.05832754,0.9973352,-0.02026804
1.639999,-0.05754363,0.9956421,-0.02011502
1.643845,-0.05698626,0.9945779,-0.020013
1.655014,-0.05576971,0.9921186,-0.01983887
1.660004,-0.05524203,0.9907771,-0.0196768
1.666016,-0.05451738,0.9888653,-0.01939659
1.677261,-0.05332493,0.9858437,-0.01914857
1.679993,-0.05308161,0.9850262,-0.01909705
1.688339,-0.05220388,0.9824965,-0.01871006
1.699402,-0.05133951,0.979879,-0.01822157
1.699997,-0.0512904,0.9797295,-0.0181932
1.710464,-0.0504261,0.9768913,-0.01761062
1.720001,-0.0497499,0.9744435,-0.01704118
1.721634,-0.04963243,0.9740049,-0.01693963
1.732773,-0.04895318,0.9716566,-0.01642057
1.740005,-0.04845488,0.9699271,-0.01586568
1.743805,-0.04808773,0.9688429,-0.0156039
1.754852,-0.04738125,0.9664987,-0.01517102
1.759995,-0.04700565,0.9655442,-0.01494837
1.766083,-0.0464644,0.9642122,-0.01465054
1.777283,-0.04539464,0.9625084,-0.01362231
1.779999,-0.04520221,0.9621713,-0.01319149
1.788147,-0.04453709,0.96094,-0.01218702
1.799332,-0.04368018,0.9596037,-0.01090881
1.800003,-0.04362062,0.959516,-0.01082177
1.810425,-0.0428302,0.9588008,-0.009517893
1.819992,-0.04247943,0.9584657,-0.008039832
1.821533,-0.04241257,0.958406,-0.007797748
1.832657,-0.04229563,0.9583311,-0.006571203
1.839996,-0.04242517,0.9583908,-0.005537361
1.84375,-0.0425423,0.9584036,-0.004786089
1.855225,-0.0428483,0.9584758,-0.003038466
1.860001,-0.043036,0.9585499,-0.002236515
1.866058,-0.04335395,0.9586447,-0.001091018
1.877243,-0.04403833,0.9592282,0.0005249381
1.880005,-0.04434114,0.9593314,0.0009753704
1.888229,-0.04516584,0.9598243,0.002469465
1.899277,-0.04622262,0.9604394,0.004162386
1.899994,-0.04630068,0.9604846,0.004285082
1.910355,-0.0475449,0.9614824,0.006164521
1.919998,-0.04894304,0.9623715,0.007567391
1.921509,-0.04912906,0.9624886,0.007760853
1.932907,-0.0506077,0.9636446,0.008966476
1.940002,-0.05170929,0.9646174,0.00993152
1.94487,-0.0526436,0.9654794,0.01077706
1.955505,-0.05433458,0.9672785,0.01207978
1.959991,-0.05525583,0.968282,0.01268552
1.965851,-0.05659983,0.9697584,0.01362458
1.977158,-0.05865557,0.9722114,0.01514043
1.979996,-0.05921006,0.972886,0.01556599
1.988052,-0.06124596,0.9749337,0.01713952
1.999207,-0.06357309,0.9772007,0.01867366
2,-0.06375206,0.9773715,0.01879206
2.010254,-0.06635476,0.9798028,0.02045551
2.020004,-0.06904373,0.9820094,0.02207322
2.0215,-0.0694265,0.982419,0.02239415
2.032471,-0.07230323,0.9848368,0.02417579
2.039993,-0.07451076,0.9865921,0.0255861
2.04361,-0.07584335,0.9876341,0.02647172
2.054672,-0.07913722,0.9898521,0.0286447
2.059998,-0.08102736,0.9913065,0.02988413
2.065918,-0.08336565,0.9931178,0.03142856
2.07695,-0.08697621,0.9962108,0.03370082
2.080002,-0.08809929,0.9972456,0.034398
2.088226,-0.09140992,0.9998781,0.03663771
2.099091,-0.09535818,1.00273,0.03940433
2.100006,-0.09572672,1.002976,0.03970399
2.110229,-0.100218,1.006084,0.04328039
2.119995,-0.1046546,1.008801,0.0470587
2.121368,-0.1054757,1.008958,0.04765072
2.132568,-0.1106282,1.011478,0.05178741
2.139999,-0.1145885,1.013018,0.05496514
2.143631,-0.1170573,1.013861,0.05693683
2.154755,-0.1223748,1.01613,0.0611853
2.160004,-0.1251121,1.017357,0.06356585
2.166122,-0.1289157,1.018863,0.06670395
2.17688,-0.1343457,1.02088,0.07082658
2.179993,-0.1361425,1.021522,0.07211779
2.187973,-0.1411358,1.022975,0.0754704
2.19902,-0.1469335,1.024272,0.07945469
2.199997,-0.1474968,1.024355,0.0798849
2.210236,-0.1538465,1.025482,0.08462888
2.220001,-0.1592636,1.026168,0.08900005
2.221481,-0.1600521,1.026296,0.08965312
2.232407,-0.1652872,1.027039,0.09413746
2.240005,-0.1694845,1.027459,0.09758386
2.243698,-0.1721665,1.027703,0.09974611
2.254684,-0.1777607,1.028103,0.1045412
2.259995,-0.1807929,1.027992,0.1070973
2.265778,-0.1847549,1.027764,0.1102687
2.276932,-0.1909772,1.027209,0.1150762
2.279999,-0.1928394,1.027019,0.1165145
2.287933,-0.1979677,1.026439,0.1206907
2.299026,-0.2036711,1.025831,0.1251481
2.300003,-0.2042893,1.025745,0.1255454
2.310333,-0.2110094,1.024813,0.1303972
2.319992,-0.2164755,1.023895,0.1345107
2.321518,-0.2173082,1.023746,0.1351257
2.332413,-0.2233086,1.02251,0.139353
2.339996,-0.2277329,1.021376,0.1424845
2.343475,-0.2302849,1.020689,0.1443088
2.354523,-0.2362535,1.018866,0.1482654
2.360001,-0.2388608,1.018082,0.1497715
2.365936,-0.2424317,1.016703,0.1518686
2.376755,-0.2474985,1.014849,0.1546932
2.380005,-0.2491065,1.014263,0.1555513
2.387955,-0.2532071,1.012581,0.1576551
2.398987,-0.2578043,1.010466,0.1602979
2.399994,-0.2582395,1.010253,0.1604358
2.410126,-0.263115,1.007892,0.16292
2.419998,-0.2673161,1.005655,0.1650844
2.421249,-0.2678128,1.005381,0.165337
2.432327,-0.2719387,1.00303,0.167142
2.440002,-0.2746675,1.001365,0.1685376
2.443573,-0.2762718,1.000386,0.169396
2.454529,-0.2795992,0.998138,0.1715924
2.459991,-0.2813378,0.9969429,0.1725628
2.46579,-0.2834883,0.9954939,0.1738241
2.476852,-0.2865965,0.9933162,0.175472
2.479996,-0.2875056,0.9926497,0.1759738
2.487869,-0.2899266,0.9907837,0.1775655
2.498901,-0.2925814,0.9885659,0.1789403
2.5,-0.2929154,0.9883088,0.179027
2.510086,-0.2959737,0.985763,0.1803014
2.520004,-0.2986697,0.983276,0.1812686
2.521225,-0.2990123,0.982955,0.1813885
