Time, X, Y, Z
0,0.2056255,0.895281,0.1527435
0.000213623,0.2056121,0.8953791,0.1527993
0.01106262,0.2055975,0.8954163,0.1528299
0.02000427,0.205521,0.8953328,0.1528139
0.02223206,0.2054897,0.8952892,0.1527973
0.0335083,0.2053414,0.8950924,0.152732
0.03999329,0.2052514,0.8949247,0.1526437
0.04476929,0.205221,0.8948048,0.1525634
0.05593872,0.2051714,0.8945397,0.1524328
0.05999756,0.2051436,0.8944225,0.1523815
0.0668335,0.205068,0.8942043,0.152281
0.07789612,0.2050086,0.8938757,0.1521274
0.08000183,0.2050188,0.8939967,0.1522416
0.08914185,0.2050425,0.8940645,0.1522908
0.1000061,0.2050953,0.8940632,0.1523079
0.1001282,0.2050956,0.8940631,0.152308
0.111145,0.205155,0.8941615,0.1524354
0.1199951,0.2051867,0.8942548,0.1525539
0.1223297,0.2051873,0.8943045,0.1526033
0.1335754,0.2052436,0.8944659,0.1527522
0.1399994,0.2052795,0.894575,0.1528444
0.1446381,0.2052952,0.8946787,0.1529233
0.1555786,0.2053328,0.8947936,0.1529992
0.1600037,0.2053331,0.8948203,0.1530347
0.166748,0.2053036,0.8948148,0.153115
0.1778717,0.2053245,0.8948148,0.1531971
0.1799927,0.20534,0.8948172,0.1532126
0.1887817,0.2053857,0.8947341,0.1532416
0.1998596,0.2055181,0.8947244,0.1532268
0.1999969,0.2055203,0.8947248,0.1532265
0.2111816,0.2056154,0.8946478,0.1532329
0.2200012,0.205651,0.894573,0.1531781
0.2225189,0.2056611,0.8945447,0.1531619
0.2333374,0.2056926,0.8944443,0.1531145
0.2400055,0.2057349,0.8943663,0.1530399
0.2445221,0.2057867,0.8943099,0.152949
0.2555847,0.2058361,0.8941813,0.1528473
0.2599945,0.2058359,0.8941301,0.1528247
0.2668762,0.205789,0.8940141,0.152822
0.2777863,0.2057358,0.8939362,0.1527973
0.2799988,0.2057255,0.8939236,0.1527968
0.2887268,0.2056898,0.8938289,0.1527117
0.2998962,0.2056959,0.8937946,0.1526816
0.3000031,0.2056961,0.8937945,0.1526816
0.3109894,0.2057837,0.8936702,0.1525751
0.3199921,0.2058711,0.8936365,0.1525079
0.3222198,0.2058906,0.8936219,0.1524958
0.3332672,0.2059427,0.8935657,0.1524248
0.3399963,0.2059531,0.8935432,0.1523831
0.3443451,0.2059516,0.8935332,0.1523571
0.3554382,0.2059851,0.8935764,0.1523631
0.3600006,0.2059667,0.8935931,0.1523401
0.3665314,0.2058285,0.8936041,0.1522805
0.3776703,0.2057709,0.8937647,0.1523191
0.3800049,0.2057779,0.8938041,0.1523266
0.3888855,0.2057057,0.893868,0.1523104
0.3998718,0.205593,0.8939129,0.1522965
0.3999939,0.2055913,0.8939129,0.1522963
0.4108734,0.2054372,0.8938835,0.1522227
0.4199982,0.2053344,0.8938903,0.1522028
0.4222717,0.2053187,0.8938789,0.1522121
0.4332733,0.205288,0.8938043,0.1521631
0.4400024,0.2052717,0.8937951,0.1521316
0.4444275,0.2052455,0.8938242,0.1521147
0.4554749,0.2051524,0.8938329,0.1521098
0.4599915,0.2051256,0.8937944,0.1520791
0.4666901,0.2050735,0.8937577,0.1520287
0.4777679,0.2050271,0.8937321,0.1519877
0.4799957,0.2050261,0.8937346,0.1519904
0.4888458,0.2050401,0.8936664,0.1519044
0.4998932,0.2050458,0.8937113,0.1519182
0.5,0.2050518,0.8937145,0.151916
0.5110016,0.2051308,0.8937339,0.1518651
0.5200043,0.2051595,0.8937728,0.1518645
0.5221863,0.2051665,0.8937773,0.1518625
0.5332947,0.2052094,0.8937608,0.151805
0.5399933,0.2052569,0.893813,0.151769
0.5443268,0.2053043,0.8938899,0.1517438
0.5553589,0.2054129,0.8940719,0.151763
0.5599976,0.2054545,0.8941481,0.1517782
0.5665283,0.2054979,0.894273,0.1518201
0.5776978,0.2055654,0.8943998,0.1518822
0.5800018,0.2055804,0.8944198,0.151897
0.5888367,0.205626,0.8944985,0.1519754
0.5998993,0.2057406,0.8946687,0.1520305
0.6000061,0.2057378,0.8946657,0.1520311
0.6111908,0.2057691,0.8947645,0.1521
0.6199951,0.2057147,0.8948442,0.1522151
0.6221313,0.2056939,0.894862,0.1522454
0.6331482,0.2056097,0.8948112,0.1523315
0.6399994,0.2056068,0.8947557,0.1523783
0.6442108,0.2056277,0.8947281,0.1524234
0.6554108,0.2055494,0.8946345,0.1525551
0.6600037,0.2055251,0.8945655,0.1525797
0.6665039,0.2055891,0.8944804,0.1526139
0.6775513,0.2054979,0.8943826,0.1527322
0.6799927,0.2054598,0.8943593,0.1527644
0.6888885,0.2054157,0.8941582,0.1528204
0.6996613,0.2053951,0.8939588,0.1528184
0.6999969,0.2053967,0.8939421,0.1528038
0.7109222,0.205342,0.8936239,0.1527552
0.7200012,0.2053128,0.8933964,0.1526162
0.7220612,0.2053063,0.8933495,0.1525825
0.7331238,0.2052923,0.8931215,0.1523967
0.7400055,0.2053265,0.8930589,0.1522986
0.7442474,0.2053566,0.8930247,0.1522452
0.7553558,0.2053776,0.8931966,0.1522758
0.7599945,0.2053886,0.8933339,0.1523446
0.7664642,0.2054213,0.8935313,0.1524826
0.7777252,0.2055935,0.8939388,0.1526628
0.7799988,0.2056378,0.8940316,0.1526963
0.78862,0.2057838,0.8942135,0.1527296
0.7996063,0.2060678,0.8945106,0.1528287
0.8000031,0.2060666,0.8945163,0.1528665
0.8113403,0.2063183,0.894806,0.1531536
0.8199921,0.206453,0.8949392,0.153366
0.8220978,0.2064845,0.8949614,0.153415
0.8330231,0.2066194,0.894915,0.1535432
0.8399963,0.2067596,0.8947973,0.1535389
0.8441315,0.2068842,0.8947166,0.1535175
0.8554688,0.2071437,0.8944123,0.1534425
0.8600006,0.2072093,0.8942775,0.1534627
0.8665771,0.2072927,0.8940499,0.1534956
0.8774414,0.2073968,0.8935701,0.1533936
0.8800049,0.2074197,0.8934244,0.1533499
0.8885345,0.2074971,0.8928505,0.1532165
0.8996277,0.2074466,0.8924404,0.1532514
0.8999939,0.2074706,0.8923895,0.1532159
0.9109955,0.2075074,0.8918951,0.1531682
0.9199982,0.207568,0.8917335,0.1531677
0.9221497,0.2075883,0.8917075,0.1531697
0.933075,0.2076965,0.8916049,0.1531705
0.9400024,0.2077524,0.89155,0.1531111
0.9440918,0.2078034,0.8914854,0.1530516
0.9553223,0.2080166,0.8914419,0.1529038
0.9599915,0.2080454,0.8914875,0.1529213
0.966629,0.2081502,0.8914482,0.1529317
0.9775238,0.2083196,0.8915027,0.153082
0.9799957,0.2083595,0.8915116,0.1531183
0.9885559,0.2084912,0.8914925,0.1531918
0.9996948,0.208727,0.8916326,0.1532072
1,0.2086863,0.8916457,0.1531957
1.010788,0.2087587,0.8918447,0.1532229
1.020004,0.2087045,0.8920621,0.1532938
1.021927,0.208686,0.8921093,0.1533107
1.033112,0.2084105,0.8922505,0.153358
1.039993,0.2081097,0.8922914,0.1533739
1.044083,0.2078798,0.8922414,0.1533197
1.055115,0.2073745,0.8920715,0.1532252
1.059998,0.207105,0.8920189,0.1531998
1.066284,0.206627,0.8920656,0.1531679
1.077393,0.2060777,0.892083,0.1529503
1.080002,0.2059597,0.8921104,0.1529066
1.088425,0.2055075,0.8922907,0.1528588
1.099823,0.205175,0.8924486,0.1529826
1.100006,0.2051888,0.8924252,0.1529669
1.110809,0.2047825,0.8926299,0.1530763
1.119995,0.204503,0.8926713,0.1531837
1.121948,0.2044448,0.8926682,0.1532071
1.132965,0.2039082,0.8925546,0.1532026
1.139999,0.2036447,0.8925028,0.1532338
1.144104,0.2035164,0.8924867,0.15327
1.155197,0.203319,0.8924863,0.1533347
1.160004,0.2032464,0.8925177,0.15336
1.166351,0.2031617,0.892696,0.1534216
1.177429,0.2030897,0.8929253,0.1534459
1.179993,0.2030861,0.8929676,0.1534513
1.188583,0.2032498,0.8932459,0.1534944
1.199707,0.2037601,0.8936155,0.1536007
1.199997,0.2037733,0.8936282,0.1536049
1.210846,0.2042901,0.8941575,0.1537705
1.220001,0.2047677,0.8943318,0.1536795
1.221954,0.204882,0.8943599,0.1536472
1.232819,0.2053582,0.8944176,0.1533124
1.240005,0.2056482,0.8944073,0.153048
1.244034,0.2058277,0.8944246,0.1528653
1.255173,0.2061501,0.8943378,0.1523294
1.259995,0.2062978,0.8943189,0.1521401
1.266174,0.2064621,0.8942738,0.1519226
1.277267,0.2067649,0.8942968,0.1516482
1.279999,0.2068557,0.8943367,0.1516195
1.288559,0.207172,0.8944548,0.1514835
1.299545,0.2071995,0.8943948,0.1514251
1.300003,0.2072007,0.8943904,0.151423
1.310577,0.2071247,0.8942906,0.1514117
1.319992,0.2069462,0.8942721,0.1514805
1.321777,0.206906,0.8942676,0.1514931
1.332977,0.2066759,0.8942342,0.1514331
1.339996,0.2065018,0.894087,0.1513564
1.344086,0.2064528,0.8941621,0.1513858
1.355118,0.2063067,0.8943346,0.1514459
1.360001,0.2062021,0.8943999,0.151472
1.366348,0.2059668,0.8944138,0.1515067
1.377335,0.2056432,0.8945751,0.1516747
1.380005,0.2055631,0.8945982,0.1517196
1.388412,0.2052671,0.8946749,0.1518413
1.399673,0.2050358,0.8949176,0.1520361
1.399994,0.2050244,0.8949255,0.1520422
1.410736,0.2047965,0.8951129,0.1521688
1.419998,0.2046184,0.8952395,0.1523313
1.421707,0.2045839,0.8952658,0.1523655
1.433197,0.2044685,0.8954114,0.1525404
1.440002,0.2045701,0.8955352,0.1526167
1.443985,0.2046481,0.8956254,0.1526274
