Time, X, Y, Z
3.940128,-0.25,0.86,0.2
3.940128,-0.25,0.86,0.2
5.940128,-0.25,0.86,0.2
5.940128,-0.25,0.86,0.2
7.920128,-0.25,0.86,0.2
7.920128,-0.25,0.86,0.2
10.26013,-0.25,0.86,0.2
10.26013,-0.25,0.86,0.2
12.48013,-0.25,0.86,0.2
12.48013,-0.25,0.86,0.2
14.66013,-0.25,0.86,0.2
14.66013,-0.25,0.86,0.2
16.82013,-0.25,0.86,0.2
16.82013,-0.25,0.86,0.2
18.98013,-0.25,0.86,0.2
18.98013,-0.25,0.86,0.2
21.06013,-0.25,0.86,0.2
21.06013,-0.25,0.86,0.2
23.26013,-0.25,0.86,0.2
25.54013,-0.25,0.86,0.2
25.54013,-0.25,0.86,0.2
27.52013,-0.25,0.86,0.2
27.52013,-0.25,0.86,0.2
29.94012,-0.25,0.86,0.2
29.94012,-0.25,0.86,0.2
32.16013,-0.25,0.86,0.2
32.16013,-0.25,0.86,0.2
34.26013,-0.25,0.86,0.2
34.26013,-0.25,0.86,0.2
36.30013,-0.25,0.86,0.2
36.30013,-0.25,0.86,0.2
38.70013,-0.25,0.86,0.2
38.70013,-0.25,0.86,0.2
51.80013,-0.25,0.86,0.2
51.80013,-0.25,0.86,0.2
53.74013,-0.25,0.86,0.2
53.74013,-0.25,0.86,0.2
55.96013,-0.25,0.86,0.2
55.96013,-0.25,0.86,0.2
58.26012,-0.25,0.86,0.2
58.26012,-0.25,0.86,0.2
60.00013,-0.25,0.86,0.2
60.00013,-0.25,0.86,0.2
62.56013,-0.25,0.86,0.2
62.56013,-0.25,0.86,0.2
64.86013,-0.25,0.86,0.2
64.86013,-0.25,0.86,0.2
66.90012,-0.25,0.86,0.2
66.90012,-0.25,0.86,0.2
68.96013,-0.25,0.86,0.2
68.96013,-0.25,0.86,0.2
72.72013,-0.25,0.86,0.2
72.72013,-0.25,0.86,0.2
74.76012,-0.25,0.86,0.2
74.76012,-0.25,0.86,0.2
77.24013,-0.25,0.86,0.2
77.24013,-0.25,0.86,0.2
79.44012,-0.25,0.86,0.2
79.44012,-0.25,0.86,0.2
81.42012,-0.25,0.86,0.2
81.42012,-0.25,0.86,0.2
83.46013,-0.25,0.86,0.2
83.46013,-0.25,0.86,0.2
96.04013,-0.25,0.86,0.2
96.04013,-0.25,0.86,0.2
98.04013,-0.25,0.86,0.2
98.04013,-0.25,0.86,0.2
100.3001,-0.25,0.86,0.2
100.3001,-0.25,0.86,0.2
102.1801,-0.25,0.86,0.2
102.1801,-0.25,0.86,0.2
104.2601,-0.25,0.86,0.2
104.2601,-0.25,0.86,0.2
106.3801,-0.25,0.86,0.2
106.3801,-0.25,0.86,0.2
109.5801,-0.25,0.86,0.2
109.5801,-0.25,0.86,0.2
111.5801,-0.25,0.86,0.2
111.5801,-0.25,0.86,0.2
113.6401,-0.25,0.86,0.2
115.7201,-0.25,0.86,0.2
115.7201,-0.25,0.86,0.2
117.6201,-0.25,0.86,0.2
117.6201,-0.25,0.86,0.2
119.5801,-0.25,0.86,0.2
119.5801,-0.25,0.86,0.2
121.6401,-0.25,0.86,0.2
121.6401,-0.25,0.86,0.2
123.6201,-0.25,0.86,0.2
123.6201,-0.25,0.86,0.2
125.6601,-0.25,0.86,0.2
125.6601,-0.25,0.86,0.2
127.5001,-0.25,0.86,0.2
127.5001,-0.25,0.86,0.2
140.7401,-0.25,0.86,0.2
140.7401,-0.25,0.86,0.2
142.6401,-0.25,0.86,0.2
142.6401,-0.25,0.86,0.2
144.6801,-0.25,0.86,0.2
144.6801,-0.25,0.86,0.2
146.6801,-0.25,0.86,0.2
146.6801,-0.25,0.86,0.2
149.8601,-0.25,0.86,0.2
149.8601,-0.25,0.86,0.2
151.8601,-0.25,0.86,0.2
151.8601,-0.25,0.86,0.2
153.8801,-0.25,0.86,0.2
153.8801,-0.25,0.86,0.2
155.8801,-0.25,0.86,0.2
155.8801,-0.25,0.86,0.2
157.9001,-0.25,0.86,0.2
157.9001,-0.25,0.86,0.2
159.9001,-0.25,0.86,0.2
159.9001,-0.25,0.86,0.2
165.1401,-0.25,0.86,0.2
165.1401,-0.25,0.86,0.2
