Time, X, Y, Z
0.0001296997,-0.1771287,0.8705124,0.20815
0.01102448,-0.1769636,0.8704416,0.2082979
0.02013016,-0.1768388,0.8704175,0.2084262
0.02249146,-0.1768889,0.870412,0.2083787
0.03296661,-0.1768327,0.8703785,0.2084596
0.04013062,-0.176825,0.8703668,0.2085284
0.04417419,-0.1768299,0.8703619,0.2085957
0.05521774,-0.1768139,0.8704205,0.2086731
0.06012726,-0.1768067,0.8704524,0.2086855
0.06636429,-0.1767926,0.8705195,0.2087179
0.07775116,-0.1768086,0.8706442,0.2086868
0.08012772,-0.1768156,0.8706753,0.2086752
0.08876419,-0.1768863,0.8707799,0.2087205
0.09978104,-0.1769337,0.870793,0.2087445
0.1001282,-0.1769349,0.8707935,0.2087443
0.1108665,-0.1770634,0.8708034,0.2086966
0.1201286,-0.1773017,0.8707905,0.2086078
0.1220894,-0.1773467,0.8707858,0.2085801
0.1339569,-0.1775818,0.8707714,0.2084032
0.1401291,-0.1777173,0.8707443,0.2082787
0.1440353,-0.1778263,0.8707167,0.2081798
0.1552238,-0.1779246,0.8707262,0.2079511
0.1601295,-0.1779317,0.8706931,0.207853
0.1666145,-0.1779449,0.8706598,0.207717
0.1775856,-0.1778767,0.8706402,0.207708
0.18013,-0.1778501,0.870644,0.2077168
0.18853,-0.1777579,0.8707328,0.2077112
0.1995811,-0.1776773,0.8708587,0.2077882
0.2001305,-0.1776774,0.8708603,0.2077914
0.2107048,-0.1775506,0.8709953,0.2078293
0.2201271,-0.1773518,0.8711965,0.2078794
0.2219582,-0.1773318,0.871223,0.2078788
0.2330322,-0.1771289,0.8713449,0.2078578
0.2401276,-0.1769491,0.8714359,0.2078543
0.2440681,-0.176811,0.871509,0.2078626
0.2551689,-0.1765601,0.8717208,0.2079888
0.260128,-0.1764773,0.8718328,0.2080959
0.2663689,-0.1763113,0.8719633,0.2081817
0.2773285,-0.1761921,0.8721334,0.2082102
0.2801285,-0.1761726,0.8721801,0.2082018
0.2883835,-0.1762341,0.8722754,0.2080968
0.2995605,-0.1762915,0.8723611,0.2079664
0.3001289,-0.1762993,0.8723894,0.2079618
0.3106651,-0.1764965,0.8725514,0.2077384
0.3201294,-0.1767235,0.8725235,0.2075939
0.322834,-0.1767934,0.8725231,0.2075495
0.3329811,-0.1771791,0.8725044,0.2073825
0.3401299,-0.1774372,0.8724881,0.2072546
0.3440933,-0.1775949,0.8724636,0.2071681
0.3550873,-0.1778682,0.872306,0.2068745
0.3601303,-0.1780482,0.8722301,0.2066476
0.3663445,-0.1782276,0.8719156,0.2064357
0.377346,-0.17838,0.8714794,0.2061208
0.380127,-0.178414,0.8713707,0.2060298
0.388401,-0.1784878,0.8707942,0.2056348
0.3994408,-0.1785343,0.8702477,0.2053322
0.4001274,-0.1785143,0.8702693,0.2053619
0.4107628,-0.1782918,0.8699548,0.2052441
0.4201279,-0.1779793,0.8697901,0.2052077
0.4218941,-0.1779248,0.8697666,0.205203
0.4328232,-0.1774962,0.8697267,0.2052551
0.4401283,-0.1771687,0.8697979,0.205337
0.4439621,-0.1769532,0.8698517,0.2053863
0.4549294,-0.1766053,0.8700243,0.2056236
0.4601288,-0.1765041,0.8701364,0.2058133
0.4663239,-0.1762944,0.8702663,0.206021
0.4773636,-0.1760921,0.8705052,0.2063886
0.4801292,-0.1760506,0.8705731,0.2064944
0.4887314,-0.1761087,0.8708048,0.2067868
0.4994087,-0.1759671,0.8710173,0.2071344
0.5001297,-0.175961,0.8710291,0.2071285
0.5106659,-0.175924,0.8713559,0.2074577
0.5201302,-0.1759505,0.8716631,0.207711
0.5218315,-0.1759614,0.8717203,0.2077489
0.5326385,-0.1760691,0.8720964,0.2079362
0.5401306,-0.1761504,0.8723426,0.2080043
0.5439262,-0.1761891,0.8724942,0.2080466
0.5549622,-0.1763301,0.8727597,0.2081852
0.5601273,-0.176431,0.8727789,0.2081525
0.5662193,-0.1765216,0.8728462,0.2080604
0.5774918,-0.1766636,0.8727828,0.2079864
0.5801277,-0.1767028,0.8727536,0.2079538
0.588253,-0.1768005,0.8725605,0.2077202
0.5994225,-0.1768755,0.8724047,0.2075263
0.6001282,-0.1768764,0.8723918,0.2075215
0.6107216,-0.1769192,0.8722335,0.2073668
0.6201286,-0.1769258,0.8720485,0.2071851
0.6216698,-0.1769253,0.8720102,0.2071491
0.6328888,-0.1768936,0.8716332,0.2069149
0.6401291,-0.1768173,0.8713447,0.2067605
0.6438942,-0.1767693,0.8711398,0.2066508
0.6549988,-0.1766797,0.8706553,0.2063712
0.6601295,-0.1766428,0.8704665,0.2063466
0.6662254,-0.1766179,0.8702637,0.2064165
0.6775856,-0.1764732,0.8701364,0.2064737
0.68013,-0.1764424,0.8701244,0.2064902
0.6883621,-0.176305,0.8700585,0.2065336
0.6994476,-0.1761713,0.8699731,0.2067019
0.7001305,-0.1761664,0.8699878,0.2067103
0.7104111,-0.1761527,0.8700855,0.2069261
0.7201271,-0.1761431,0.8702513,0.2071747
0.7218094,-0.1761378,0.8702809,0.207221
0.7327957,-0.176157,0.8705031,0.2074504
0.7401276,-0.1761994,0.8706639,0.2075574
0.7436981,-0.1762352,0.8707612,0.2076281
0.7549171,-0.1762506,0.8709629,0.2077638
0.760128,-0.1762424,0.8710681,0.2077795
0.7660408,-0.1762284,0.8712672,0.2078007
0.7770882,-0.1762614,0.8714721,0.2078094
0.7801285,-0.1762757,0.8715222,0.2077903
0.7882118,-0.1762802,0.8716599,0.2076973
0.7995987,-0.1762284,0.8718668,0.2075758
0.8001289,-0.1762287,0.8718822,0.2075719
0.8106117,-0.1762337,0.8721499,0.207568
0.8201294,-0.1762166,0.872358,0.2075767
0.8215866,-0.176213,0.8723907,0.2075774
0.832592,-0.1761597,0.8725723,0.2075517
0.8401299,-0.1760258,0.8727832,0.2075431
0.8437729,-0.1759152,0.8729516,0.2075563
0.8549538,-0.1757171,0.8733588,0.2075766
0.8601303,-0.1756317,0.8735609,0.2076318
0.8658981,-0.1755917,0.8737805,0.2076927
0.8772163,-0.175542,0.87423,0.2078213
0.880127,-0.1755334,0.8743552,0.2078791
0.8882561,-0.1753828,0.8747516,0.2081194
0.8993607,-0.1752392,0.8753002,0.2082298
0.9001274,-0.1752679,0.8753251,0.2082819
0.9104538,-0.1752529,0.8759526,0.2086547
0.9201279,-0.1751656,0.8762542,0.2089052
0.9215546,-0.1751468,0.8762887,0.2089389
0.9326057,-0.1751256,0.8764865,0.2088768
0.9401283,-0.1752019,0.8764738,0.2088939
0.943943,-0.1752803,0.8764154,0.2088674
0.9548492,-0.1753163,0.8763086,0.2089379
0.9601288,-0.1753013,0.8762442,0.2090026
0.9660568,-0.175299,0.8761404,0.2090644
0.977047,-0.1753258,0.875863,0.2091775
0.9801292,-0.1753431,0.8758065,0.209194
0.9881287,-0.1753993,0.8755235,0.2091807
0.9993896,-0.1755363,0.8751969,0.2090956
1.00013,-0.1755514,0.8751139,0.209116
1.010342,-0.1757667,0.8744038,0.209057
1.02013,-0.1758461,0.8738871,0.2088824
1.021503,-0.1758528,0.8738218,0.2088556
1.032612,-0.175855,0.8732808,0.2086136
1.040131,-0.1758303,0.8730909,0.2086472
1.043739,-0.1758801,0.8729371,0.2087
1.054905,-0.1759596,0.8725961,0.2088087
