Time, X, Y, Z
0.0001296997,0.1650015,0.8904803,0.1891854
0.01102448,0.1651497,0.8905044,0.1890528
0.02013016,0.1652807,0.8905227,0.1890441
0.02249146,0.1652433,0.8905154,0.1890576
0.03296661,0.1653443,0.8905483,0.1890555
0.04013062,0.1653911,0.8905677,0.1890645
0.04417419,0.165414,0.8905762,0.1890783
0.05521774,0.1654651,0.8906757,0.1891226
0.06012726,0.1654962,0.8907334,0.1891498
0.06636429,0.1655442,0.8908319,0.189206
0.07775116,0.1655765,0.8910018,0.1892473
0.08012772,0.1655798,0.8910385,0.189252
0.08876419,0.1655824,0.8911215,0.1893678
0.09978104,0.165653,0.8911244,0.1894437
0.1001282,0.1656557,0.8911246,0.1894464
0.1108665,0.165654,0.8910767,0.1895189
0.1201286,0.1655396,0.8909035,0.1895866
0.1220894,0.1655063,0.8908591,0.1896018
0.1339569,0.1653806,0.8906863,0.1896516
0.1401291,0.1653012,0.8906018,0.1896766
0.1440353,0.1652326,0.8905395,0.1896964
0.1552238,0.1651947,0.8904768,0.1897229
0.1601295,0.1652009,0.8904898,0.189758
0.1666145,0.1652113,0.8905109,0.1898185
0.1775856,0.1653,0.8906874,0.1900641
0.18013,0.1653329,0.8907244,0.1901327
0.18853,0.1654172,0.8908619,0.1902844
0.1995811,0.1654318,0.8910125,0.1904509
0.2001305,0.1654341,0.8910122,0.1904542
0.2107048,0.1655427,0.891136,0.1905138
0.2201271,0.1656935,0.8913554,0.1906387
0.2219582,0.1657116,0.8914068,0.1906538
0.2330322,0.165933,0.8916222,0.1907625
0.2401276,0.1660875,0.89169,0.1908293
0.2440681,0.1661887,0.8917209,0.1908703
0.2551689,0.1663905,0.8916934,0.1909634
0.260128,0.1664604,0.8917462,0.1909626
0.2663689,0.1665871,0.8918556,0.1909561
0.2773285,0.1666437,0.891975,0.1910758
0.2801285,0.1666467,0.8919963,0.1911266
0.2883835,0.1665448,0.8919809,0.1911687
0.2995605,0.1663932,0.8918293,0.1910287
0.3001289,0.1664001,0.8918432,0.1910295
0.3106651,0.1662314,0.8917161,0.1908932
0.3201294,0.1661238,0.891629,0.1908174
0.322834,0.1660861,0.8916153,0.1908016
0.3329811,0.1658586,0.8916514,0.1908559
0.3401299,0.1656555,0.891708,0.1909831
0.3440933,0.1655186,0.8917373,0.1910844
0.3550873,0.1652686,0.8916841,0.1911904
0.3601303,0.1651705,0.8917457,0.1912666
0.3663445,0.1650191,0.8917135,0.1913748
0.377346,0.1648367,0.8916166,0.1914314
0.380127,0.164789,0.8915842,0.1914349
0.388401,0.1647862,0.8913419,0.1912932
0.3994408,0.1647594,0.8911625,0.1912099
0.4001274,0.1647515,0.8911973,0.1912355
0.4107628,0.1647775,0.8911971,0.1911966
0.4201279,0.1649212,0.8912868,0.1912533
0.4218941,0.1649579,0.8913127,0.19128
0.4328232,0.1651163,0.8913552,0.1912912
0.4401283,0.1652139,0.8913912,0.1912754
0.4439621,0.1652839,0.8914151,0.1912611
0.4549294,0.1654339,0.8913507,0.1911415
0.4601288,0.1655194,0.891323,0.1910937
0.4663239,0.1656559,0.8912773,0.1910141
0.4773636,0.1657863,0.8911933,0.1909122
0.4801292,0.165822,0.8911672,0.1908908
0.4887314,0.1658377,0.8910417,0.190876
0.4994087,0.1659825,0.8910249,0.1908799
0.5001297,0.1660006,0.8910292,0.190889
0.5106659,0.1660934,0.8910667,0.190996
0.5201302,0.1662397,0.8911878,0.1912372
0.5218315,0.1662814,0.8912209,0.1913033
0.5326385,0.1663146,0.8913991,0.1915642
0.5401306,0.1663445,0.8915075,0.191731
0.5439262,0.1663755,0.8915844,0.1918343
0.5549622,0.1663569,0.891781,0.1920182
0.5601273,0.1663799,0.8918453,0.1920286
0.5662193,0.16639,0.8919672,0.1920514
0.5774918,0.1663377,0.8921833,0.1921362
0.5801277,0.1663148,0.8922294,0.192161
0.588253,0.1662659,0.8922565,0.1921491
0.5994225,0.1661475,0.8922758,0.192184
0.6001282,0.1661505,0.8922713,0.1921747
0.6107216,0.1661192,0.8922409,0.1921667
0.6201286,0.1661269,0.8922343,0.192182
0.6216698,0.1661281,0.8922396,0.1921902
0.6328888,0.1661396,0.892292,0.1923171
0.6401291,0.1660943,0.8921897,0.1923643
0.6438942,0.1660644,0.8920962,0.1923774
0.6549988,0.1660626,0.8918105,0.1923308
0.6601295,0.1660302,0.8916259,0.1923235
0.6662254,0.1659363,0.8914331,0.1923405
0.6775856,0.1658458,0.8912719,0.1923748
0.68013,0.1658224,0.8912374,0.1923704
