Time, X, Y, Z
0.007369041,-0.1094739,0.9089411,0.1205709
0.01555157,-0.1103529,0.9102134,0.1199985
0.01815605,-0.1107801,0.9106655,0.1197525
0.0293026,-0.1120386,0.912065,0.1189892
0.03555107,-0.1127629,0.9129153,0.118465
0.04037952,-0.1134211,0.9136835,0.1179542
0.05163574,-0.1141078,0.9153183,0.1169052
0.05555153,-0.1143318,0.9160168,0.1162455
0.06264496,-0.11469,0.9172501,0.1146646
0.07371426,-0.1150008,0.918877,0.1124673
0.07555103,-0.1150505,0.9191877,0.1120876
0.08477592,-0.1152517,0.9208464,0.1102173
0.09555149,-0.1158163,0.9226938,0.1081048
0.09589481,-0.115849,0.9227897,0.1079928
0.1070919,-0.1166029,0.9244865,0.1059899
0.115551,-0.1171758,0.9260228,0.1042426
0.118206,-0.1173867,0.9266393,0.1034997
0.1294022,-0.1177444,0.9285439,0.1011975
0.1355515,-0.1177979,0.9297361,0.0997012
0.1406746,-0.1178113,0.9310452,0.09791157
0.1515684,-0.1176363,0.9329585,0.09554312
0.155551,-0.1175165,0.9337255,0.09447776
0.1625614,-0.1174145,0.9352486,0.09230065
0.173687,-0.1178016,0.9367738,0.08984739
0.1755514,-0.1179289,0.9370191,0.08941594
0.1847486,-0.1186123,0.9382682,0.08685626
0.1955509,-0.1194251,0.9394311,0.08442283
0.1958666,-0.119401,0.9393968,0.08448909
0.2070827,-0.119955,0.9410647,0.08167426
0.2155514,-0.1202837,0.94243,0.07937212
0.2181149,-0.1204511,0.9428833,0.07852571
0.2292013,-0.1208109,0.9444113,0.07604745
0.2355518,-0.1207213,0.9456429,0.07474776
0.2403011,-0.1205735,0.9468203,0.07366614
0.2515526,-0.1201443,0.9493188,0.07211691
0.2555513,-0.1197342,0.9503751,0.07102376
0.262455,-0.1190377,0.9522589,0.06940956
0.2736683,-0.117924,0.9544373,0.06700455
0.2755518,-0.1177075,0.9548034,0.0665213
0.2846518,-0.1175058,0.9564974,0.06350011
0.2955513,-0.1175815,0.9578775,0.06005591
0.296277,-0.1175553,0.9579694,0.05947369
0.3070488,-0.1174501,0.9589931,0.05562107
0.3155518,-0.1170098,0.9601793,0.05213171
0.3180408,-0.1167283,0.9606464,0.05066589
0.3291321,-0.1159282,0.9618011,0.04645067
0.3355513,-0.1154273,0.9624603,0.04389575
0.3403349,-0.1149323,0.9630748,0.04158628
0.3514214,-0.1150439,0.9635974,0.03702521
0.3555517,-0.115033,0.9639915,0.03556614
0.3623505,-0.1150356,0.9646285,0.03293648
0.3735456,-0.115089,0.9655554,0.0298153
0.3755512,-0.1151032,0.9657379,0.02923717
0.3845253,-0.1152498,0.9667604,0.02656759
0.3955517,-0.1153471,0.9681957,0.02398422
0.3957672,-0.1152863,0.9682373,0.02377547
0.4070082,-0.1152894,0.9692978,0.0212249
0.4155512,-0.1155,0.9700731,0.01885211
0.4181252,-0.1155902,0.9703798,0.01781598
0.4290705,-0.1156442,0.971194,0.01519646
0.4355516,-0.1155408,0.9716778,0.01376109
0.4401665,-0.1154664,0.9720577,0.0125117
0.4513502,-0.1150793,0.9729685,0.01014386
0.4555511,-0.1149224,0.9732281,0.009263217
0.4624319,-0.11489,0.973798,0.007875413
0.4738264,-0.114987,0.9742386,0.006094947
0.4755516,-0.1150067,0.9742838,0.005802169
0.4846802,-0.1150939,0.9744965,0.004247352
0.4955511,-0.1150934,0.9745998,0.002736032
0.4958372,-0.1149914,0.9746066,0.002767727
0.5069017,-0.1146494,0.9747975,0.001549244
0.5155516,-0.1142481,0.9750436,0.0006115735
0.5180178,-0.114066,0.9751382,0.0002969652
0.5289793,-0.1135163,0.9752946,-0.0005055517
0.5355511,-0.1130093,0.9753115,-0.0009314567
0.540287,-0.1125582,0.975293,-0.001267657
0.5513525,-0.1114984,0.9751109,-0.001947358
0.5555515,-0.1110382,0.97498,-0.002226919
0.5623016,-0.1101983,0.9746994,-0.002728358
0.5735159,-0.1091087,0.9742071,-0.003377438
0.575551,-0.1089003,0.9740896,-0.003495589
0.5847092,-0.1077963,0.9733724,-0.003996715
0.5955515,-0.1066851,0.9726394,-0.004480109
0.5958452,-0.1067162,0.972628,-0.004502341
0.6069269,-0.1058589,0.9719255,-0.004912168
0.615551,-0.1052002,0.9711871,-0.005184084
0.6179266,-0.1049733,0.9708778,-0.005273148
0.6289158,-0.1043075,0.9700491,-0.005290642
0.6355515,-0.1038465,0.9694728,-0.00520736
0.6403399,-0.1034337,0.9689034,-0.005188972
0.6511583,-0.1026843,0.9678897,-0.005071595
0.655551,-0.1023627,0.9674225,-0.004974842
0.6623049,-0.1018626,0.9665922,-0.004696801
0.673358,-0.1011172,0.9654142,-0.004146725
0.6755514,-0.1009663,0.9651564,-0.004003376
0.6847382,-0.1003522,0.9639318,-0.00332585
0.6955509,-0.09999397,0.9625601,-0.002444297
0.6957331,-0.100076,0.9625292,-0.002413467
0.7067785,-0.09990634,0.9614103,-0.001526594
0.7155514,-0.09980027,0.9605305,-0.0007353872
0.7180319,-0.09977605,0.9602041,-0.0004570633
0.7291069,-0.09959906,0.95925,0.0002637953
0.7355518,-0.09946524,0.9585721,0.0007619113
0.7404089,-0.09934904,0.9579851,0.00115487
0.7513409,-0.09926844,0.9571043,0.001874775
0.7555513,-0.09926993,0.9567713,0.002198324
0.7625036,-0.09929425,0.9562187,0.002884001
0.7735415,-0.09938312,0.9554762,0.003766283
0.7755518,-0.09940926,0.9553454,0.00391373
0.7847443,-0.09955084,0.9544107,0.004856929
0.7955513,-0.09949867,0.9537717,0.005495831
0.7957382,-0.09952004,0.9539775,0.005290985
0.8070002,-0.09942357,0.9533861,0.00579831
0.8155518,-0.09938052,0.9529536,0.006131932
0.8180189,-0.09937467,0.9527848,0.006257638
0.8292208,-0.09946318,0.9524174,0.006484196
0.8355513,-0.0995542,0.9522537,0.006566823
0.840414,-0.09964158,0.9521514,0.006673962
0.8513689,-0.09980702,0.9521221,0.006890655
0.8555517,-0.09989286,0.9521526,0.006984457
0.8625698,-0.1004132,0.9524719,0.007069096
0.8735714,-0.1005276,0.9526346,0.007079601
0.8755512,-0.1005824,0.9527433,0.007054806
0.8847322,-0.1009018,0.953252,0.0069433
0.8955517,-0.1013584,0.9537596,0.006688267
0.8958864,-0.1013703,0.9537704,0.006681383
0.9080248,-0.101903,0.9541904,0.006348565
