Time, X, Y, Z
0.007369041,0.1543013,0.9009488,0.09907253
0.01555157,0.1545756,0.9007224,0.09901592
0.01815605,0.154676,0.9006512,0.09903736
0.0293026,0.1550049,0.9005231,0.09905319
0.03555107,0.1552032,0.9004885,0.09905383
0.04037952,0.1553818,0.900472,0.09911968
0.05163574,0.1556925,0.9005449,0.09923054
0.05555153,0.1558257,0.9005944,0.09924012
0.06264496,0.1560817,0.9005604,0.09905967
0.07371426,0.1563732,0.9004653,0.09875113
0.07555103,0.1564314,0.9004454,0.09869665
0.08477592,0.1567965,0.900288,0.0983399
0.09555149,0.1571555,0.9000248,0.097945
0.09589481,0.157173,0.9000104,0.09792392
0.1070919,0.1573663,0.8997777,0.09759307
0.115551,0.1574664,0.8996051,0.09734638
0.118206,0.1574801,0.8995184,0.09726982
0.1294022,0.1575827,0.899259,0.09706333
0.1355515,0.1576258,0.8991171,0.09696375
0.1406746,0.1576382,0.8989139,0.0968423
0.1515684,0.1575107,0.898829,0.09675841
0.155551,0.1574316,0.8988827,0.096765
0.1625614,0.1573246,0.8989437,0.09670292
0.173687,0.15718,0.8990721,0.09674777
0.1755514,0.1571512,0.8991018,0.09677067
0.1847486,0.1570342,0.8992869,0.09684256
0.1955509,0.1569071,0.8994095,0.09704468
0.1958666,0.1569121,0.8994047,0.09703685
0.2070827,0.1567625,0.8995782,0.09730163
0.2155514,0.1566375,0.8997127,0.0974419
0.2181149,0.1565911,0.8997577,0.09747858
0.2292013,0.1564679,0.8998544,0.09771389
0.2355518,0.1563673,0.8998309,0.0978687
0.2403011,0.1562023,0.8997031,0.09793095
0.2515526,0.156084,0.8994981,0.09804063
0.2555513,0.156104,0.8994277,0.09810562
0.262455,0.1560965,0.8993222,0.09819899
0.2736683,0.1561471,0.8991532,0.09826168
0.2755518,0.1561614,0.8991173,0.09826891
0.2846518,0.1561726,0.8989273,0.09828296
0.2955513,0.1561485,0.8988962,0.09840581
0.296277,0.1561385,0.8988767,0.09841204
0.3070488,0.1561474,0.8987447,0.09841321
0.3155518,0.1562566,0.8986987,0.09838252
0.3180408,0.1563428,0.8987066,0.0983713
0.3291321,0.1565137,0.8987029,0.0983763
0.3355513,0.156551,0.8987253,0.09839857
0.3403349,0.1566163,0.8987903,0.09838925
0.3514214,0.1566937,0.8988968,0.09843713
0.3555517,0.1566525,0.8989685,0.09846807
0.3623505,0.1566453,0.8990434,0.09844738
0.3735456,0.1565682,0.8991982,0.09846602
0.3755512,0.1565454,0.8992383,0.0984803
0.3845253,0.1564891,0.8994247,0.09850702
0.3955517,0.1565235,0.8996397,0.09859565
0.3957672,0.1565456,0.8995923,0.09856942
0.4070082,0.1566981,0.8995882,0.09852487
0.4155512,0.1568577,0.8995075,0.09845479
0.4181252,0.1569096,0.8994515,0.09842075
0.4290705,0.1570219,0.8993108,0.09839076
0.4355516,0.1570655,0.8992276,0.09838343
0.4401665,0.1570713,0.8991243,0.09833336
0.4513502,0.1571245,0.8989982,0.09833127
0.4555511,0.1571361,0.8988432,0.09826803
0.4624319,0.1570803,0.8987376,0.09825632
0.4738264,0.1569222,0.8985847,0.09830384
0.4755516,0.1568891,0.8985579,0.09831648
0.4846802,0.1566237,0.8986432,0.09842135
0.4955511,0.1562009,0.8986912,0.09856866
0.4958372,0.156179,0.8987147,0.09857273
0.5069017,0.1558052,0.8988233,0.09874082
0.5155516,0.155544,0.8990135,0.09891295
0.5180178,0.1554325,0.8991297,0.09900272
0.5289793,0.1552778,0.8994057,0.0992498
0.5355511,0.1552692,0.8995575,0.09937575
0.540287,0.1552717,0.8996831,0.09949118
0.5513525,0.1554247,0.8998644,0.09963837
0.5555515,0.1554939,0.8998829,0.09963974
0.5623016,0.1557324,0.899969,0.09956148
0.5735159,0.1560339,0.9000378,0.09945069
0.575551,0.1560819,0.9000415,0.09942886
0.5847092,0.1563908,0.9000026,0.09926862
0.5955515,0.1566519,0.8999707,0.09916982
0.5958452,0.1566425,0.8999539,0.09916948
0.6069269,0.1568514,0.8998716,0.09906496
0.615551,0.1570234,0.8997577,0.09889156
0.6179266,0.1570729,0.8997058,0.09881544
0.6289158,0.1573365,0.8995916,0.09859291
0.6355515,0.1574495,0.8995642,0.09847511
0.6403399,0.1575576,0.8994455,0.09829013
0.6511583,0.1576738,0.899307,0.09798893
0.655551,0.1577006,0.8992703,0.09792645
0.6623049,0.1577749,0.8991517,0.09771846
0.673358,0.1578331,0.8990644,0.09753388
0.6755514,0.1578355,0.8990631,0.09752813
0.6847382,0.1578156,0.8990301,0.09746829
0.6955509,0.1577757,0.8990722,0.09740083
0.6957331,0.1577584,0.8990763,0.0974068
0.7067785,0.1577227,0.8992277,0.09746018
0.7155514,0.1576943,0.8994195,0.09753555
0.7180319,0.1576719,0.8994927,0.09754455
0.7291069,0.1576237,0.8996615,0.09760538
0.7355518,0.157651,0.899709,0.09764729
0.7404089,0.157726,0.8996791,0.09762795
0.7513409,0.157834,0.8995849,0.09764349
0.7555513,0.1578701,0.8995374,0.09766109
0.7625036,0.1579322,0.8994628,0.0976228
0.7735415,0.1579646,0.8992969,0.09754315
0.7755518,0.1579625,0.8992537,0.09752329
0.7847443,0.1579582,0.8989049,0.09739533
0.7955513,0.1579751,0.8986853,0.09741515
0.7957382,0.1579732,0.8987572,0.09740941
0.8070002,0.1579622,0.8984603,0.09729181
0.8155518,0.157923,0.8981785,0.09714094
0.8180189,0.1578987,0.8980637,0.09708348
0.8292208,0.1578608,0.8979373,0.09696198
0.8355513,0.157723,0.8981013,0.09690212
0.840414,0.1576101,0.8982072,0.0968577
0.8513689,0.1574354,0.8984048,0.0969139
0.8555517,0.1573655,0.8984962,0.09696725
0.8625698,0.1570878,0.8986433,0.09709592
0.8735714,0.1570211,0.898717,0.09716535
0.8755512,0.1569974,0.8987499,0.09721808
0.8847322,0.1568404,0.8988673,0.097423
0.8955517,0.1565297,0.898945,0.09773387
0.8958864,0.1565218,0.8989461,0.09774148
0.9080248,0.1562724,0.8987905,0.09807424
0.9155512,0.1561387,0.8986211,0.09823382
0.9187126,0.1560422,0.8985386,0.09833369
0.9290543,0.1561107,0.8982794,0.09855542
0.9355516,0.1561285,0.8980739,0.09872203
0.9399843,0.1561815,0.8979514,0.09870288
0.9510841,0.156248,0.8977876,0.09872112
0.9555511,0.1562876,0.8977251,0.09874089
0.962182,0.1565461,0.8975998,0.09861001
0.9733191,0.1568855,0.8974836,0.09846213
0.9755516,0.1569275,0.8974717,0.09841979
0.984745,0.1571238,0.8974394,0.09829165
0.9954815,0.1572104,0.897458,0.09821092
0.9955511,0.1572107,0.8974583,0.0982103
1.006606,0.1573314,0.8976325,0.09812669
1.015552,0.1574245,0.8978189,0.09806344
1.017635,0.1574444,0.8978672,0.09804308
1.028937,0.1575506,0.8981231,0.09802093
1.035551,0.1575773,0.8983251,0.09797762
1.039934,0.1575823,0.8984414,0.09785691
1.051177,0.1575136,0.8986607,0.09776488
1.055552,0.1574583,0.8987423,0.09776366
1.062116,0.157368,0.8989151,0.09764726
1.073338,0.1572843,0.8991214,0.09763202
1.075551,0.1572582,0.8991339,0.09764446
1.084533,0.1571296,0.8992463,0.09755071
1.095469,0.1569925,0.899315,0.09743863
1.095551,0.1569912,0.8993155,0.09743774
1.106682,0.1568042,0.8993635,0.09733447
1.115551,0.15664,0.8994485,0.09722871
1.11763,0.1565998,0.8994735,0.09719416
1.12882,0.1564367,0.8995661,0.09711593
1.135551,0.1562975,0.8995175,0.09711435
1.139911,0.1562451,0.8994218,0.09710646
1.151009,0.1561285,0.899241,0.09708896
1.155551,0.1560639,0.8991637,0.09709692
1.162174,0.1559817,0.8990975,0.09717801
1.173244,0.1560012,0.8990899,0.0973589
1.175551,0.15601,0.8991166,0.09738219
1.184331,0.1559917,0.8991584,0.09746984
1.195341,0.1559856,0.8991855,0.09754074
1.195551,0.1559856,0.8991859,0.09754209
1.206522,0.1559489,0.8991829,0.0976267
1.215551,0.1558773,0.8992022,0.0977045
1.217588,0.1558659,0.8992189,0.09774832
1.229005,0.155787,0.8993843,0.09800756
1.235551,0.1557101,0.8995261,0.0981901
1.239959,0.1556367,0.8996989,0.09837706
1.250914,0.1555061,0.9000114,0.09874964
1.255551,0.1554919,0.9001226,0.09891875
1.261927,0.1555448,0.9002491,0.0990997
1.273333,0.1554833,0.9002444,0.09950423
1.275552,0.1554156,0.9001859,0.09955721
1.284392,0.1553725,0.9001132,0.09975077
1.295424,0.1552463,0.9000063,0.09998055
1.295551,0.1552436,0.9000049,0.09998411
1.306447,0.1551559,0.8999761,0.1002464
1.315552,0.1551719,0.8999876,0.1004271
1.317785,0.1551601,0.900017,0.1004907
1.328811,0.1552328,0.9001042,0.1007951
1.335551,0.1552554,0.900147,0.1009893
1.339757,0.1553138,0.9001496,0.1010529
1.350958,0.1554716,0.9001799,0.1011875
1.355552,0.1555398,0.9002223,0.1012756
1.362065,0.1556405,0.900225,0.1013621
1.373148,0.1559103,0.9000641,0.101208
1.375551,0.1559873,0.8999876,0.1011472
1.384226,0.1563124,0.8997042,0.1009665
1.395552,0.1566176,0.8995979,0.1008095
1.395614,0.1566204,0.8995978,0.1008081
1.406638,0.1568962,0.8995892,0.1005106
1.415551,0.1570604,0.8996071,0.1003332
1.417671,0.1570933,0.8996405,0.1002571
1.428699,0.1571671,0.8997574,0.09996133
1.435552,0.157161,0.8998097,0.09972548
1.439743,0.1571454,0.8997996,0.09956019
1.450823,0.1570563,0.8997874,0.09920284
1.455551,0.1569779,0.8997695,0.09903306
1.46201,0.1569066,0.8996764,0.09875357
1.473157,0.1567641,0.899624,0.09846996
1.475552,0.1567211,0.8996291,0.09842598
1.484095,0.1566154,0.8995563,0.09817442
1.495399,0.1564806,0.8993979,0.09802744
1.495551,0.1564783,0.8993951,0.09802598
1.506504,0.1562981,0.8991939,0.09806363
1.515552,0.1561991,0.8991243,0.09814221
1.517534,0.1561854,0.899106,0.09816387
1.528543,0.1560795,0.8989732,0.09832822
1.535551,0.1560079,0.898908,0.09844489
1.53968,0.1559889,0.898917,0.09849997
1.5508,0.1559108,0.8990636,0.09862749
1.555552,0.1558651,0.8991488,0.09867567
1.561931,0.1558926,0.8992537,0.09858391
1.57299,0.1559528,0.8994024,0.09855127
1.575551,0.1559692,0.8994412,0.09856609
1.584055,0.1560754,0.8995969,0.09857993
1.5953,0.1563244,0.8996186,0.09840815
1.595551,0.1563316,0.8996173,0.09840232
1.606468,0.1565418,0.8996357,0.09806177
1.615551,0.1566453,0.8996108,0.0977581
1.617479,0.1566594,0.8995957,0.09769729
1.628587,0.1567599,0.8995645,0.09735975
1.635551,0.1568017,0.8995402,0.09713787
1.6397,0.1567749,0.8994817,0.09697251
1.650816,0.156869,0.8994009,0.09670004
1.655551,0.1568982,0.8993318,0.09655394
1.661944,0.1569709,0.899183,0.09636395
1.673002,0.1570067,0.8990444,0.09619336
1.675551,0.1570074,0.8990129,0.09616014
1.684014,0.1569186,0.8989006,0.09606522
1.695233,0.1567659,0.8988258,0.09601083
