Time, X, Y, Z
0.006759644,-0.08828308,0.8871261,0.1050026
0.01086426,-0.08819892,0.8871527,0.1049622
0.02191162,-0.08805116,0.8873397,0.1049471
0.02676392,-0.08797251,0.8874349,0.1049495
0.03300476,-0.08787911,0.8875684,0.1049606
0.04434204,-0.08786647,0.8878035,0.1048376
0.04675293,-0.08791535,0.8878471,0.1048143
0.0552063,-0.08796075,0.8880556,0.1046897
0.06622314,-0.08800401,0.8882508,0.1045058
0.0667572,-0.08800655,0.8882599,0.1044956
0.0774231,-0.0879791,0.8883277,0.1042164
0.08676147,-0.08791088,0.8884879,0.1039755
0.08847046,-0.08790076,0.8885241,0.1039309
0.09959412,-0.08780655,0.8884879,0.1036979
0.1067657,-0.08773097,0.8883801,0.1035331
0.110611,-0.08767013,0.8882716,0.103419
0.1217346,-0.08758631,0.8882287,0.1032358
0.1267548,-0.08756089,0.8882823,0.1031782
0.1329498,-0.08750108,0.8883513,0.1030774
0.144165,-0.08741976,0.8885489,0.1030394
0.146759,-0.08741076,0.8886053,0.1030455
0.1550751,-0.08739804,0.888836,0.1030222
0.1661987,-0.08735265,0.8891337,0.1030576
0.1667633,-0.08734964,0.8891503,0.1030607
0.1773071,-0.08720624,0.8894113,0.1030922
0.1867676,-0.08711571,0.8895445,0.1031347
0.1884766,-0.08710428,0.8895688,0.1031421
0.1996918,-0.0869589,0.8898106,0.1032021
0.2067566,-0.08688676,0.889941,0.1032096
0.2107239,-0.08685984,0.89002,0.1031909
0.2216797,-0.08678894,0.8901014,0.1032478
0.2267609,-0.08679143,0.8901138,0.1032488
0.2330322,-0.08683521,0.8901708,0.1032308
0.2441254,-0.086881,0.8900758,0.1032544
0.2467651,-0.08687261,0.8900125,0.1032426
0.2552032,-0.08688743,0.8899568,0.1031734
0.2661743,-0.08682918,0.8899361,0.1030295
0.2667542,-0.08682469,0.8899353,0.1030208
0.2772675,-0.08664463,0.8898601,0.1028975
0.2867584,-0.08648895,0.8898098,0.1027364
0.2883759,-0.0864615,0.8898008,0.1027043
0.29953,-0.08632234,0.8899196,0.1025258
0.3067627,-0.08631001,0.8900342,0.1023338
0.3107452,-0.08633608,0.8901341,0.1021719
0.3216705,-0.08642705,0.8904172,0.1018534
0.326767,-0.08647776,0.8905334,0.1016808
0.3329926,-0.08657955,0.8906858,0.1014314
0.3440399,-0.08666749,0.8909744,0.1011147
0.346756,-0.08669141,0.8910499,0.1010378
0.3550568,-0.08675848,0.8912628,0.1007615
0.3661346,-0.08683245,0.8913932,0.1004966
0.3667603,-0.08683752,0.8914015,0.1004823
0.3771973,-0.08689904,0.8915505,0.1002455
0.3867645,-0.08692097,0.8917118,0.1001428
0.388382,-0.08693862,0.8917431,0.1001397
0.3993683,-0.08692791,0.8918821,0.1000975
0.4067535,-0.08689752,0.8919976,0.1000704
0.410553,-0.08688366,0.8920897,0.1000473
0.4216461,-0.08683972,0.8922744,0.1000548
0.4267578,-0.08682674,0.8923239,0.1000811
0.4327698,-0.08680679,0.8923528,0.100086
0.443924,-0.08671023,0.8923558,0.1000566
0.4467621,-0.08668903,0.8923693,0.1000467
0.4548798,-0.08648264,0.8922955,0.1000353
0.4661102,-0.08634703,0.8923347,0.1001598
0.4667664,-0.08634114,0.8923427,0.1001706
0.4771729,-0.08613658,0.8923443,0.1002558
0.4867554,-0.0860331,0.8922621,0.1003305
0.4885101,-0.08602948,0.8922701,0.1003539
0.4993896,-0.08582681,0.892364,0.1004069
0.5067596,-0.08568814,0.8924522,0.1004213
0.5104828,-0.08562401,0.8924924,0.1004242
0.5216064,-0.0855225,0.892483,0.1004497
0.5267639,-0.08548808,0.8925037,0.1004618
0.5328827,-0.08547378,0.8926028,0.1004643
0.5438995,-0.08545597,0.8927513,0.1004463
0.5467529,-0.08545176,0.8927932,0.1004399
0.5549927,-0.08538572,0.8929238,0.1004669
0.5660553,-0.08528343,0.8929901,0.1004107
0.5667572,-0.08527514,0.8929942,0.1004041
0.5771942,-0.0852621,0.8931214,0.1003929
0.5867615,-0.08521853,0.8931952,0.1003541
0.5882568,-0.08520858,0.8932011,0.1003462
0.59935,-0.08520529,0.8931538,0.1002653
0.6067657,-0.0851832,0.893091,0.1001889
0.6104431,-0.08515278,0.8930542,0.1001413
0.6218719,-0.08510093,0.8930053,0.100078
0.6267548,-0.08506709,0.892986,0.1000836
0.6326752,-0.08503956,0.8929467,0.1000959
0.6438904,-0.08513489,0.89284,0.1001855
0.646759,-0.08517204,0.8928097,0.1002166
0.6552277,-0.08519031,0.8928494,0.1002721
0.6660461,-0.08508976,0.8929514,0.1002545
0.6667633,-0.08506919,0.8929498,0.1002507
0.6773682,-0.08491006,0.8929889,0.1003025
0.6867676,-0.08478534,0.8930043,0.1003172
0.688324,-0.08476749,0.8930024,0.1003153
0.6994171,-0.08461165,0.8930355,0.1003906
0.7067566,-0.08452307,0.8930159,0.1004533
0.7104034,-0.08448733,0.8929839,0.1004842
0.7214966,-0.08438599,0.8928984,0.1005342
0.7267609,-0.08431545,0.8928088,0.1005512
0.7326202,-0.08428583,0.892713,0.100599
0.7437744,-0.08431621,0.8924617,0.1006918
0.7467651,-0.08433503,0.8923794,0.1007191
0.7548828,-0.08433606,0.8922253,0.1007994
0.7666168,-0.08450633,0.8921044,0.1007469
0.7667542,-0.08453262,0.8920937,0.100757
0.7775421,-0.08468824,0.891935,0.1007947
0.7867584,-0.08476898,0.8917781,0.1007887
0.7881165,-0.08478084,0.8917567,0.1007845
0.7992401,-0.08495758,0.8916281,0.1008178
0.8067627,-0.08513381,0.891525,0.1008142
0.810379,-0.08524381,0.8914675,0.1007969
0.8214874,-0.08539897,0.891412,0.1008305
0.826767,-0.08543029,0.8913802,0.1008636
0.8326263,-0.08552085,0.8914229,0.1008489
0.8437195,-0.08550791,0.8915427,0.1008063
