Time, X, Y, Z
14.29555,-0.15,0.86,0.2
14.29555,-0.15,0.86,0.2
5.100159,-0.15,0.86,0.2
11.98016,-0.15,0.86,0.2
11.98016,-0.15,0.86,0.2
15.74016,-0.15,0.86,0.2
18.60016,-0.15,0.86,0.2
21.52016,-0.15,0.86,0.2
21.52016,-0.15,0.86,0.2
23.86016,-0.15,0.86,0.2
23.86016,-0.15,0.86,0.2
26.36016,-0.15,0.86,0.2
26.36016,-0.15,0.86,0.2
28.68016,-0.15,0.86,0.2
28.68016,-0.15,0.86,0.2
30.88016,-0.15,0.86,0.2
30.88016,-0.15,0.86,0.2
33.12016,-0.15,0.86,0.2
33.12016,-0.15,0.86,0.2
35.50016,-0.15,0.86,0.2
35.50016,-0.15,0.86,0.2
37.74016,-0.15,0.86,0.2
37.74016,-0.15,0.86,0.2
39.76016,-0.15,0.86,0.2
39.76016,-0.15,0.86,0.2
41.92015,-0.15,0.86,0.2
41.92015,-0.15,0.86,0.2
44.20016,-0.15,0.86,0.2
44.20016,-0.15,0.86,0.2
46.50016,-0.15,0.86,0.2
46.50016,-0.15,0.86,0.2
48.66016,-0.15,0.86,0.2
48.66016,-0.15,0.86,0.2
50.92015,-0.15,0.86,0.2
50.92015,-0.15,0.86,0.2
66.04016,-0.15,0.86,0.2
68.46016,-0.15,0.86,0.2
68.46016,-0.15,0.86,0.2
70.14015,-0.15,0.86,0.2
72.74016,-0.15,0.86,0.2
72.74016,-0.15,0.86,0.2
75.02016,-0.15,0.86,0.2
75.02016,-0.15,0.86,0.2
76.94016,-0.15,0.86,0.2
76.94016,-0.15,0.86,0.2
78.74016,-0.15,0.86,0.2
78.74016,-0.15,0.86,0.2
80.66016,-0.15,0.86,0.2
80.66016,-0.15,0.86,0.2
82.46016,-0.15,0.86,0.2
82.46016,-0.15,0.86,0.2
84.40016,-0.15,0.86,0.2
84.40016,-0.15,0.86,0.2
86.30016,-0.15,0.86,0.2
86.30016,-0.15,0.86,0.2
88.26015,-0.15,0.86,0.2
88.26015,-0.15,0.86,0.2
90.08015,-0.15,0.86,0.2
90.08015,-0.15,0.86,0.2
92.00015,-0.15,0.86,0.2
92.00015,-0.15,0.86,0.2
93.80016,-0.15,0.86,0.2
93.80016,-0.15,0.86,0.2
95.74016,-0.15,0.86,0.2
95.74016,-0.15,0.86,0.2
97.66016,-0.15,0.86,0.2
97.66016,-0.15,0.86,0.2
111.9402,-0.15,0.86,0.2
111.9402,-0.15,0.86,0.2
114.1201,-0.15,0.86,0.2
114.1201,-0.15,0.86,0.2
116.7402,-0.15,0.86,0.2
116.7402,-0.15,0.86,0.2
119.9602,-0.15,0.86,0.2
119.9602,-0.15,0.86,0.2
122.0002,-0.15,0.86,0.2
122.0002,-0.15,0.86,0.2
123.9602,-0.15,0.86,0.2
123.9602,-0.15,0.86,0.2
125.9602,-0.15,0.86,0.2
125.9602,-0.15,0.86,0.2
128.0202,-0.15,0.86,0.2
128.0202,-0.15,0.86,0.2
130.1201,-0.15,0.86,0.2
130.1201,-0.15,0.86,0.2
132.1402,-0.15,0.86,0.2
132.1402,-0.15,0.86,0.2
134.1002,-0.15,0.86,0.2
134.1002,-0.15,0.86,0.2
136.1602,-0.15,0.86,0.2
136.1602,-0.15,0.86,0.2
138.6201,-0.15,0.86,0.2
138.6201,-0.15,0.86,0.2
141.6002,-0.15,0.86,0.2
141.6002,-0.15,0.86,0.2
144.1002,-0.15,0.86,0.2
144.1002,-0.15,0.86,0.2
156.6602,-0.15,0.86,0.2
156.6602,-0.15,0.86,0.2
159.2202,-0.15,0.86,0.2
159.2202,-0.15,0.86,0.2
161.1602,-0.15,0.86,0.2
161.1602,-0.15,0.86,0.2
163.1602,-0.15,0.86,0.2
163.1602,-0.15,0.86,0.2
165.1801,-0.15,0.86,0.2
165.1801,-0.15,0.86,0.2
167.2402,-0.15,0.86,0.2
167.2402,-0.15,0.86,0.2
169.7202,-0.15,0.86,0.2
169.7202,-0.15,0.86,0.2
172.1402,-0.15,0.86,0.2
174.3602,-0.15,0.86,0.2
174.3602,-0.15,0.86,0.2
176.4202,-0.15,0.86,0.2
176.4202,-0.15,0.86,0.2
178.4402,-0.15,0.86,0.2
178.4402,-0.15,0.86,0.2
180.5401,-0.15,0.86,0.2
180.5401,-0.15,0.86,0.2
