Time, X, Y, Z
0.0001602173,0.160687,0.9594101,0.06894605
0.0107193,0.1601285,0.9617544,0.06786425
0.02016068,0.1601124,0.9632278,0.06728087
0.02178192,0.1601253,0.9634622,0.06718296
0.03307724,0.1599575,0.965234,0.06597373
0.04015732,0.1598049,0.966367,0.06497243
0.04430389,0.1594655,0.9671448,0.06426015
0.05513763,0.1588554,0.9686353,0.0627972
0.06015778,0.158554,0.9694196,0.06210236
0.06620789,0.1582113,0.9705189,0.06135492
0.07722855,0.1572199,0.9721686,0.06037328
0.08015823,0.1571267,0.9727058,0.06010753
0.08827972,0.1567454,0.9743327,0.05924948
0.09961319,0.1555645,0.9763985,0.05763638
0.1001587,0.1555109,0.9765154,0.05758061
0.1106491,0.1546269,0.9785926,0.05617294
0.1201591,0.1536762,0.9801592,0.05480154
0.1217041,0.153517,0.980418,0.05457276
0.1329384,0.1525949,0.9821447,0.05293012
0.1401596,0.1524009,0.9827989,0.05164634
0.1439552,0.152212,0.9833114,0.05084783
0.1548767,0.1517766,0.9843485,0.04856846
0.1601601,0.1516717,0.9848801,0.04742654
0.1661987,0.151507,0.9855758,0.04599664
0.1772957,0.1513347,0.9864922,0.04399118
0.1801605,0.1511747,0.9867381,0.04337005
0.1882935,0.1506708,0.9875882,0.04137504
0.1998444,0.1499955,0.988503,0.03889628
0.200161,0.1499745,0.9885286,0.03882378
0.21064,0.1493718,0.9892936,0.03652613
0.2201576,0.1489279,0.9897878,0.03491232
0.2215462,0.1488643,0.9898578,0.03468485
0.2329674,0.1484925,0.9901576,0.03328234
0.2401581,0.1478989,0.9905167,0.03195171
0.2438812,0.1474719,0.9908499,0.03111376
0.2549286,0.1463602,0.9915845,0.02901879
0.2601585,0.1457622,0.9919327,0.02789259
0.2660103,0.1450353,0.9923989,0.02638078
0.2772713,0.1437863,0.9931048,0.02414975
0.280159,0.1433831,0.9932554,0.0233885
0.2884636,0.1420646,0.9937943,0.02120472
0.2994995,0.1405059,0.9944326,0.01874445
0.3001595,0.1404015,0.9944736,0.01858102
0.3105659,0.1385526,0.9950653,0.01594768
0.3201599,0.1369212,0.9952453,0.0137482
0.3215752,0.1366836,0.9952709,0.01342425
0.3328285,0.1352511,0.9951469,0.01160279
0.3401604,0.134398,0.9948677,0.01070321
0.3437881,0.1338599,0.9946536,0.01003551
0.3548775,0.1325189,0.9940087,0.008611202
0.3601608,0.1318699,0.9935392,0.007852092
0.3659439,0.1311223,0.9928958,0.006818116
0.37714,0.1300431,0.9918891,0.005427167
0.3801575,0.1296964,0.9915412,0.005047783
0.388237,0.1286654,0.9905505,0.003970817
0.3994026,0.127501,0.9893101,0.002785772
0.4001579,0.1274151,0.9892142,0.002699405
0.4107971,0.1261423,0.9877169,0.001459375
0.4201584,0.1250679,0.9866233,0.000550136
0.4216232,0.1248578,0.9864131,0.0003642589
0.4328003,0.1237366,0.9852523,-0.0007894188
0.4401588,0.1231137,0.9843986,-0.00155516
0.443718,0.1226549,0.9838644,-0.002036259
0.4548683,0.12163,0.9825265,-0.003176361
0.4601593,0.1211208,0.981867,-0.003724903
0.4658699,0.1204733,0.9810612,-0.004382938
0.4770203,0.1194203,0.9797933,-0.005518511
0.4801598,0.1191326,0.9794496,-0.005836889
0.4883308,0.1183621,0.9784542,-0.006658837
0.4996719,0.1174459,0.9772688,-0.007642731
0.5001602,0.1174026,0.977213,-0.007689834
0.5104141,0.1163753,0.9759493,-0.008593619
0.5201607,0.1156918,0.9748516,-0.009385914
0.5214272,0.1155839,0.974684,-0.009507075
0.5325737,0.1149084,0.9734998,-0.01021084
0.5401573,0.1144777,0.9726609,-0.01058629
0.5438156,0.1142293,0.9721599,-0.01078445
0.5548058,0.1137824,0.9710423,-0.0112737
0.5601578,0.1135812,0.970486,-0.01155633
0.5660248,0.1133464,0.9698157,-0.01193458
0.5771255,0.1130483,0.9689988,-0.01251732
0.5801582,0.1130023,0.9688228,-0.01262483
0.5882835,0.1128541,0.9681727,-0.01299149
0.5993958,0.112715,0.9675575,-0.01343498
0.6001587,0.1127044,0.9675145,-0.01346882
0.6104088,0.1125556,0.9671091,-0.01378968
0.6201591,0.112486,0.9667492,-0.01396738
0.6215057,0.1124727,0.9666997,-0.01399554
0.6326904,0.1124699,0.9662448,-0.01395456
0.6401596,0.1124185,0.9659499,-0.01394516
0.6436348,0.1123734,0.9657747,-0.01394576
0.6547661,0.1125279,0.965312,-0.0139488
0.6601601,0.1126163,0.965158,-0.01399304
0.6659012,0.1127113,0.9649807,-0.01399864
0.6769638,0.1128997,0.9646908,-0.01381752
0.6801605,0.1129152,0.9645404,-0.01378429
0.6881752,0.1129034,0.9640782,-0.01364689
0.6993599,0.1128319,0.963689,-0.01345719
0.700161,0.1128241,0.9636652,-0.01343818
0.7106247,0.1127459,0.9634197,-0.01314527
0.7201576,0.1128253,0.9632241,-0.01290306
0.7214088,0.1128295,0.9631791,-0.01291864
0.7326508,0.11291,0.9628409,-0.0127649
0.7401581,0.1128726,0.9625556,-0.0126417
0.7436066,0.1127959,0.9623969,-0.01256068
0.7546806,0.1125181,0.9619409,-0.01229006
0.7601585,0.1123166,0.9617724,-0.01214531
0.7659035,0.1120368,0.961609,-0.01188456
0.7769737,0.1120412,0.9615197,-0.01152776
0.780159,0.1120092,0.9614854,-0.01141682
0.7880783,0.1118773,0.9613467,-0.01117398
0.7994003,0.1116414,0.961319,-0.01102759
0.8001595,0.111646,0.9613168,-0.0110324
0.8114052,0.1116471,0.9612982,-0.01102863
0.8201599,0.11189,0.9612109,-0.01113118
0.8222389,0.1119195,0.9611948,-0.01115333
0.8324394,0.1121527,0.9612142,-0.01120272
0.8401604,0.1124401,0.96132,-0.01124537
0.8436356,0.1126133,0.9613942,-0.01127779
0.8546524,0.1130292,0.9614989,-0.01132601
0.8601608,0.1133097,0.9617355,-0.01138899
0.8659897,0.1136084,0.9620444,-0.01149568
0.8769035,0.1139544,0.9623891,-0.01166824
0.8801575,0.114062,0.9625,-0.0117283
0.8880234,0.1143649,0.9628651,-0.01179314
0.8990936,0.1146476,0.9631977,-0.01172599
0.9001579,0.114673,0.9632331,-0.01171003
0.9104538,0.1150328,0.9636081,-0.01164207
0.9201584,0.1154267,0.9638805,-0.01141927
0.9213028,0.1154566,0.963906,-0.01140857
0.9325256,0.1159229,0.9641701,-0.01115265
0.9401588,0.1162892,0.9643363,-0.01100607
0.9434509,0.1164996,0.9644291,-0.01095189
0.9548912,0.1170078,0.9647585,-0.01081508
0.9601593,0.1172368,0.965017,-0.01063727
0.9658279,0.1175591,0.9653161,-0.01041575
0.9767075,0.1181365,0.9657429,-0.01001967
0.9801598,0.1183491,0.9658818,-0.009864286
0.9878998,0.1188284,0.9663734,-0.009313911
0.9991608,0.11956,0.9670058,-0.008663192
1.00016,0.1196526,0.9670916,-0.008614704
1.010147,0.1205319,0.9679236,-0.007847935
1.020161,0.1213884,0.9688392,-0.006740108
1.021301,0.1214819,0.9689715,-0.006598338
1.032516,0.1221997,0.9700021,-0.005552173
1.040157,0.1226867,0.9709918,-0.004693285
1.043446,0.1229378,0.9715792,-0.004211456
1.054501,0.1233525,0.973268,-0.003179029
1.060158,0.1236369,0.9743586,-0.002579108
1.065922,0.1241308,0.9756739,-0.001784161
1.076893,0.1248963,0.9774035,-0.0004523396
1.080158,0.125159,0.9779617,3.236532E-05
1.087914,0.1258675,0.9795723,0.001455083
1.098961,0.1269079,0.9813324,0.002996221
1.100159,0.1270658,0.9815829,0.003238454
1.110199,0.1283306,0.9837516,0.005315572
1.120159,0.1294796,0.9857118,0.007406861
1.121384,0.1297247,0.9859391,0.00791432
1.132935,0.1311584,0.9882143,0.0105284
1.14016,0.1322182,0.9899226,0.01218253
1.143486,0.132845,0.9909301,0.01312348
1.154472,0.1343402,0.9937932,0.01551014
1.16016,0.1351599,0.9954425,0.01681098
1.165882,0.1362216,0.9974809,0.01833111
1.176796,0.1378707,1.000612,0.02079001
1.180161,0.1384575,1.001655,0.02164648
1.187771,0.1400561,1.004313,0.02387676
1.198997,0.1418404,1.007135,0.02652723
1.200161,0.1420874,1.007395,0.02688628
1.210159,0.1441815,1.010085,0.0299778
1.220158,0.1461554,1.012712,0.03309178
1.221336,0.1463699,1.013017,0.03344442
1.23225,0.148303,1.015916,0.03647463
1.240158,0.1498899,1.018148,0.03883541
1.243401,0.1507309,1.019324,0.04008147
1.254665,0.153051,1.022041,0.04326828
1.260159,0.1543752,1.023344,0.04492225
1.265648,0.1559616,1.025311,0.04695725
1.276733,0.1583312,1.028104,0.0497293
1.280159,0.159125,1.029058,0.05063182
1.287712,0.1610486,1.031426,0.05286226
1.298912,0.1634075,1.034059,0.05572544
1.300159,0.1635993,1.034403,0.05604377
1.309986,0.1656747,1.037173,0.05904761
1.32016,0.1675828,1.039599,0.06183203
1.321213,0.1677823,1.039842,0.06211084
1.332211,0.1696966,1.041962,0.06466447
1.34016,0.1712496,1.043531,0.06644891
1.343285,0.172061,1.044352,0.06737608
1.354534,0.17418,1.046027,0.07015651
1.360161,0.175232,1.047027,0.07182035
1.365635,0.1761552,1.048136,0.07364471
1.37677,0.1780224,1.049884,0.07625191
1.380157,0.1786278,1.050461,0.07707074
1.387905,0.1801606,1.051888,0.07906947
1.39893,0.1817699,1.053539,0.0813563
1.400158,0.1820153,1.053707,0.08168128
1.410126,0.1839937,1.055317,0.08413935
1.420158,0.1860024,1.056568,0.08616632
1.421181,0.1862197,1.056691,0.08637179
1.432266,0.1881895,1.057779,0.08834076
1.440159,0.1895766,1.058573,0.08985928
1.44315,0.1902644,1.058977,0.09061939
1.454407,0.1918428,1.059881,0.09271528
1.460159,0.1929571,1.060219,0.093862
1.465687,0.1940178,1.060582,0.095137
1.4767,0.1957282,1.061093,0.09738895
1.48016,0.196347,1.061249,0.09806779
1.487682,0.1979034,1.061682,0.09974656
1.498913,0.1999051,1.062135,0.1016777
1.50016,0.2000882,1.062173,0.1020536
1.509842,0.2023215,1.062387,0.1045761
1.520161,0.2045754,1.06231,0.1073413
1.520943,0.2047468,1.062301,0.1075578
1.532028,0.2071109,1.062014,0.1105078
1.540157,0.2089787,1.06188,0.1123512
1.54327,0.2099243,1.061812,0.1132933
1.554588,0.2121941,1.061447,0.1149107
1.560158,0.2133567,1.061275,0.1158309
1.565891,0.2147053,1.061042,0.1170381
1.576664,0.2164869,1.060812,0.1187654
1.580158,0.2171932,1.060572,0.1195069
1.587601,0.2189243,1.060092,0.1213433
1.59885,0.2214082,1.059358,0.1239282
1.600159,0.2218044,1.059187,0.1243475
1.60994,0.2244026,1.058067,0.126886
1.620159,0.2267997,1.0568,0.1293682
1.620995,0.2270044,1.056689,0.1295837
1.63205,0.2290708,1.055396,0.1320588
1.64016,0.2310456,1.0542,0.1342033
1.64323,0.232008,1.053612,0.135264
1.654449,0.2341198,1.052153,0.1377634
1.66016,0.2354402,1.051255,0.1392982
1.665325,0.2369735,1.050155,0.1410614
1.676601,0.2398186,1.048329,0.1441697
1.680161,0.2406351,1.04776,0.1450026
1.68755,0.2425639,1.046441,0.1470172
1.698864,0.2448647,1.04468,0.1494586
1.700161,0.2451499,1.044458,0.1497976
1.709896,0.2474849,1.04273,0.1522731
1.720158,0.2497327,1.04117,0.1543787
1.721291,0.2499873,1.040995,0.1546132
1.732063,0.2521358,1.039497,0.1564503
1.740158,0.2537884,1.038263,0.1577307
1.743221,0.2544918,1.037611,0.158377
1.754356,0.2563532,1.036049,0.1602136
1.760159,0.2574357,1.035158,0.1613247
1.765423,0.258579,1.034154,0.162519
1.776363,0.2601155,1.032868,0.1638789
1.780159,0.2605826,1.032351,0.1644076
1.787651,0.2616781,1.031156,0.1657175
1.798679,0.2633047,1.029665,0.1672918
1.800159,0.2635537,1.029456,0.1675151
1.809792,0.2652335,1.027824,0.1691949
1.82016,0.2666894,1.026138,0.1707067
1.8209,0.2667886,1.026023,0.170807
1.831921,0.2678948,1.0246,0.1722265
1.84016,0.2685531,1.023586,0.1732956
1.84301,0.2688708,1.023099,0.173782
1.854652,0.2700422,1.021719,0.1752469
1.860161,0.2707022,1.02103,0.1760239
1.865887,0.2714945,1.020213,0.1769485
1.876495,0.2725691,1.019109,0.1784185
1.880157,0.272975,1.018768,0.1788591
1.887608,0.2740194,1.017919,0.1799576
1.898968,0.2756947,1.016518,0.1815021
1.900158,0.2758584,1.016375,0.1816571
1.909683,0.2773383,1.015415,0.1828819
1.920158,0.2784591,1.014656,0.1838562
1.920803,0.2785281,1.014608,0.1839163
1.931988,0.2795589,1.013988,0.184814
1.940159,0.280469,1.013465,0.1853521
1.943176,0.2809373,1.013252,0.185602
1.954327,0.2823738,1.012747,0.1863553
1.960159,0.2831381,1.012516,0.1867505
1.965305,0.2838677,1.012319,0.1871388
1.976421,0.2851587,1.011909,0.1876932
1.98016,0.28565,1.011731,0.1878818
1.987549,0.2867364,1.011301,0.188378
1.998783,0.2880402,1.010916,0.1888834
2.00016,0.2882048,1.010875,0.1889441
2.009712,0.2895773,1.010446,0.1896265
2.020161,0.2909413,1.010051,0.189932
2.020882,0.2910351,1.010023,0.18995
2.03199,0.2920609,1.009762,0.1901667
2.040157,0.2929197,1.009629,0.1903504
2.043056,0.293319,1.009592,0.1904474
2.054241,0.2943488,1.009512,0.190595
2.060158,0.2949188,1.009585,0.1905806
2.065208,0.2955334,1.009713,0.1905106
2.076408,0.2964586,1.010161,0.190518
2.080158,0.296849,1.010241,0.1905248
2.087452,0.2977315,1.010473,0.1905242
2.09885,0.2989743,1.010619,0.1905225
2.100159,0.2991284,1.010625,0.190522
2.109703,0.3001067,1.010792,0.1901574
2.120159,0.3007982,1.010935,0.1898222
2.120655,0.3008322,1.010943,0.1898066
2.13216,0.3015874,1.011139,0.1895949
2.14016,0.3019438,1.011279,0.1892975
2.142933,0.3020971,1.011374,0.1891586
2.154087,0.3026538,1.011599,0.1886859
2.16016,0.3030672,1.01167,0.1884245
2.165058,0.3034357,1.011753,0.188207
2.17654,0.3043008,1.011819,0.1878126
2.180161,0.304467,1.011768,0.1875254
2.187523,0.3049229,1.011758,0.187087
2.198429,0.305397,1.01185,0.1865552
2.200161,0.3054731,1.011875,0.1864626
2.209743,0.3059683,1.01177,0.1858318
2.220158,0.3062225,1.011616,0.1853191
2.22076,0.3062336,1.01161,0.1852973
2.231823,0.3062459,1.011258,0.1851172
2.240158,0.3062537,1.010986,0.1849484
2.242981,0.3062771,1.010957,0.1848894
2.254154,0.3063329,1.010853,0.1846651
2.260159,0.306428,1.010826,0.1844655
2.265022,0.3065751,1.010833,0.1842404
2.276363,0.3066605,1.010704,0.184003
2.280159,0.306682,1.010736,0.1839321
2.287392,0.3067707,1.010743,0.1837936
2.298428,0.3069038,1.010645,0.1835873
2.300159,0.3069321,1.010615,0.183548
2.309498,0.3071889,1.010284,0.1832933
2.32016,0.3076783,1.009999,0.1828822
2.320789,0.3077164,1.01008,0.182794
2.332291,0.3080753,1.010009,0.182185
2.34016,0.3082995,1.00995,0.181785
2.342808,0.3084074,1.009917,0.1816361
2.353889,0.308798,1.009528,0.1812536
2.360161,0.3089535,1.009361,0.1811433
2.365032,0.3091178,1.009203,0.1810073
2.376369,0.3091464,1.008626,0.1807637
2.380157,0.3090978,1.00843,0.1807048
2.387321,0.3088965,1.008137,0.1805099
2.398537,0.3085457,1.00782,0.1803268
2.400158,0.3084902,1.007795,0.1803224
2.409481,0.3082446,1.007735,0.1803101
2.420158,0.3078787,1.008077,0.1801981
2.420563,0.3078634,1.00809,0.1801924
2.431732,0.3076075,1.008285,0.1800425
2.440159,0.3073868,1.008523,0.1798925
2.442856,0.307272,1.008652,0.1798209
2.453819,0.3069036,1.008985,0.1795503
2.460159,0.3066058,1.009157,0.1793174
2.46521,0.3063809,1.00929,0.1790997
2.476166,0.306051,1.009495,0.1788046
2.48016,0.3059103,1.009577,0.1787101
2.487255,0.3053933,1.009859,0.1784675
2.498837,0.3046849,1.010295,0.177813
2.50016,0.304606,1.010339,0.1777492
2.509548,0.3040498,1.01073,0.1771515
2.520161,0.3032126,1.011319,0.1766638
2.520699,0.3031429,1.01144,0.176623
2.531715,0.3024455,1.012217,0.1762092
2.540157,0.3019531,1.012915,0.1757631
2.543091,0.3017342,1.013249,0.1755179
2.553734,0.3012359,1.013939,0.1750207
2.560158,0.3009707,1.014308,0.174692
2.565174,0.3007718,1.014512,0.1744322
2.576241,0.3004996,1.014882,0.174002
2.580158,0.3003897,1.015034,0.1738316
2.587147,0.300054,1.015371,0.1734748
2.598278,0.2997353,1.01578,0.1730863
2.600159,0.2996719,1.01588,0.1730525
2.609531,0.2992682,1.016339,0.1728266
2.620159,0.298863,1.016868,0.1727706
2.620689,0.2988838,1.016822,0.1727564
2.631557,0.2985708,1.017311,0.1727101
2.64016,0.2983797,1.017669,0.1727262
2.642845,0.2983108,1.017797,0.1727488
2.653805,0.298305,1.018191,0.1727352
2.66016,0.2983111,1.018352,0.1726844
2.665211,0.2983326,1.018404,0.1726018
2.676105,0.2985035,1.018427,0.1724547
2.680161,0.2985883,1.01843,0.1723902
2.687138,0.2986619,1.018435,0.1722119
2.698185,0.2987726,1.0184,0.1719483
2.700157,0.2988403,1.018376,0.1718963
2.709484,0.2991889,1.018301,0.1716112
2.720158,0.299718,1.018183,0.1711281
2.720573,0.2997311,1.018179,0.1711161
2.731548,0.3002304,1.018153,0.1706337
2.740158,0.3006397,1.018166,0.1703759
2.742634,0.300796,1.018173,0.1703022
2.753693,0.3012684,1.018319,0.1698719
2.760159,0.3017563,1.018303,0.1697456
2.764992,0.3022076,1.018338,0.1696321
2.775993,0.3029785,1.018448,0.1695406
2.780159,0.3032876,1.018481,0.1695432
2.78709,0.3038597,1.018461,0.1695998
2.798199,0.304536,1.018516,0.1697628
2.800159,0.3046507,1.018557,0.1698116
2.809456,0.3052276,1.018674,0.1700917
2.82016,0.3056612,1.018889,0.1703478
2.820564,0.3056771,1.018896,0.1703578
2.831528,0.3059381,1.019048,0.1706184
2.84016,0.3060532,1.019298,0.1708923
2.842587,0.3060925,1.019407,0.171007
2.853748,0.3061466,1.019786,0.1712318
2.860161,0.3060386,1.020216,0.1714513
2.864841,0.3059141,1.020596,0.171766
2.875938,0.3057792,1.021306,0.1723651
2.880157,0.305743,1.021596,0.1726123
2.887154,0.305648,1.022057,0.1730839
2.898212,0.3056329,1.02265,0.1735435
2.900158,0.3056179,1.022872,0.1736239
2.909245,0.3054947,1.023791,0.1739378
2.920158,0.305206,1.024772,0.1742377
2.920452,0.3051989,1.024794,0.1742457
2.931557,0.3050115,1.025594,0.1743391
2.940159,0.3048565,1.026411,0.1742376
2.942589,0.3048071,1.026733,0.1741836
2.95377,0.3046296,1.027985,0.1741873
2.960159,0.3043774,1.028779,0.173867
2.964916,0.3042399,1.029492,0.1737278
2.977009,0.3040544,1.030713,0.1731736
2.98016,0.3040216,1.03103,0.1729595
2.986988,0.3039058,1.031759,0.172431
2.99839,0.3036529,1.032888,0.1720177
3.00016,0.3036767,1.033143,0.1719827
3.009335,0.3034831,1.034387,0.1717477
3.020161,0.30314,1.035636,0.1714483
3.020412,0.3031352,1.035652,0.1714438
3.031368,0.3026539,1.036766,0.1711433
3.040157,0.302167,1.0378,0.1707207
3.042484,0.3019969,1.038169,0.1705557
3.053837,0.3010815,1.039453,0.1698783
3.060158,0.3003862,1.040095,0.1698449
3.064899,0.2997338,1.040599,0.1696218
3.075909,0.2987429,1.041553,0.1688933
3.080158,0.2983273,1.04198,0.168538
3.086891,0.2975634,1.042744,0.167844
3.098869,0.2963347,1.043846,0.1670195
3.100159,0.2962065,1.044014,0.1669121
3.109299,0.295135,1.045049,0.1661612
3.120159,0.2940859,1.046141,0.1653416
3.120415,0.294064,1.046165,0.1653237
3.131573,0.2931689,1.047067,0.1645828
3.14016,0.2923392,1.047757,0.1640554
3.142406,0.2920367,1.048018,0.1638474
