Time, X, Y, Z
0.0004663467,0.1586714,0.9164253,0.09983999
0.005935669,0.1587118,0.9164437,0.0998529
0.01699734,0.1587532,0.91644,0.09984645
0.0204668,0.158782,0.9164575,0.09982693
0.02816296,0.1588681,0.916508,0.0997514
0.03941631,0.159005,0.9166036,0.09977078
0.04046631,0.1590132,0.9166105,0.09977838
0.05050278,0.1590935,0.9167035,0.09988432
0.06046677,0.159137,0.916807,0.09999685
0.06157875,0.1591463,0.9168226,0.1000057
0.0724535,0.1591842,0.9169282,0.1000624
0.08046627,0.1591736,0.9169356,0.1001103
0.08363914,0.1591635,0.9169439,0.1001348
0.09492016,0.1591356,0.916977,0.100149
0.1004667,0.1591516,0.9169966,0.1001904
0.1061068,0.1591509,0.9170207,0.1002091
0.1169281,0.1590903,0.9170615,0.1001566
0.1204662,0.1590464,0.9170688,0.100142
0.1280413,0.158955,0.9170988,0.1000673
0.1391306,0.1588956,0.9171883,0.1000222
0.1404667,0.1588906,0.9172021,0.1000191
0.1503105,0.1588458,0.9172753,0.09992498
0.1604671,0.1588001,0.9172461,0.0999406
0.161437,0.1587892,0.917256,0.0999493
0.1724415,0.1586872,0.9173289,0.1000198
0.1804667,0.1586567,0.9173157,0.1000346
0.1835966,0.1586654,0.9173169,0.1000365
0.1947336,0.1587287,0.9173187,0.1000398
0.2004671,0.1587961,0.9173208,0.1001062
0.2058172,0.1588413,0.9173248,0.1001425
0.2168856,0.1588434,0.9173074,0.1000735
0.2204666,0.1588618,0.9172581,0.1000476
0.2281075,0.1588913,0.9171246,0.09994982
0.2389288,0.1589005,0.9169537,0.09985429
0.2404671,0.1589035,0.9169361,0.09984812
0.2502975,0.1589183,0.9168128,0.09975572
0.2604666,0.1589285,0.9166961,0.09979612
0.2614164,0.158932,0.9166909,0.09979582
0.2724514,0.1589758,0.9166341,0.09977964
0.280467,0.1590271,0.916638,0.09982625
0.2836304,0.1590348,0.9166651,0.09986296
0.2947121,0.1590386,0.9167191,0.09993488
0.3004665,0.1590832,0.9167391,0.09992987
0.3058596,0.1591024,0.916796,0.09993103
0.316967,0.159062,0.9169505,0.09993011
0.320467,0.1590561,0.9169632,0.09991887
0.3280869,0.1590304,0.9169708,0.09987545
0.3390045,0.1589675,0.9169092,0.09978703
0.3404665,0.1589587,0.9169017,0.09977451
0.350215,0.1588982,0.9168662,0.09963354
0.360467,0.1588514,0.9168869,0.09951317
0.3613157,0.1588462,0.9168822,0.09950562
0.3723793,0.1587753,0.9167989,0.09930517
0.3804665,0.1587644,0.916806,0.09921834
0.3836613,0.158727,0.9168037,0.09917438
0.3946114,0.1586245,0.9168366,0.09909257
0.4004669,0.1586001,0.9169196,0.09907115
0.4058914,0.1585847,0.9169987,0.09910917
0.416995,0.1585236,0.9171024,0.09909046
0.4204664,0.1585064,0.917165,0.09910117
0.4278784,0.1584843,0.917336,0.09912989
0.4390192,0.1585034,0.9176143,0.09917247
0.4404669,0.1585133,0.9176498,0.09918356
0.4501677,0.1585616,0.9178566,0.09924403
0.4604664,0.1585484,0.9179435,0.09931409
0.4612312,0.1585484,0.9179516,0.0993169
0.4724054,0.1585191,0.9180822,0.09932458
0.4804668,0.158453,0.918225,0.09936914
0.4835644,0.1584203,0.9182638,0.09938049
0.4946404,0.1583581,0.9182918,0.09938991
0.5004663,0.1583384,0.9183167,0.09941971
0.5056181,0.1583325,0.9183542,0.09940332
0.5168819,0.1583428,0.9184716,0.09942625
0.5204668,0.1583263,0.9184906,0.0994422
0.5279512,0.1582863,0.9184967,0.09941745
0.5390806,0.1582551,0.918511,0.09944944
0.5404663,0.1582556,0.918515,0.0994599
0.5501699,0.1582445,0.9185198,0.09953418
0.5604668,0.1581741,0.9184694,0.09960786
0.5612154,0.1581625,0.9184692,0.09961063
0.5723076,0.1580349,0.9184365,0.09960899
0.5804663,0.1580334,0.91842,0.09963287
0.5835209,0.1580282,0.9184086,0.0996152
0.5944386,0.1579978,0.9183854,0.09948003
0.6004667,0.1579873,0.9183981,0.09950019
0.605793,0.1579722,0.918409,0.09946874
0.6166973,0.1579374,0.9184394,0.09938172
0.6204662,0.1579355,0.9184234,0.09937519
0.6278753,0.1578979,0.9183565,0.09931344
0.6389799,0.1578276,0.9182556,0.09932919
0.6404667,0.1578356,0.9182548,0.09932184
0.6501589,0.1578499,0.9182272,0.09920007
0.6604671,0.1577339,0.9181742,0.09901999
0.6611919,0.1577281,0.9181719,0.09900531
0.6722012,0.1576762,0.9181005,0.09882703
0.6804667,0.1576898,0.9180035,0.09877944
0.6833696,0.1576903,0.9179975,0.09878483
0.6954145,0.1577104,0.9179915,0.09879342
0.7004671,0.1577344,0.9179842,0.0988214
0.7055836,0.1577309,0.9179569,0.09881344
0.7167044,0.1576735,0.917909,0.09874424
0.7204666,0.1576812,0.9179288,0.09876437
0.7276754,0.1577041,0.9179598,0.09877017
0.7388601,0.1577408,0.9180011,0.09878358
0.7404671,0.1577388,0.9180036,0.09879369
0.7500792,0.1577259,0.9179623,0.09878075
0.7604666,0.1577321,0.9178756,0.09881712
0.761116,0.1577267,0.9178764,0.09880085
0.7722721,0.1576566,0.9178927,0.09859306
0.780467,0.1576677,0.917936,0.09862259
0.7836924,0.157621,0.9179927,0.09863992
0.794589,0.1575119,0.9181231,0.09863172
0.8004665,0.1575443,0.9181986,0.09866267
0.8060207,0.1575903,0.9183325,0.09873286
0.8172607,0.1576378,0.9186076,0.09884085
0.820467,0.1576525,0.9186862,0.09885681
0.8278904,0.1576903,0.9188875,0.09882963
0.8388281,0.1577185,0.919157,0.09870097
0.8404665,0.1577277,0.9192051,0.09870493
0.8500547,0.1577679,0.9195557,0.0986529
0.860467,0.1575463,0.9197997,0.09842134
0.8609591,0.1575407,0.919817,0.09842858
0.8721848,0.1574921,0.9201425,0.09860079
0.8804665,0.1576343,0.9203997,0.09884602
0.8833103,0.1576051,0.9204862,0.09890893
0.8943033,0.1574765,0.9207692,0.0990648
0.9004669,0.1574733,0.9209942,0.09910959
0.9054251,0.1574499,0.9211895,0.09919047
0.9167299,0.1574005,0.9214964,0.09922546
0.9204664,0.157447,0.9215527,0.09922732
0.9277802,0.1576049,0.9216806,0.09924611
0.9387112,0.1579022,0.9218305,0.09930611
0.9404669,0.1579307,0.9218416,0.09933043
0.9498177,0.1581157,0.9219111,0.09939809
0.9604664,0.1583044,0.9219313,0.09920894
0.9610653,0.1583189,0.9219269,0.09919204
0.9721117,0.1585567,0.9218136,0.09890601
0.9804668,0.1586848,0.9217291,0.0987241
0.9831762,0.1587504,0.9216768,0.09862536
0.994338,0.1590141,0.9215724,0.09838548
1.000466,0.1592519,0.9215966,0.09835348
1.005629,0.1594079,0.9216149,0.09834445
1.016531,0.1594886,0.9216685,0.09840924
1.020467,0.1595781,0.9217281,0.09842259
1.027657,0.1597465,0.9218471,0.09845567
1.038745,0.1599001,0.9220129,0.09854484
1.040466,0.1599086,0.9220393,0.09856758
1.04987,0.1599972,0.9222358,0.09870407
1.060467,0.1601783,0.9225394,0.09885053
1.061117,0.1601842,0.9225578,0.09885554
1.072501,0.1602458,0.9228249,0.09895551
1.080466,0.1601623,0.9231055,0.09906551
1.083153,0.1600903,0.9231784,0.09911725
1.094231,0.1598722,0.9232544,0.09930472
1.100467,0.1598054,0.9232546,0.09940045
1.105664,0.1596784,0.9232374,0.09951934
1.116564,0.1595338,0.9230971,0.09980273
1.120466,0.1595281,0.9230312,0.09993404
1.127762,0.1595691,0.9228477,0.100176
1.13868,0.1596365,0.9225295,0.100459
1.140467,0.1596593,0.9224355,0.1004965
1.14992,0.1597932,0.9218533,0.1007179
1.160467,0.1599009,0.9211388,0.1009566
1.160905,0.1599038,0.9210999,0.1009655
1.17197,0.1599878,0.9203238,0.1012051
1.180467,0.1600223,0.9196322,0.1014228
1.183253,0.1600167,0.9192791,0.1014985
1.194344,0.1600467,0.9184927,0.1019224
1.200467,0.1600598,0.9181265,0.1021813
1.205315,0.160092,0.9177538,0.1025038
1.216476,0.1602047,0.9170704,0.1032227
1.220467,0.1602365,0.9168434,0.1035239
1.2276,0.1602788,0.9165022,0.1041157
1.238685,0.16053,0.9157951,0.1049494
1.240467,0.1605916,0.9156426,0.1051011
1.249689,0.1609397,0.9146767,0.1059965
1.260467,0.1613427,0.91335,0.1069787
1.260867,0.1613762,0.9132725,0.107025
1.271968,0.1620068,0.9118763,0.1078201
1.280467,0.1625963,0.9106345,0.1084869
1.283278,0.1628292,0.9100707,0.1087818
1.294313,0.1636844,0.9084132,0.1096415
1.300467,0.1642887,0.9075609,0.1101748
1.305351,0.1648393,0.9067391,0.110719
1.316449,0.1657875,0.9052509,0.1117842
1.320467,0.1661217,0.9047322,0.1122024
1.327572,0.1667881,0.9037137,0.1130602
1.338682,0.1676913,0.9024688,0.1140809
1.340466,0.1678724,0.9022688,0.1142534
1.349867,0.1688584,0.9011501,0.1151924
1.360467,0.1700041,0.8997376,0.1162999
1.360914,0.1700484,0.8996808,0.116338
1.371954,0.1711151,0.8982776,0.1172186
1.380466,0.1720128,0.8969948,0.1178373
1.383122,0.1723476,0.896458,0.1180196
1.394183,0.1733549,0.8948203,0.118522
1.400467,0.173996,0.8937967,0.1187974
1.405367,0.1745607,0.8929015,0.1190576
1.416424,0.1754049,0.8915499,0.1195934
1.420466,0.1757802,0.8911641,0.119867
1.427528,0.1764628,0.8904691,0.1203706
1.438737,0.1773999,0.889878,0.1210414
1.440467,0.1775629,0.8898251,0.1211544
1.449882,0.1782472,0.8894957,0.1218358
1.460466,0.1789332,0.889245,0.1223239
1.460833,0.1789886,0.8892214,0.1223512
1.471971,0.1797587,0.8889272,0.1227244
1.480467,0.1802507,0.8888409,0.1229484
1.483046,0.180416,0.8888335,0.1230346
1.494133,0.1808039,0.8888032,0.1232262
1.500466,0.1810141,0.8888093,0.1233564
1.505329,0.1812145,0.888765,0.1234466
1.516342,0.1815577,0.8886195,0.1236354
1.520467,0.1816584,0.8885562,0.123752
1.528474,0.1817955,0.8884183,0.1240078
1.538623,0.1818193,0.8881841,0.1243088
1.540466,0.1818106,0.8881021,0.1243681
1.549669,0.1816935,0.8876749,0.1246669
1.560467,0.1813602,0.8871595,0.1250288
1.560708,0.1813518,0.8871449,0.1250347
1.572142,0.1807846,0.8865003,0.1253415
1.580466,0.1804972,0.8861641,0.1256391
1.582885,0.1804626,0.8860211,0.1257301
1.594165,0.1802692,0.8855438,0.1260581
1.600467,0.1800612,0.8852421,0.1262695
1.605415,0.1799303,0.8850089,0.1264078
1.616321,0.1797784,0.8846533,0.1265882
1.620466,0.1797612,0.8845617,0.1267086
1.62744,0.179677,0.8843302,0.1269988
1.638625,0.1794115,0.8838771,0.1274822
1.640467,0.1793708,0.8837946,0.1275559
1.649598,0.1791695,0.8834413,0.1278787
1.660466,0.1790276,0.8832247,0.1282102
1.660784,0.1790218,0.8832121,0.1282207
1.671851,0.1789496,0.8829975,0.1284624
1.680467,0.1791309,0.8828279,0.1286029
1.682995,0.1792973,0.8827636,0.1285902
1.693973,0.1796414,0.8825844,0.1286818
1.700467,0.1797307,0.8824923,0.1288945
1.705212,0.1800124,0.8824277,0.1289947
1.716188,0.1803772,0.8824155,0.1292725
1.720467,0.1804491,0.8824222,0.129412
1.727464,0.1804985,0.8824099,0.1296579
1.738747,0.1804981,0.8824069,0.1300145
1.740467,0.1804918,0.8824099,0.1300532
1.749432,0.180469,0.882426,0.1302992
1.760467,0.1804063,0.8824162,0.1306148
1.760721,0.1804018,0.8824144,0.130622
1.771829,0.1802163,0.8824092,0.1308624
1.780467,0.1800586,0.882416,0.1310049
1.782903,0.1800205,0.8824385,0.1310684
1.79395,0.1799771,0.8827186,0.1312247
1.800467,0.1800925,0.8829316,0.1312963
1.80549,0.1800883,0.8831524,0.1313987
1.816124,0.1799618,0.8835731,0.1315796
1.820467,0.179868,0.8838069,0.1316912
1.827242,0.1799318,0.8841803,0.1317739
1.838541,0.1798421,0.884788,0.1319091
1.840466,0.1798148,0.8848897,0.131929
1.849666,0.1796239,0.8853593,0.1320055
1.860467,0.179342,0.8856938,0.1320729
1.860677,0.179307,0.885719,0.1320828
1.871878,0.1790485,0.8859168,0.1321323
1.880466,0.1788366,0.8860738,0.1320905
1.882759,0.178726,0.8861201,0.1321148
1.894103,0.1784585,0.8861587,0.132162
1.900467,0.1783113,0.8860915,0.1321482
1.904975,0.1781983,0.8860872,0.1321973
1.916104,0.178109,0.8861201,0.1323521
1.920466,0.1781535,0.8861178,0.1323852
1.927231,0.1781947,0.8861641,0.1325312
1.938363,0.1782726,0.8863416,0.1327298
1.940467,0.1782697,0.8863944,0.1327886
1.949605,0.1784675,0.8865911,0.1330868
1.960466,0.1783838,0.8868139,0.1335798
1.960605,0.1783827,0.8868165,0.1335834
1.971809,0.1783032,0.8870683,0.1339888
1.980467,0.1783058,0.8872639,0.1343806
1.982762,0.1783001,0.8873379,0.1344852
1.994021,0.1782637,0.8875902,0.1347905
2.000466,0.1782406,0.8877363,0.1350244
2.005113,0.1782985,0.8878073,0.1352138
2.016097,0.1784822,0.8878411,0.1355405
2.020467,0.1784976,0.8878512,0.1356806
2.027199,0.1785503,0.8878559,0.135933
2.038442,0.1787761,0.8878737,0.1362371
2.040466,0.1788469,0.8878798,0.1362856
2.049544,0.1789812,0.8877999,0.1366038
2.060467,0.1790322,0.8876531,0.1368806
2.06065,0.1791864,0.887594,0.1369629
2.071766,0.1793006,0.8875227,0.1370375
2.080466,0.1794028,0.8873801,0.137174
2.082739,0.1794066,0.8873297,0.1372477
2.093775,0.1794258,0.8871372,0.1373878
2.100467,0.1795013,0.8869698,0.1373914
2.105178,0.1797165,0.8869753,0.1375144
2.117689,0.179749,0.8869582,0.1375759
2.120466,0.1797668,0.8869476,0.1376309
2.127268,0.1798413,0.8869104,0.1377976
2.13821,0.1799074,0.8868485,0.1379107
2.140467,0.1799154,0.8868159,0.1379312
2.149298,0.1799605,0.8867801,0.138055
2.160466,0.1802711,0.8868281,0.1382202
2.160519,0.1802733,0.886827,0.1382215
2.171619,0.1803115,0.8868263,0.1384743
2.180467,0.1802876,0.8867893,0.1386702
2.18273,0.1803699,0.8867188,0.1387196
2.193752,0.1805441,0.8865157,0.1388974
2.200467,0.1805788,0.8863948,0.1390027
2.204937,0.1805393,0.8863183,0.1390843
2.216011,0.1803964,0.8861742,0.1391964
2.220467,0.1803069,0.8861055,0.1392401
2.227306,0.1801628,0.8860186,0.1393569
2.238404,0.179995,0.8859252,0.1395229
2.240467,0.1799665,0.8859093,0.1395475
2.249365,0.1798579,0.8858335,0.1396307
2.260334,0.1797667,0.8857542,0.139676
2.260467,0.1797649,0.8857545,0.1396771
2.271596,0.17958,0.8858122,0.1398095
2.280467,0.1796689,0.8858435,0.1399521
2.282717,0.179664,0.8858623,0.1399927
2.293796,0.1796392,0.8859431,0.1401888
2.300467,0.1796311,0.8859627,0.140281
2.304936,0.1797738,0.8859871,0.1403277
2.315891,0.1798808,0.8860366,0.1404489
2.320467,0.1798306,0.8860383,0.1405274
2.327207,0.1797692,0.8860857,0.1406358
2.338105,0.1797294,0.8862504,0.14079
2.340466,0.1797052,0.8863022,0.1408522
2.349282,0.179613,0.8864949,0.1410674
2.360353,0.1795494,0.8866252,0.1411839
2.360467,0.1795491,0.8866261,0.1411845
2.371496,0.179545,0.8866739,0.1412332
2.380466,0.1795079,0.8866647,0.1412239
2.382797,0.1795143,0.8866583,0.1411976
2.393865,0.1795638,0.886605,0.1411127
2.400467,0.1797017,0.8865402,0.1410648
2.404885,0.1797375,0.886544,0.1410201
2.415895,0.1797332,0.886588,0.1409489
2.420466,0.1797306,0.8866283,0.1409141
2.426949,0.1799586,0.8866856,0.1408747
2.438304,0.1800372,0.886797,0.1408119
2.440467,0.1800443,0.8868284,0.1407692
2.449262,0.1800014,0.8869514,0.1405534
2.460376,0.1798864,0.8870065,0.1404375
2.460466,0.1798842,0.8870071,0.1404364
2.471434,0.1796376,0.8871545,0.140314
2.480467,0.1795185,0.8873338,0.1402531
2.482565,0.1794535,0.8873955,0.1402539
2.493828,0.1792574,0.8876133,0.1402404
2.500466,0.179175,0.8878294,0.1401949
2.504793,0.1790455,0.8880938,0.1401995
2.515882,0.1789405,0.8884477,0.1401667
2.520467,0.1789569,0.8886262,0.1401033
2.527017,0.1788609,0.8890225,0.1401034
2.53814,0.1786633,0.889407,0.1400987
2.540466,0.1785978,0.8895265,0.140115
2.549249,0.1784775,0.8900362,0.1401602
2.560415,0.1783765,0.8904307,0.140212
2.560467,0.1783757,0.8904331,0.1402121
2.571575,0.1781471,0.8908925,0.1401411
2.580466,0.1780429,0.8910303,0.1399722
2.58258,0.1780399,0.8910676,0.1399286
2.593575,0.1780728,0.8911374,0.1397961
2.600467,0.1780536,0.8911527,0.1396891
2.604881,0.1780263,0.8911578,0.139617
2.615791,0.1780305,0.8911807,0.1395218
2.620466,0.1780812,0.8912282,0.1394511
2.626968,0.1781841,0.8913275,0.1393177
2.638214,0.1783208,0.8914675,0.1392171
2.640467,0.1783581,0.8915063,0.1391961
2.649158,0.1784777,0.8916618,0.1391975
2.66022,0.1785062,0.8917807,0.1392095
2.660466,0.1785121,0.8917865,0.1392096
2.671517,0.1786429,0.8920538,0.1393323
2.680467,0.1786817,0.8922427,0.1394774
2.682433,0.1786761,0.8922861,0.1395132
2.693535,0.1787256,0.8925267,0.1396872
2.700467,0.1788343,0.8927331,0.1398212
2.704967,0.1787679,0.8928571,0.1399012
