Time, X, Y, Z
5.179993,-0.120583,0.9600993,0.2155209
5.179993,0,0.9,0
6.639984,-0.175702,0.9031334,0.2135397
6.639984,0,0.9,0
8.159973,-0.1609251,0.8898521,0.2147569
8.159973,0,0.9,0
9.5,-0.1378348,0.8654225,0.2253018
9.5,0,0.9,0
10.85999,-0.1507239,0.8961653,0.207513
10.85999,0,0.9,0
12.19998,-0.1471773,0.9010854,0.2302617
12.19998,0,0.9,0
13.5,-0.1524123,0.8988092,0.215968
13.5,0,0.9,0
14.85999,-0.151412,0.893122,0.2051799
14.85999,0,0.9,0
16.12,-0.1480476,0.8967503,0.2080183
16.12,0,0.9,0
17.44,-0.1552734,0.8972308,0.2038617
17.44,0,0.9,0
18.73999,-0.1554057,0.9043138,0.2116709
18.73999,0,0.9,0
20.06,-0.1450957,0.9082376,0.2026754
20.06,0,0.9,0
21.41998,-0.1642264,0.9024056,0.2352761
21.41998,0,0.9,0
23.03998,-0.1718312,0.9344796,0.2312591
23.03998,0,0.9,0
24.34,-0.147424,0.9080186,0.2176573
24.34,0,0.9,0
25.89999,-0.1590464,0.9246601,0.2278082
25.89999,0,0.9,0
28.35999,-0.1671041,0.9178841,0.2642989
28.35999,0,0.9,0
30.72,-0.1463332,0.9057873,0.2301879
30.72,0,0.9,0
32,-0.1469755,0.9081374,0.2154695
32,0,0.9,0
33.23999,-0.1738558,0.8966025,0.2440981
33.23999,0,0.9,0
34.41998,-0.1706611,0.8960494,0.2200235
34.41998,0,0.9,0
35.67999,-0.1423667,0.9053749,0.2088941
35.67999,0,0.9,0
36.97998,-0.1625919,0.900886,0.2305113
36.97998,0,0.9,0
38.25998,-0.1495887,0.9062253,0.2051682
38.25998,0,0.9,0
39.35999,-0.1572337,0.9195431,0.1977188
39.35999,0,0.9,0
40.69998,-0.147503,0.911696,0.2132876
40.69998,0,0.9,0
42.22,-0.1473479,0.9383227,0.2165822
42.22,0,0.9,0
42.87997,-0.1042295,0.9518336,0.1502643
42.87997,0,0.9,0
44.17999,-0.1668481,0.8949938,0.2136703
44.17999,0,0.9,0
45.57999,-0.1729852,0.9064046,0.2211387
45.57999,0,0.9,0
47,-0.1932763,0.9086568,0.2014347
47,0,0.9,0
48.19998,-0.1613604,0.9460301,0.2080323
48.19998,0,0.9,0
50.53998,-0.1457198,0.9508311,0.2130686
50.53998,0,0.9,0
52,-0.1419496,0.9276548,0.2308233
52,0,0.9,0
53.69998,-0.07722247,0.9505038,0.1485674
53.69998,0,0.9,0
55.17999,-0.1345157,0.9394686,0.2068368
55.17999,0,0.9,0
56.35999,-0.1793475,0.9564496,0.2335709
59.69998,-0.1440674,0.9467438,0.2077988
59.69998,0,0.9,0
61.47998,-0.1652363,0.9317421,0.2346779
61.47998,0,0.9,0
63.28,-0.173715,0.9399209,0.240349
63.28,0,0.9,0
67.19998,-0.1637168,0.9458476,0.2195311
67.19998,0,0.9,0
69.28,-0.1959676,0.9488633,0.2611152
69.28,0,0.9,0
71.01999,-0.1821103,0.9506863,0.2479742
71.01999,0,0.9,0
72.47998,-0.1787754,0.9504222,0.2527701
73.72,-0.1788953,0.963919,0.2264453
73.72,0,0.9,0
75.15997,-0.1723717,0.9438553,0.2303521
75.15997,0,0.9,0
75.17999,0.186496,0.974106,0.2028765
75.17999,0,0.9,0
81.75998,-0.1423307,0.9331799,0.174334
81.75998,0,0.9,0
85.34,-0.1503823,0.9569498,0.2208456
85.34,0,0.9,0
97.37997,-0.1561797,0.9225316,0.2203394
97.37997,0,0.9,0
98.39999,-0.1128746,0.9606104,0.1840027
98.39999,0,0.9,0
99.91998,-0.2090644,0.9006588,0.2372411
99.91998,0,0.9,0
99.93997,-0.001268028,0.9029902,0.002780919
101.3,0,0.9,0
103,-0.1500592,0.8988384,0.1807337
103,0,0.9,0
105.6,-0.1399372,0.8903347,0.2162259
105.6,0,0.9,0
106.98,-0.1507948,0.9163556,0.2322138
106.98,0,0.9,0
108.22,-0.179298,0.9063914,0.2346695
108.22,0,0.9,0
110.32,-0.1500986,0.9466164,0.2272468
110.32,0,0.9,0
111.4,-0.1355743,0.9605348,0.2053853
111.4,0,0.9,0
112.48,-0.1725343,0.9415609,0.2237714
112.48,0,0.9,0
