Time, X, Y, Z
0,-0.2314762,0.8388183,0.07768151
0.0001220703,-0.2314775,0.8388186,0.07768336
0.0111084,-0.2314577,0.8387958,0.07773376
0.01998901,-0.2314665,0.8387199,0.07772011
0.02218628,-0.2314796,0.8386838,0.07771191
0.03323364,-0.2314336,0.8385659,0.07771698
0.03997803,-0.2314355,0.8385581,0.07776266
0.04449463,-0.2314351,0.8386608,0.07794261
0.05532837,-0.2313751,0.8386588,0.07805699
0.05999756,-0.2313407,0.8386347,0.07806101
0.06646729,-0.2312279,0.8385943,0.07804066
0.07794189,-0.2311733,0.8386363,0.07804209
0.07998657,-0.2311665,0.8386397,0.07802594
0.08883667,-0.2311214,0.8386675,0.07800996
0.09988403,-0.2310416,0.8387564,0.07790732
0.09997559,-0.2310409,0.8387573,0.07790607
0.1108704,-0.2310105,0.8388444,0.07783744
0.1199951,-0.2310429,0.8389339,0.07779664
0.1228333,-0.2310486,0.8389795,0.07776737
0.1332703,-0.2310162,0.8391332,0.07782891
0.1399841,-0.2310093,0.839227,0.07793173
0.1443481,-0.2310447,0.8392169,0.07792807
0.1553345,-0.2311482,0.8392902,0.07789183
0.1600037,-0.231195,0.8393253,0.07791251
0.1665039,-0.2312578,0.8393593,0.07793826
0.1777344,-0.2313059,0.8394223,0.07776535
0.1799927,-0.2313201,0.8394268,0.07772246
0.1888123,-0.2314191,0.8394129,0.0775241
0.1999207,-0.2315269,0.8393622,0.07729763
0.1999817,-0.2315275,0.8393618,0.07729623
0.210907,-0.2315544,0.8392963,0.07715267
0.2200012,-0.2316161,0.8391197,0.07700577
0.2219849,-0.2316355,0.8390757,0.0769681
0.2332458,-0.2314854,0.8390976,0.07711875
0.2399902,-0.2314,0.8389974,0.07701665
0.2441711,-0.2313042,0.8389289,0.07693604
0.2553101,-0.23105,0.8389948,0.07715949
0.2599792,-0.2310321,0.8389359,0.07712021
0.266571,-0.2309563,0.8388383,0.07705659
0.2779541,-0.2308165,0.8387897,0.07690689
0.2799988,-0.2307911,0.8387805,0.07688305
0.2888794,-0.2307548,0.8388526,0.07681409
0.2998962,-0.2307532,0.8389801,0.07677189
0.2999878,-0.2307533,0.8389814,0.07677162
0.3108521,-0.2306599,0.8391119,0.07672197
0.3199768,-0.2305697,0.8395697,0.07716489
0.3220825,-0.2305479,0.8396781,0.07725656
0.333252,-0.2305811,0.8397467,0.07713553
0.3399963,-0.230577,0.8399295,0.07723784
0.3443298,-0.2305557,0.8401294,0.07738125
0.3552246,-0.2305481,0.8402017,0.07735509
0.3599854,-0.2305401,0.840228,0.07732409
0.3664551,-0.2305361,0.8402358,0.07727519
0.3777161,-0.2304849,0.8402572,0.07717621
0.3799744,-0.2304779,0.8402609,0.07715023
0.3886719,-0.230366,0.8402173,0.07703307
0.3996277,-0.2302764,0.8402076,0.07685703
0.3999939,-0.2302737,0.8402092,0.07685295
0.4107971,-0.230081,0.8404024,0.07715368
0.4199829,-0.2301452,0.8402455,0.07694995
0.4219666,-0.2301565,0.840237,0.0769355
0.4331665,-0.2302154,0.8403854,0.0769909
0.4400024,-0.2302454,0.8404884,0.07701403
0.4442444,-0.2302746,0.840526,0.07697713
0.4552307,-0.230258,0.8405545,0.0768303
0.4599915,-0.2302386,0.8405343,0.07675472
0.4664612,-0.2302829,0.8405634,0.0766646
0.4775391,-0.2303635,0.8404962,0.0764713
0.4799805,-0.2303881,0.8404709,0.07642257
0.4886169,-0.2304239,0.8404306,0.07630888
0.4996643,-0.2303871,0.8406274,0.07651073
0.5,-0.2303946,0.8406087,0.0764935
0.5109863,-0.2304084,0.8404524,0.07639304
0.519989,-0.2304249,0.8403665,0.07621402
0.5221558,-0.2303674,0.8404764,0.07640317
0.53302,-0.2303177,0.8403776,0.07639411
0.539978,-0.2302801,0.8402541,0.07632089
0.5440979,-0.2302365,0.8401768,0.07627609
0.5551453,-0.2301657,0.839942,0.07623866
0.5599976,-0.2301091,0.8398199,0.07622543
0.5664063,-0.2300598,0.8396956,0.07622534
0.5774841,-0.2301459,0.8395712,0.07619444
0.5799866,-0.2301698,0.8395426,0.07617548
0.5885925,-0.2299596,0.8396062,0.0765475
0.5997314,-0.2298737,0.8395472,0.07654601
0.5999756,-0.2298818,0.839551,0.07653922
0.6108093,-0.2298482,0.8395135,0.07649282
0.6199951,-0.2298431,0.8397779,0.0768671
0.6219177,-0.2298352,0.8397918,0.07686338
0.6331787,-0.2299253,0.8398538,0.07677603
0.6399841,-0.2300078,0.8398944,0.07671732
0.6441956,-0.230061,0.8399227,0.07668456
0.6550903,-0.2301407,0.839916,0.07657975
0.6600037,-0.2302016,0.8399137,0.07655701
0.6663513,-0.2302958,0.8399171,0.07649547
0.6772766,-0.2303783,0.8398553,0.07648724
0.6799927,-0.2303937,0.8398324,0.07649407
0.688385,-0.2304418,0.839762,0.07639328
0.699707,-0.2304986,0.839725,0.07630301
0.6999817,-0.2304992,0.8397753,0.07638985
0.7106628,-0.2305371,0.8399884,0.07675239
0.7200012,-0.2305255,0.8398091,0.07663631
0.7219543,-0.2305232,0.8398013,0.07664281
