Time, X, Y, Z
0,0.2031329,0.8882526,0.08712187
0.0001220703,0.2031332,0.8882567,0.0871228
0.0111084,0.2029536,0.8883181,0.08714458
0.01998901,0.2030464,0.8884643,0.08705857
0.02218628,0.2030691,0.8885036,0.08703047
0.03323364,0.2032472,0.8885263,0.08681518
0.03997803,0.2033056,0.888527,0.08667657
0.04449463,0.2033352,0.888484,0.086593
0.05532837,0.2033935,0.888401,0.08643183
0.05999756,0.2034457,0.8883197,0.08636987
0.06646729,0.2035984,0.8881739,0.08623213
0.07794189,0.2032855,0.8879215,0.0861806
0.07998657,0.203404,0.888037,0.08618113
0.08883667,0.2034804,0.8880951,0.08617932
0.09988403,0.2033647,0.8880833,0.08616862
0.09997559,0.2033629,0.8880829,0.08616847
0.1108704,0.2033787,0.8882636,0.0861612
0.1199951,0.2033962,0.8882631,0.08618528
0.1228333,0.2033985,0.888248,0.08622277
0.1332703,0.2034531,0.8882051,0.08628613
0.1399841,0.2034869,0.8881443,0.08633533
0.1443481,0.2034911,0.8880865,0.08637986
0.1553345,0.2034888,0.8879933,0.08648068
0.1600037,0.2033614,0.8878725,0.08654252
0.1665039,0.2031533,0.8876615,0.08661699
0.1777344,0.2033221,0.8877885,0.08665332
0.1799927,0.2033361,0.8878154,0.08668426
0.1888123,0.2031795,0.8876821,0.08666712
0.1999207,0.2030981,0.8875731,0.08666614
0.1999817,0.2030979,0.8875726,0.08666623
0.210907,0.203135,0.8874091,0.0866968
0.2200012,0.2032138,0.8872021,0.0867185
0.2219849,0.203224,0.8871452,0.08671793
0.2332458,0.2033182,0.8869132,0.08669075
0.2399902,0.2034352,0.8868248,0.0866811
0.2441711,0.2035608,0.8867885,0.08667552
0.2553101,0.2034309,0.886633,0.0866853
0.2599792,0.2035176,0.886687,0.08669707
0.266571,0.2036825,0.886795,0.08669621
0.2779541,0.2037,0.8869585,0.08660462
0.2799988,0.2036685,0.8869671,0.08657616
0.2888794,0.2037159,0.8872218,0.08663636
0.2998962,0.2038228,0.8874614,0.08664274
0.2999878,0.2038237,0.8874633,0.08664256
0.3108521,0.2040184,0.8875972,0.08665708
0.3199768,0.2041576,0.8877186,0.08669084
0.3220825,0.2041927,0.8877611,0.08670509
0.333252,0.2043191,0.8877439,0.08670864
0.3399963,0.2043833,0.8876834,0.08662942
0.3443298,0.2044173,0.8876075,0.08651373
0.3552246,0.2045299,0.8875275,0.08634147
0.3599854,0.204546,0.8874992,0.08630422
0.3664551,0.2045728,0.887412,0.08621162
0.3777161,0.204127,0.8871245,0.08618751
0.3799744,0.2041045,0.8871092,0.08618718
0.3886719,0.2041068,0.8870301,0.08609816
0.3996277,0.2040784,0.8869543,0.08597833
0.3999939,0.2040769,0.8869514,0.08597416
0.4107971,0.2041351,0.8868793,0.08585733
0.4199829,0.2040931,0.8868032,0.08589906
0.4219666,0.2040809,0.8867898,0.08590791
0.4331665,0.2039543,0.8867384,0.08597559
0.4400024,0.2038711,0.8867538,0.08603218
0.4442444,0.2038084,0.8867811,0.08609644
0.4552307,0.2038284,0.8867856,0.0861631
0.4599915,0.2037418,0.8867655,0.08618829
0.4664612,0.2036983,0.886865,0.08634859
0.4775391,0.2037532,0.8869792,0.08659577
0.4799805,0.2037592,0.8869957,0.08665237
0.4886169,0.2037992,0.8871733,0.08683875
0.4996643,0.2037822,0.8872604,0.08695239
0.5,0.2037787,0.8872623,0.08695385
0.5109863,0.2037898,0.8872949,0.0870212
0.519989,0.2038021,0.8872393,0.08705276
0.5221558,0.2038039,0.8871982,0.08700946
0.53302,0.2037858,0.8871655,0.08695558
0.539978,0.2037918,0.8871694,0.08694354
0.5440979,0.203817,0.8871701,0.08694535
0.5551453,0.2036343,0.8870331,0.08699346
0.5599976,0.2037063,0.8871041,0.08699653
0.5664063,0.2037291,0.8872144,0.08702371
0.5774841,0.2035131,0.8873132,0.08701783
0.5799866,0.2034362,0.8873172,0.08699566
0.5885925,0.2035528,0.8876269,0.08694792
0.5997314,0.203621,0.8878747,0.08681187
0.5999756,0.203621,0.8878756,0.08680648
0.6108093,0.2037096,0.8880855,0.08661366
0.6199951,0.2037841,0.888227,0.08637655
0.6219177,0.2037964,0.8882499,0.08631784
0.6331787,0.2037699,0.8883768,0.085989
0.6399841,0.2035656,0.888364,0.08576992
0.6441956,0.2033861,0.8883185,0.08560222
0.6550903,0.2034347,0.8884665,0.08523774
0.6600037,0.2034604,0.8884943,0.0850741
0.6663513,0.2033318,0.8884868,0.08488971
0.6772766,0.2033128,0.8885322,0.08466566
0.6799927,0.2033451,0.8885591,0.08460552
0.688385,0.2034284,0.8886082,0.08436689
0.699707,0.2036661,0.8886069,0.08409661
0.6999817,0.2036477,0.8886014,0.08411202
0.7106628,0.203795,0.8885224,0.08388445
0.7200012,0.2039154,0.8884026,0.08402669
0.7219543,0.2039384,0.8883848,0.08404875
0.7330017,0.2036837,0.8881434,0.08421749
0.7399902,0.2035747,0.8880824,0.08433878
0.743988,0.2035193,0.8880538,0.08441582
0.7550659,0.2033772,0.8880721,0.08464235
0.7599792,0.2031513,0.8880004,0.08472702
0.7662659,0.2031353,0.8880903,0.08488607
0.7772522,0.2030911,0.8882106,0.08512211
0.7799988,0.2030699,0.8882388,0.08518642
0.7885742,0.2030683,0.888402,0.08537182
0.799408,0.2030838,0.8883553,0.08546561
0.7999878,0.2030908,0.888368,0.08545345
0.8107605,0.2031213,0.8883276,0.08547175
0.8199768,0.2030046,0.888148,0.08549246
0.8218079,0.2029697,0.8881056,0.08549732
0.8328247,0.2030242,0.8880509,0.08538654
0.8399963,0.2030648,0.888052,0.08527479
0.8439636,0.2030701,0.8880445,0.08521336
0.8550415,0.2028582,0.8879317,0.08489686
0.8599854,0.2030746,0.8880471,0.08477777
0.8661804,0.2031635,0.8881521,0.08464229
0.8774719,0.2033337,0.8883293,0.08447406
0.8799744,0.203373,0.8883711,0.08443722
0.8882446,0.2034024,0.8885475,0.08436048
0.8994446,0.2034172,0.8888302,0.08437076
