Time, X, Y, Z
0,0.1739722,0.853712,0.1312513
0.002700806,0.1739698,0.8537052,0.1312161
0.01407242,0.1740103,0.8537493,0.1312737
0.02000046,0.1740391,0.8537331,0.1312693
0.02492142,0.1740523,0.8537311,0.1312855
0.03613281,0.1741562,0.8536703,0.1312298
0.04000092,0.1742219,0.8536434,0.1311961
0.04704285,0.1742838,0.8535748,0.1311584
0.05831146,0.1743825,0.8535404,0.1310696
0.06000137,0.1743828,0.8535384,0.1310332
0.06952667,0.1743367,0.8534325,0.1309756
0.08000183,0.1743537,0.8533593,0.130952
0.08053589,0.1743553,0.8533581,0.1309512
0.09679413,0.1744271,0.8530887,0.1307687
0.1000023,0.1744336,0.8530447,0.1307902
0.1025963,0.174441,0.8529955,0.1308144
0.1102028,0.17443,0.8529318,0.130828
0.1200027,0.1744345,0.8527164,0.1306551
0.1216316,0.1744243,0.8526438,0.1306097
0.132431,0.1743499,0.8525953,0.1306235
0.1399994,0.1743078,0.8525592,0.1306554
0.1435776,0.1742764,0.8525147,0.1306604
0.1546631,0.1741251,0.8524235,0.1307238
0.1599998,0.174053,0.8524072,0.1307633
0.1656952,0.1740355,0.8524375,0.1307977
0.17696,0.1740077,0.8524624,0.1308045
0.1800003,0.1740313,0.8525309,0.1307873
0.1880951,0.1740674,0.8526276,0.130795
0.1989937,0.1740492,0.8528259,0.1308404
0.2000008,0.1740464,0.8528507,0.1308441
0.2102699,0.1740202,0.8529853,0.1307401
0.2200012,0.174035,0.8531967,0.1308128
0.2213974,0.1740401,0.8532303,0.1308286
0.2322617,0.1740429,0.8535206,0.1309103
0.2400017,0.1740825,0.853631,0.1308976
0.2435608,0.1740897,0.853741,0.1309405
0.2548943,0.174019,0.8539006,0.1310039
0.2600021,0.1739925,0.8539621,0.1310176
0.265831,0.174042,0.85406,0.1310088
0.2768135,0.1740159,0.8542174,0.130997
0.2800026,0.1739846,0.854262,0.1310022
0.2881126,0.1739449,0.8543195,0.1309536
0.2990265,0.1738769,0.8544074,0.1309126
0.2999992,0.1738696,0.8544179,0.1309072
0.3100967,0.1738372,0.8545321,0.1308621
0.3199997,0.1737998,0.8545997,0.1308648
0.3214188,0.1737926,0.8546075,0.1308675
0.3323364,0.1737866,0.8546013,0.1307869
0.3400002,0.1737297,0.8546092,0.1308164
0.3436546,0.1736699,0.8546054,0.1308135
0.3546715,0.1736565,0.8545571,0.1307398
0.3600006,0.1736644,0.8544958,0.1306869
0.3656464,0.1735891,0.8544108,0.1307023
0.3767509,0.173496,0.8542279,0.1306462
0.3800011,0.1734742,0.8541675,0.1306209
0.3878784,0.1734622,0.8540118,0.130468
0.3990898,0.1734565,0.8538493,0.1302681
0.4000015,0.1734529,0.8538373,0.1302531
0.4101257,0.1734017,0.8537287,0.1301582
0.420002,0.1734563,0.8537368,0.1300881
0.4212723,0.1734682,0.8537431,0.1300773
0.4324799,0.1735452,0.8537866,0.1300334
0.4400024,0.1736261,0.853828,0.1300446
0.4434319,0.1736921,0.8538659,0.1300694
0.4547272,0.1738238,0.8539028,0.1301006
0.4600029,0.1738732,0.8539991,0.1302194
0.4660645,0.1739283,0.8540606,0.1302906
0.4774551,0.1740861,0.8541274,0.1302733
0.4799995,0.1741286,0.8541428,0.1302613
