Time, X, Y, Z
11.68,0.15,0.86,0.2
17.16,0.15,0.86,0.2
21.28,0.15,0.86,0.2
24.12,0.15,0.86,0.2
27.3,0.15,0.86,0.2
32.14,0.15,0.86,0.2
38.06,0.15,0.86,0.2
39.36,0.15,0.86,0.2
56.04,0.15,0.86,0.2
61.92,0.15,0.86,0.2
65.27365,0.15,0.86,0.2
68.98,0.15,0.86,0.2
81.84,0.15,0.86,0.2
87.09999,0.15,0.86,0.2
98.58,0.15,0.86,0.2
103.08,0.15,0.86,0.2
103.12,0.15,0.86,0.2
103.22,0.15,0.86,0.2
107.54,0.15,0.86,0.2
109.94,0.15,0.86,0.2
113.66,0.15,0.86,0.2
116.62,0.15,0.86,0.2
119.28,0.15,0.86,0.2
156.88,0.15,0.86,0.2
158.22,0.15,0.86,0.2
160.28,0.15,0.86,0.2
164.64,0.15,0.86,0.2
172.58,0.15,0.86,0.2
173.32,0.15,0.86,0.2
173.64,0.15,0.86,0.2
174.82,0.15,0.86,0.2
174.88,0.15,0.86,0.2
174.92,0.15,0.86,0.2
175.04,0.15,0.86,0.2
177.32,0.15,0.86,0.2
180,0.15,0.86,0.2
180.9,0.15,0.86,0.2
180.94,0.15,0.86,0.2
183,0.15,0.86,0.2
184.82,0.15,0.86,0.2
184.86,0.15,0.86,0.2
187.42,0.15,0.86,0.2
198.82,0.15,0.86,0.2
206.9,0.15,0.86,0.2
208,0.15,0.86,0.2
210.3079,0.15,0.86,0.2
211.64,0.15,0.86,0.2
211.74,0.15,0.86,0.2
211.8,0.15,0.86,0.2
213.76,0.15,0.86,0.2
216.56,0.15,0.86,0.2
219.16,0.15,0.86,0.2
224.34,0.15,0.86,0.2
225.5,0.15,0.86,0.2
230.2,0.15,0.86,0.2
