Time, X, Y, Z
0.006103516,0.1638444,0.9089854,0.07062373
0.009735107,0.1637017,0.9089126,0.07056339
0.02113342,0.1635421,0.9087217,0.07043967
0.02610779,0.1635266,0.9086935,0.07041112
0.03218079,0.1635675,0.9087144,0.07034352
0.04290771,0.1636966,0.9086421,0.07019405
0.0460968,0.1637708,0.9085832,0.07008037
0.05403137,0.1639652,0.9083534,0.06951486
0.06521606,0.1641531,0.907775,0.06854132
0.06610107,0.1641831,0.9077363,0.06845874
0.07621765,0.1647135,0.90727,0.0680294
0.08610535,0.1653916,0.9068652,0.0678689
0.08758545,0.1655064,0.9068044,0.06784153
0.09843445,0.1662815,0.9066789,0.06780553
0.1061096,0.1667051,0.9066661,0.06787698
0.109848,0.1669319,0.906599,0.06791455
0.1206207,0.1670324,0.9064599,0.06830096
0.1260986,0.1671224,0.9063973,0.06854251
0.131897,0.1672415,0.906283,0.06879634
0.1432648,0.1674038,0.9061914,0.06948213
0.1461029,0.1674577,0.9061732,0.06968857
0.154007,0.167685,0.9060577,0.07013592
0.1650085,0.1681352,0.9060642,0.07052317
0.1661072,0.168207,0.9060358,0.0705394
0.1762085,0.1687894,0.9058558,0.07071126
0.1860962,0.1692923,0.9055572,0.07075372
0.1873322,0.1693681,0.905512,0.07075828
0.1987762,0.1698309,0.905434,0.07097171
0.2061005,0.1699905,0.905285,0.07114877
0.2096558,0.1700523,0.9051633,0.07125132
0.2208252,0.1700916,0.9050905,0.07188281
0.2261047,0.1700608,0.9050713,0.07213555
0.231842,0.1699646,0.9049476,0.0723386
0.2432098,0.1697571,0.9049778,0.07244323
0.246109,0.1697226,0.9050699,0.07241546
0.2540588,0.1695467,0.9051443,0.07226765
0.2650909,0.1693016,0.9052984,0.07227704
0.266098,0.1692666,0.9053144,0.07228598
0.2761841,0.1688758,0.9052973,0.07239665
0.2861023,0.1686908,0.9052541,0.07231206
0.2872162,0.1687142,0.9052573,0.07231517
0.2983856,0.1685524,0.9052941,0.07236151
0.3061066,0.1685644,0.9053514,0.07235739
0.3097992,0.168642,0.9054029,0.07232986
0.320694,0.1687551,0.9055258,0.07237493
0.3260956,0.1687703,0.9056279,0.07245719
0.3318634,0.1687742,0.9057264,0.07257859
0.3428497,0.1687572,0.9059533,0.07282059
0.3460999,0.1687515,0.9060363,0.07290818
0.3539886,0.1685547,0.9062148,0.07307099
0.365097,0.1684745,0.9063107,0.07316688
0.3661041,0.1684827,0.9063536,0.07319832
0.3761139,0.168357,0.9065961,0.07337745
0.3861084,0.1682438,0.9067357,0.07346991
0.3872375,0.1682455,0.9067339,0.07346834
0.3983459,0.1681864,0.906926,0.07371724
0.4060974,0.1680667,0.9069446,0.07379043
0.4096527,0.1679796,0.9069448,0.07380325
0.4206238,0.1678001,0.9069927,0.0739079
