Time, X, Y, Z
4.037964,-0.147966,0.8989725,0.2025087
4.037964,0,0.9,0
6.197937,-0.1644288,0.9135363,0.2104477
6.197937,0,0.9,0
9.197937,-0.1513438,0.8969846,0.199275
9.197937,0,0.9,0
11.11792,-0.1574805,0.90092,0.2176693
11.11792,0,0.9,0
12.95795,-0.1458191,0.9037395,0.2216492
12.95795,0,0.9,0
14.83795,-0.17676,0.8951372,0.2115281
14.83795,0,0.9,0
16.83795,-0.1405668,0.8953996,0.2148952
16.83795,0,0.9,0
18.61792,-0.1497121,0.8950425,0.2036082
18.61792,0,0.9,0
20.41797,-0.1511168,0.8953163,0.2141755
20.41797,0,0.9,0
22.37793,-0.1520745,0.9078892,0.2151561
22.37793,0,0.9,0
24.11792,-0.1534802,0.8963546,0.2221665
24.11792,0,0.9,0
26.07794,-0.1498856,0.895169,0.220973
26.07794,0,0.9,0
27.85791,-0.1613083,0.889203,0.2218224
27.85791,0,0.9,0
29.59796,-0.1533816,0.8942167,0.22464
29.59796,0,0.9,0
32.27795,-0.1799622,0.9083042,0.2336469
32.27795,0,0.9,0
34.33795,-0.1652182,0.8837654,0.2070045
34.33795,0,0.9,0
47.59796,-0.1522819,0.8927513,0.1967551
47.59796,0,0.9,0
49.29791,-0.1595368,0.8973753,0.2240782
49.29791,0,0.9,0
51.03796,-0.1559428,0.8939777,0.2101528
51.03796,0,0.9,0
52.85791,-0.1600329,0.8871671,0.2196435
52.85791,0,0.9,0
54.51794,-0.156051,0.8939778,0.2076894
54.51794,0,0.9,0
56.23792,-0.1772277,0.8958267,0.2109247
56.23792,0,0.9,0
57.99792,-0.1656949,0.894505,0.2155023
57.99792,0,0.9,0
59.85791,-0.1570497,0.8962196,0.219904
59.85791,0,0.9,0
61.53796,-0.1639029,0.8932893,0.2036965
61.53796,0,0.9,0
63.25793,-0.1682529,0.8954671,0.2180146
63.25793,0,0.9,0
65.25793,-0.1867713,0.8933879,0.2269966
65.25793,0,0.9,0
68.23792,-0.1570109,0.9009069,0.1922431
68.23792,0,0.9,0
69.95795,-0.1576422,0.8889496,0.2193914
69.95795,0,0.9,0
71.67792,-0.151422,0.889456,0.2130672
71.67792,0,0.9,0
73.33795,-0.1579731,0.8943648,0.2070415
73.33795,0,0.9,0
85.41791,-0.1515315,0.8872705,0.2207289
85.41791,0,0.9,0
87.01794,-0.1548748,0.889393,0.208346
87.01794,0,0.9,0
88.71796,-0.1614087,0.8956527,0.2264966
88.71796,0,0.9,0
90.31793,-0.165235,0.8953578,0.2202168
90.31793,0,0.9,0
91.85791,-0.1572604,0.894286,0.2191111
91.85791,0,0.9,0
93.47797,-0.1663751,0.8944426,0.2111408
93.47797,0,0.9,0
95.17792,-0.1652136,0.8919747,0.2155806
95.17792,0,0.9,0
96.69794,-0.1632733,0.8943786,0.2120575
96.69794,0,0.9,0
98.37793,-0.1704261,0.8912812,0.2187198
98.37793,0,0.9,0
99.93793,-0.1654184,0.890944,0.216707
99.93793,0,0.9,0
101.6779,-0.1571671,0.8950772,0.206772
101.6779,0,0.9,0
103.2579,-0.1611917,0.898468,0.2157207
103.2579,0,0.9,0
104.8779,-0.1546973,0.8886635,0.2155495
104.8779,0,0.9,0
106.5179,-0.1530864,0.8933116,0.188624
106.5179,0,0.9,0
108.2379,-0.151724,0.8886772,0.2054954
108.2379,0,0.9,0
120.3179,-0.157728,0.894232,0.2283809
120.3179,0,0.9,0
121.778,-0.1622849,0.9003904,0.198218
121.778,0,0.9,0
123.3179,-0.1702226,0.8972989,0.2032463
123.3179,0,0.9,0
124.8979,-0.1712078,0.8938894,0.1957548
124.8979,0,0.9,0
126.5179,-0.183849,0.893015,0.2206926
126.5179,0,0.9,0
128.0579,-0.157325,0.8919072,0.2010788
128.0579,0,0.9,0
129.7379,-0.1701514,0.9129298,0.1930302
129.7379,0,0.9,0
132.5579,-0.1536331,0.9015536,0.1988672
132.5579,0,0.9,0
134.2979,-0.1659605,0.8927138,0.2059039
134.2979,0,0.9,0
135.8579,-0.1666818,0.8955778,0.2120444
135.8579,0,0.9,0
137.478,-0.1599368,0.8950943,0.2020435
137.478,0,0.9,0
