Time, X, Y, Z
0.01043701,-0.1214078,0.8984593,0.1748664
0.01794434,-0.121543,0.8978218,0.1755905
0.02185059,-0.1215573,0.8973565,0.1760582
0.03277588,-0.1216369,0.896202,0.1768686
0.03796387,-0.1218788,0.8956276,0.1773051
0.04400635,-0.1228652,0.8950136,0.1783639
0.05499268,-0.1236034,0.8940625,0.178884
0.05792236,-0.123724,0.8937906,0.1790134
0.06610107,-0.1241179,0.8929067,0.1793903
0.07720947,-0.1245304,0.8921947,0.179573
0.07794189,-0.1245797,0.8921451,0.179554
0.08837891,-0.1250139,0.8914431,0.1796145
0.09796143,-0.1252374,0.8910038,0.1796951
0.0993042,-0.1252668,0.8909482,0.1797104
0.1104126,-0.1256348,0.8907223,0.1794082
0.1179199,-0.125708,0.8904952,0.1791098
0.1216431,-0.1257666,0.8903752,0.1789585
0.1329346,-0.126164,0.8898961,0.1789642
0.1379395,-0.1264383,0.8895802,0.1789597
0.1436157,-0.126653,0.8890468,0.1785697
0.1547241,-0.1266025,0.8882745,0.1779176
0.157959,-0.126441,0.8881357,0.1776789
0.1661377,-0.1260385,0.8875066,0.1769117
0.1772461,-0.1253823,0.8867701,0.1760088
0.1779175,-0.1254166,0.8867341,0.1760795
0.1882935,-0.1247991,0.8861055,0.1752181
0.197937,-0.1240948,0.8855635,0.1745785
0.199646,-0.1239544,0.8854526,0.1744619
0.2103882,-0.1237473,0.8849815,0.1740802
0.2179565,-0.1237074,0.8845141,0.1739637
0.2216797,-0.1237723,0.8842443,0.1742007
0.2329102,-0.1236167,0.8838735,0.1743459
0.237915,-0.1234387,0.8837287,0.1742729
0.2437744,-0.123201,0.8835155,0.174137
0.2549438,-0.1231729,0.8831407,0.1744924
0.2579346,-0.1230735,0.8831347,0.1743924
0.2671509,-0.1230507,0.8830857,0.1742263
0.2769165,-0.1231068,0.8831021,0.1742034
0.2779541,-0.1231142,0.8831041,0.1742085
0.288147,-0.123279,0.8831509,0.1742179
0.2979126,-0.1235181,0.8830649,0.1742105
0.2994995,-0.1235601,0.8830411,0.1742056
0.3102417,-0.1239095,0.8828949,0.174171
0.3179321,-0.1245218,0.882699,0.1746137
0.3215332,-0.1246017,0.8826932,0.1744595
0.3329468,-0.1249323,0.8827528,0.1743978
0.3379517,-0.1251605,0.8827648,0.1745501
0.34375,-0.1255223,0.8827466,0.1749075
0.3547363,-0.1254972,0.8829968,0.1745734
0.3579102,-0.125498,0.8830322,0.174388
0.3661499,-0.1255879,0.8830819,0.1739337
0.3770752,-0.1255434,0.8829891,0.1735232
0.3779297,-0.1255323,0.8829836,0.1734838
0.3883057,-0.1254974,0.8827972,0.1730348
0.3979492,-0.1255485,0.8827761,0.1727343
0.399353,-0.125563,0.8827735,0.17269
0.4104614,-0.1263447,0.882573,0.1732267
0.4179688,-0.1262313,0.8827007,0.1727701
0.4216919,-0.1263126,0.8827863,0.1725281
0.432373,-0.126696,0.8829421,0.1725218
0.4379272,-0.1268066,0.8830993,0.1723452
0.4436646,-0.1268607,0.8833836,0.1719616
0.4547119,-0.126862,0.8837137,0.1712002
0.4579468,-0.1268614,0.8838289,0.170995
0.4659424,-0.126916,0.884232,0.1704232
0.4769897,-0.126876,0.8847303,0.1697556
0.4779663,-0.1268686,0.8847785,0.1696919
0.4882813,-0.1266639,0.8853788,0.1689181
0.4979248,-0.1268688,0.8859682,0.1690803
0.4993286,-0.1268954,0.8860619,0.1691039
0.510437,-0.1264151,0.8865218,0.1683893
0.5179443,-0.1261737,0.8868927,0.1681344
0.5214233,-0.1261943,0.8871014,0.1682831
0.5325317,-0.1257602,0.8876056,0.1680379
0.5379639,-0.1253867,0.8878685,0.1678133
0.5437622,-0.1248734,0.8881915,0.1675769
0.5547485,-0.1239897,0.888698,0.1670816
0.5579224,-0.1237424,0.888828,0.1669477
0.56604,-0.1230084,0.889139,0.1668214
0.5769043,-0.1221775,0.8893737,0.1669666
0.5779419,-0.1220915,0.8893935,0.1669917
0.5880737,-0.1221269,0.8894162,0.1682112
0.5979614,-0.1216406,0.8893684,0.1688073
