Time, X, Y, Z
2.722839,-0.1487768,0.9378393,0.2043932
2.722839,0,0.9,0
6.442841,-0.1505478,0.9267606,0.1989187
6.442841,0,0.9,0
8.882813,-0.1485804,0.9146929,0.2003701
8.882813,0,0.9,0
11.52283,-0.130781,0.9109454,0.1865435
11.52283,0,0.9,0
13.70282,-0.1374233,0.9131857,0.1957176
13.70282,0,0.9,0
16.82281,-0.1416292,0.905263,0.1974216
16.82281,0,0.9,0
19.04282,-0.1348754,0.9334818,0.207436
19.04282,0,0.9,0
19.94632,0.02325654,0.8963317,0.01480919
22.76282,-0.008317965,0.9011853,0.01439125
22.76282,0,0.9,0
25.88281,-0.1477554,0.9213408,0.1826638
25.88281,0,0.9,0
28.30283,-0.1293666,0.906275,0.2026025
28.30283,0,0.9,0
30.34283,-0.1375879,0.9380383,0.1803703
30.34283,0,0.9,0
38.36282,-0.1512212,0.9171289,0.1821696
38.36282,0,0.9,0
41.06284,-0.1515512,0.9254805,0.2078419
41.06284,0,0.9,0
42.92282,-0.01656359,0.8874628,0.01146226
49.16281,-0.1275083,0.9232683,0.1768188
49.16281,0,0.9,0
52.26282,-0.1426584,0.929198,0.1913432
52.26282,0,0.9,0
55.18283,-0.1642864,0.92798,0.1983067
55.18283,0,0.9,0
73.40283,-0.08132504,0.9219946,0.1823312
73.40283,0,0.9,0
86.44284,-0.1390316,0.9181883,0.2096584
86.44284,0,0.9,0
88.66281,-0.1673603,0.9187233,0.2100522
88.66281,0,0.9,0
91.02283,-0.1625255,0.9251916,0.209974
91.02283,0,0.9,0
93.18283,-0.1626417,0.916342,0.1948319
93.18283,0,0.9,0
95.42282,-0.1519007,0.9140767,0.2007691
95.42282,0,0.9,0
97.54282,-0.1870955,0.9133366,0.2029402
97.54282,0,0.9,0
99.88281,-0.1907691,0.8995599,0.2070957
99.88281,0,0.9,0
101.8828,-0.1717722,0.9104215,0.1855008
101.8828,0,0.9,0
108.6628,-0.1446923,0.914862,0.1845626
108.6628,0,0.9,0
112.1828,-0.1419213,0.9178114,0.180107
112.1828,0,0.9,0
115.1428,-0.1650311,0.903627,0.2106782
115.1428,0,0.9,0
125.8628,-0.1620429,0.910815,0.195826
125.8628,0,0.9,0
130.1428,-0.1515316,0.9237849,0.1855423
130.1428,0,0.9,0
132.4828,-0.17274,0.9127339,0.2030358
132.4828,0,0.9,0
145.4828,-0.1743837,0.9306344,0.2023028
145.4828,0,0.9,0
159.9228,-0.1600583,0.9366956,0.1878379
159.9228,0,0.9,0
161.6707,-0.001621953,0.9144776,0.02499979
161.6707,0.002233388,0.8945221,0.003965678
161.6707,0,0.9,0
170.4628,-0.1524485,0.9356634,0.1950895
170.4628,0,0.9,0
172.7428,-0.1668111,0.9285694,0.1884534
172.7428,0,0.9,0
175.2828,-0.1522886,0.9153381,0.1988617
175.2828,0,0.9,0
184.0428,-0.1544847,0.9070761,0.1857167
184.0428,0,0.9,0
186.4628,-0.1476164,0.9208069,0.1970451
186.4628,0,0.9,0
189.8428,-0.0687646,0.9505939,0.07403376
192.9628,-0.02567434,0.8874029,0.0267718
194.5228,-0.03051834,0.8883046,0.02727465
197.5628,-0.1475618,0.9147338,0.1923039
197.5628,0,0.9,0
200.1428,-0.1904771,0.9175177,0.217326
200.1428,0,0.9,0
202.6028,-0.1623496,0.9011498,0.1967431
202.6028,0,0.9,0
205.1028,-0.1394046,0.9042782,0.2085102
205.1028,0,0.9,0
207.4628,-0.1481409,0.9101533,0.2072864
207.4628,0,0.9,0
209.8428,-0.1597822,0.9166923,0.2176134
209.8428,0,0.9,0
213.0028,-0.1900221,0.9105896,0.2209931
213.0028,0,0.9,0
215.1628,-0.1621787,0.8997855,0.2240802
215.1628,0,0.9,0
218.0228,-0.1701127,0.9280781,0.1932702
218.0228,0,0.9,0
230.5428,-0.1842671,0.9158115,0.2187962
230.5428,0,0.9,0
232.8628,-0.1845963,0.8784634,0.2239701
232.8628,0,0.9,0
234.9428,-0.157895,0.9000274,0.2046978
234.9428,0,0.9,0
237.2428,-0.1583991,0.9081792,0.2053638
237.2428,0,0.9,0
239.5228,-0.1708803,0.895201,0.219257
239.5228,0,0.9,0
241.8028,-0.1721516,0.9112325,0.2071073
241.8028,0,0.9,0
244.4828,-0.1741126,0.9012687,0.2188083
244.4828,0,0.9,0
246.7428,-0.169658,0.9080513,0.2097052
246.7428,0,0.9,0
249.1028,-0.1664044,0.9024727,0.2046237
249.1028,0,0.9,0
251.3628,-0.1890046,0.8931612,0.2041198
251.3628,0,0.9,0
253.5428,-0.1810195,0.8973432,0.2043656
253.5428,0,0.9,0
