Time, X, Y, Z
0.002838135,-0.1228455,0.8761012,0.151807
0.01028442,-0.1228082,0.8757309,0.1518815
0.02157593,-0.1228761,0.8752123,0.1520171
0.02282715,-0.1228846,0.8751478,0.1520356
0.03271484,-0.1224559,0.874675,0.1519837
0.04281616,-0.1219241,0.8744311,0.1520688
0.0435791,-0.1218972,0.8744209,0.1520765
0.05462646,-0.1216879,0.8743417,0.1527841
0.06283569,-0.1210909,0.8745602,0.1533009
0.06582642,-0.1208049,0.8746825,0.1535844
0.07702637,-0.1200502,0.8751373,0.1541468
0.08282471,-0.1200896,0.8753456,0.1544966
0.08810425,-0.1195973,0.8756411,0.1545914
0.09963989,-0.1189054,0.8762197,0.154718
0.1028137,-0.1187323,0.8764012,0.1547457
0.1102905,-0.1182894,0.8769724,0.1547054
0.121521,-0.1179622,0.8776957,0.1544257
0.1228333,-0.1179351,0.8777824,0.154395
0.1325684,-0.1178166,0.8783005,0.1539942
0.1428223,-0.1177583,0.8786748,0.153597
0.144165,-0.1177527,0.8787249,0.1535509
0.1547852,-0.1177972,0.8789572,0.1530456
0.1628418,-0.1179089,0.8790552,0.1527007
0.1660156,-0.1179565,0.879091,0.1525548
0.1771545,-0.1180777,0.8790762,0.1521167
0.1828308,-0.1181555,0.8790664,0.1519213
0.1880493,-0.1182526,0.8790964,0.1518095
0.1996765,-0.1184288,0.8791361,0.151767
0.2028198,-0.1184617,0.8791659,0.1517667
0.2102051,-0.118602,0.8792217,0.1518269
0.221344,-0.1188228,0.8794073,0.1519027
0.2228394,-0.1188833,0.8794023,0.1519528
0.2324829,-0.1193027,0.8795839,0.1522527
0.2428284,-0.1195788,0.8798739,0.1523908
0.2435913,-0.1196034,0.8798969,0.1524058
0.2547913,-0.1197459,0.8801665,0.1525059
0.2628174,-0.1197196,0.8802486,0.1525825
0.2659302,-0.1196671,0.8802204,0.1526568
0.2768555,-0.1194296,0.8800865,0.1528264
0.2828369,-0.1192614,0.8799455,0.1529163
0.288147,-0.1190892,0.8797444,0.1529597
0.2992249,-0.1186802,0.8792767,0.1530456
0.3028259,-0.118435,0.879123,0.153161
0.3102417,-0.1178709,0.8787637,0.1533279
0.3216553,-0.1170419,0.878413,0.1535153
0.3228149,-0.1170615,0.8784583,0.1535469
0.3327026,-0.1164823,0.8783029,0.1537638
0.3428345,-0.1159594,0.8781111,0.1541454
0.343689,-0.1159209,0.878094,0.1541785
0.3547668,-0.1152208,0.8777974,0.154501
0.3628235,-0.1147122,0.8775141,0.1548084
0.3660278,-0.1144879,0.8773623,0.155004
0.3770447,-0.1139574,0.8771903,0.1556641
0.3828125,-0.1136206,0.8771416,0.1560014
0.3880005,-0.1132071,0.87713,0.1563533
0.3991394,-0.1133372,0.8771755,0.1565976
0.402832,-0.1134817,0.8770998,0.1566362
0.4103088,-0.1137858,0.8769467,0.1567553
0.4213867,-0.1141944,0.8767078,0.1567649
0.422821,-0.1142988,0.8766576,0.1568189
0.4324646,-0.1149037,0.8763118,0.1568644
0.4428406,-0.1157894,0.8758322,0.1567968
0.443512,-0.1158692,0.8757908,0.1567893
0.4546204,-0.1163398,0.8752915,0.1565228
0.4628296,-0.1166338,0.8748148,0.1562564
0.4657288,-0.1167765,0.8745877,0.1561377
0.4767151,-0.1174577,0.8740177,0.1560456
0.4828186,-0.117789,0.8738683,0.1558471
0.4877625,-0.1181678,0.8737212,0.1557133
0.4991455,-0.1187293,0.873622,0.1554304
0.5028381,-0.1189063,0.873775,0.1554697
0.5104675,-0.1189948,0.8741579,0.1553493
0.5213013,-0.1189284,0.8746985,0.1551187
0.5228271,-0.1189167,0.874791,0.1550791
0.5325012,-0.1188463,0.8754765,0.1551114
0.5428162,-0.1185761,0.8760142,0.1551048
0.5441589,-0.1185345,0.8760988,0.1551078
0.5546265,-0.1184574,0.876397,0.1549124
0.5628357,-0.1185583,0.8767155,0.1550269
0.5658569,-0.118659,0.8769442,0.1551155
0.5767822,-0.1184754,0.8768169,0.1548514
0.5828247,-0.1182733,0.876892,0.1546574
0.5881042,-0.1182139,0.8770307,0.1545915
0.5992126,-0.1182705,0.8770573,0.1543108
0.6028137,-0.1182898,0.8770577,0.1541491
0.6101379,-0.1182993,0.8770165,0.1537826
0.6218872,-0.1184882,0.8770632,0.1537406
0.6228333,-0.1185087,0.8770691,0.1537414
0.6325684,-0.118517,0.877008,0.1535392
0.6428223,-0.1185252,0.8770335,0.1534992
0.6434021,-0.1185243,0.8770349,0.1534988
0.6544495,-0.1187697,0.8770268,0.1538705
0.6628418,-0.1185701,0.877076,0.1539145
0.6656799,-0.1184746,0.8771115,0.1539403
0.6767883,-0.118233,0.8771242,0.1539897
0.6828308,-0.1182033,0.8771734,0.1541722
0.6878967,-0.1179003,0.8772199,0.1541288
0.6989136,-0.1173855,0.8773452,0.1541311
0.7028198,-0.1171948,0.877398,0.1541411
0.7101746,-0.1168266,0.8773752,0.1540621
0.7211609,-0.1162893,0.8774135,0.1540151
0.7228394,-0.1161983,0.8774158,0.1540176
0.7323914,-0.1156357,0.8773839,0.1540845
0.7428284,-0.1152195,0.8775038,0.1543363
0.7432251,-0.1152362,0.8774996,0.1543279
0.7544556,-0.1148752,0.8777975,0.1545047
0.7628174,-0.1148132,0.8779618,0.1547675
0.7657471,-0.1147607,0.8780113,0.1548789
0.7767639,-0.1148994,0.8781295,0.1551125
0.7828369,-0.1150031,0.8781888,0.1552081
0.7878113,-0.1150288,0.8782381,0.1552376
0.7989807,-0.1151938,0.8783081,0.1552042
0.8028259,-0.1152661,0.8783394,0.1551802
0.8101196,-0.1153609,0.8783967,0.1550997
0.8210449,-0.1156885,0.8785895,0.1548478
0.8228149,-0.1157363,0.8785985,0.1548019
0.8321228,-0.1160228,0.8787082,0.1545689
0.8428345,-0.116262,0.8789763,0.1542613
0.8432312,-0.1162701,0.8789845,0.1542542
0.8545837,-0.116336,0.8791477,0.1540165
0.8628235,-0.1163798,0.8792614,0.1538321
0.8657532,-0.1164121,0.8793054,0.1537077
0.8767395,-0.1164648,0.8794912,0.1535042
0.8828125,-0.1164515,0.8796411,0.1533457
0.8879395,-0.1163897,0.8798235,0.1531219
0.8990784,-0.1162293,0.8799479,0.1528077
0.902832,-0.1161367,0.8799411,0.1526427
0.9099426,-0.1159597,0.8800134,0.1522826
0.92099,-0.1155518,0.879928,0.1518722
0.922821,-0.1154915,0.8799376,0.1518719
0.932251,-0.1151264,0.879931,0.1517387
0.9428406,-0.1148733,0.87986,0.1518651
0.9433289,-0.1148634,0.8798559,0.1518777
0.9543762,-0.1147295,0.8798493,0.1521252
0.9628296,-0.1147046,0.87984,0.1523145
0.9655762,-0.1147085,0.879824,0.152397
0.9766541,-0.1148731,0.87991,0.152605
0.9828186,-0.1149798,0.8800294,0.1527709
0.9877625,-0.1150976,0.8801781,0.1529599
0.9987793,-0.1153455,0.8802951,0.1531214
1.002838,-0.1154469,0.8803391,0.1531077
1.01004,-0.1156344,0.8804505,0.1531906
1.021118,-0.1157961,0.8806005,0.1529752
1.022827,-0.1158234,0.8805485,0.1529713
1.032196,-0.1159758,0.8805845,0.1527912
1.042816,-0.1162495,0.8805369,0.1526988
1.043274,-0.1162677,0.8805323,0.1526969
1.05426,-0.1163909,0.8804388,0.1525955
1.062836,-0.1163643,0.8803144,0.1525079
1.065521,-0.1163343,0.8802524,0.1524685
1.076569,-0.1163001,0.8799989,0.1525776
1.082825,-0.1160391,0.8798872,0.1525443
1.087708,-0.1157804,0.8797894,0.1525219
1.098969,-0.1153996,0.8798521,0.1526253
1.102814,-0.1154262,0.8799324,0.1528593
1.109894,-0.1151524,0.8800635,0.1530529
1.121094,-0.1148624,0.8803275,0.15323
1.122833,-0.1148225,0.8803798,0.1532544
1.132294,-0.114784,0.8806786,0.1535501
