Time, X, Y, Z
0.002838135,0.1393689,0.9694022,0.03990047
0.01028442,0.137171,0.9713683,0.03776023
0.02157593,0.1347234,0.9737123,0.03557773
0.02282715,0.1344307,0.9740006,0.03532122
0.03271484,0.131917,0.9768448,0.03312185
0.04281616,0.129447,0.9793239,0.03151342
0.0435791,0.1293214,0.9794543,0.03143321
0.05462646,0.1269908,0.9814907,0.02980928
0.06283569,0.1252436,0.9831203,0.02831714
0.06582642,0.1244234,0.9839475,0.02764378
0.07702637,0.1225251,0.986054,0.02651508
0.08282471,0.1214428,0.9873462,0.02582446
0.08810425,0.1203389,0.988767,0.02514359
0.09963989,0.1180571,0.9910429,0.02403559
0.1028137,0.1173472,0.9916569,0.0237191
0.1102905,0.1155987,0.9931135,0.02279341
0.121521,0.1135674,0.9946303,0.02176724
0.1228333,0.1133506,0.9947753,0.02166212
0.1325684,0.1114545,0.9957972,0.02067147
0.1428223,0.1095694,0.9968421,0.01962484
0.144165,0.109345,0.9969685,0.01950547
0.1547852,0.1077824,0.9978546,0.01855087
0.1628418,0.1064728,0.9985052,0.01773535
0.1660156,0.1057968,0.9988288,0.01722385
0.1771545,0.1042445,0.9995313,0.01587543
0.1828308,0.1034319,0.9998876,0.01515888
0.1880493,0.1025901,1.000261,0.01448606
0.1996765,0.1011061,1.000769,0.01302889
0.2028198,0.1007434,1.000822,0.01256774
0.2102051,0.09978387,1.000873,0.01142916
0.221344,0.09871753,1.000853,0.01033135
0.2228394,0.0985592,1.000846,0.01016851
0.2324829,0.09737059,1.000861,0.00908041
0.2428284,0.09642593,1.000523,0.008049056
0.2435913,0.09634925,1.000506,0.007970482
0.2547913,0.0955224,0.999998,0.006977946
0.2628174,0.0949379,0.9994739,0.006311625
0.2659302,0.09467019,0.9991138,0.005988657
0.2768555,0.09404314,0.9981533,0.005328417
0.2828369,0.09364341,0.9974726,0.005013108
0.288147,0.09322342,0.9967022,0.004694492
0.2992249,0.09244739,0.9952168,0.004076049
0.3028259,0.09206586,0.9946706,0.003814667
0.3102417,0.09127428,0.9934087,0.003151566
0.3216553,0.09031418,0.9917631,0.002270043
0.3228149,0.09015162,0.9915282,0.002131626
0.3327026,0.08905846,0.9896158,0.001195565
0.3428345,0.08792418,0.9877186,0.0004087836
0.343689,0.08784039,0.9875845,0.0003514588
0.3547668,0.08671012,0.98549,-0.0007252544
0.3628235,0.08581489,0.9836793,-0.0014835
0.3660278,0.08534068,0.9827303,-0.001810744
0.3770447,0.08396313,0.9800113,-0.002615511
0.3828125,0.08314572,0.9784432,-0.003098875
0.3880005,0.08234675,0.9768361,-0.003599524
0.3991394,0.08107571,0.9745258,-0.004125804
0.402832,0.08070631,0.9732601,-0.004397213
0.4103088,0.07970861,0.9706156,-0.0049631
0.4213867,0.07837658,0.9683611,-0.005106375
0.422821,0.07828135,0.9679683,-0.005385622
0.4324646,0.07696064,0.9653133,-0.006282449
0.4428406,0.07560258,0.9626342,-0.007233888
0.443512,0.07549328,0.9624173,-0.007308781
0.4546204,0.0742521,0.9600968,-0.008267596
0.4628296,0.07309417,0.9586962,-0.008740783
0.4657288,0.07253027,0.9580758,-0.008926332
0.4767151,0.07121678,0.9566021,-0.009477198
0.4828186,0.07082166,0.9557711,-0.009860307
0.4877625,0.07034545,0.9549698,-0.01017064
0.4991455,0.06971819,0.9531838,-0.01086417
0.5028381,0.06946708,0.9525846,-0.0109705
0.5104675,0.06878516,0.9513124,-0.01108603
0.5213013,0.06803304,0.9499822,-0.01114717
0.5228271,0.06791595,0.9497743,-0.01115879
0.5325012,0.06730213,0.9484396,-0.01159653
0.5428162,0.06700061,0.9472857,-0.01185779
0.5441589,0.06695307,0.9471051,-0.01189274
0.5546265,0.06679948,0.946305,-0.01238637
0.5628357,0.06665886,0.945779,-0.01301798
0.5658569,0.06652617,0.945382,-0.01344769
0.5767822,0.0663144,0.9452047,-0.01313031
0.5828247,0.0662639,0.9448851,-0.0131378
0.5881042,0.06614143,0.9447287,-0.01324251
0.5992126,0.0660123,0.9445282,-0.01336899
0.6028137,0.06598106,0.9444389,-0.0134131
0.6101379,0.06599689,0.9443798,-0.01355515
0.6218872,0.06604635,0.9443548,-0.01392946
0.6228333,0.06605184,0.9443531,-0.01396829
0.6325684,0.06615573,0.9443911,-0.01441208
0.6428223,0.06615574,0.9446321,-0.01460341
0.6434021,0.06615682,0.9446381,-0.01460761
0.6544495,0.06597944,0.945308,-0.01480883
0.6628418,0.06573307,0.94601,-0.01498264
0.6656799,0.06565104,0.9463446,-0.01508102
0.6767883,0.06521093,0.9470469,-0.01530851
0.6828308,0.0653358,0.9473845,-0.01537174
0.6878967,0.06540233,0.9476926,-0.01557416
0.6989136,0.06544258,0.9482237,-0.01586942
0.7028198,0.06544179,0.9484275,-0.01596278
0.7101746,0.06544335,0.9487377,-0.01615348
0.7211609,0.06549376,0.9490888,-0.01634629
0.7228394,0.06551514,0.9491377,-0.01636988
0.7323914,0.0656396,0.9494289,-0.01647711
0.7428284,0.0658613,0.9498739,-0.01638295
0.7432251,0.06585307,0.9498585,-0.0163857
0.7544556,0.06627508,0.950129,-0.01619416
