Time, X, Y, Z
11.55572,-0.1073728,0.9407884,0.129757
14.59571,-0.2534591,0.9385349,0.1721239
16.41571,-0.2433282,0.9311583,0.2359517
19.21572,-0.3095345,0.9185033,0.1984777
21.03572,-0.2476364,0.9061196,0.185085
23.13572,-0.2832866,0.9204612,0.1817009
24.89571,-0.2105154,0.9206235,0.205499
27.03571,-0.301015,0.9335216,0.1832326
29.01572,-0.2706952,0.9319211,0.2342173
30.29572,-0.09541339,0.9360334,0.08417881
32.53571,-0.2435021,0.9170431,0.2469742
34.67572,-0.245327,0.9160338,0.21342
36.43571,-0.3070703,0.9354705,0.2024719
38.33572,-0.2407141,0.938144,0.2299751
40.33572,-0.263781,0.9398817,0.2163671
42.39571,-0.2280969,0.946502,0.2011116
44.35571,-0.3323972,0.9380593,0.2319902
46.21571,-0.2555248,0.9336876,0.2177595
48.31572,-0.3040698,0.9354249,0.2298117
51.41571,-0.2350215,0.9451312,0.2600287
