Time, X, Y, Z
11.55572,-0.15,0.88,0.2
14.59571,-0.2576776,0.88,0.2134929
16.41571,-0.2471497,0.88,0.2680107
19.21572,-0.2881811,0.88,0.2265521
21.03572,-0.2270553,0.88,0.1981267
23.13572,-0.27303,0.88,0.2104134
24.89571,-0.2118675,0.88,0.2123591
27.03571,-0.2947515,0.88,0.1980446
29.01572,-0.2692557,0.88,0.2483891
30.29572,-0.2274836,0.88,0.2197727
32.53571,-0.231938,0.88,0.2731246
34.67572,-0.2223428,0.88,0.2026338
36.43571,-0.2686036,0.88,0.1850142
38.33572,-0.2288942,0.88,0.2369193
40.33572,-0.2764874,0.88,0.2675075
42.39571,-0.2171146,0.88,0.1874634
44.35571,-0.2981061,0.88,0.2271802
46.21571,-0.2279435,0.88,0.2093402
48.31572,-0.292134,0.88,0.2240686
51.41571,-0.2200233,0.88,0.2552228
