Time, X, Y, Z
0.002447128,0.1621963,0.9078066,0.04388481
0.0134449,0.1622144,0.9078383,0.04374312
0.01571465,0.162228,0.9078408,0.04369089
0.0245266,0.162276,0.9077552,0.04342139
0.03555298,0.1623244,0.9076234,0.04313402
0.0357151,0.1623224,0.9076184,0.04312786
0.04673767,0.1622891,0.9073823,0.04277855
0.05571556,0.1622908,0.907234,0.04265541
0.05784988,0.1622939,0.9071945,0.0426168
0.06923676,0.1622201,0.9069546,0.04246604
0.07571602,0.1622073,0.9069114,0.04240319
0.08007813,0.1621842,0.9068663,0.04231399
0.09129143,0.1620323,0.9067787,0.04242885
0.09571457,0.1619633,0.9067231,0.04250687
0.1023712,0.1618828,0.9066768,0.0425863
0.1134052,0.1618414,0.9066867,0.04280163
0.115715,0.1618482,0.9066518,0.04282092
0.1244125,0.1618432,0.9064968,0.0429363
0.1354961,0.1617109,0.9064226,0.04313838
0.1357155,0.1617077,0.9064212,0.04314321
0.1473541,0.1616479,0.9063306,0.04346205
0.1557159,0.1616434,0.906191,0.04359195
0.1577644,0.1616473,0.9061575,0.04362088
0.1688538,0.161652,0.9060334,0.04383823
0.1757145,0.1616345,0.9060205,0.04405765
0.1799355,0.1616199,0.9060197,0.04416934
0.1909828,0.1615822,0.9059795,0.04436928
0.195715,0.1615824,0.9058549,0.04441899
0.202076,0.1616242,0.9056576,0.04447214
0.2131691,0.1617493,0.9055126,0.04457916
0.2157154,0.1617971,0.9054475,0.04459769
0.2244987,0.1620029,0.905213,0.044661
0.2354507,0.1622283,0.9051038,0.04478112
0.2357159,0.1622342,0.9051005,0.04478504
0.2470779,0.162563,0.9053164,0.04482068
0.2557144,0.1625233,0.9053128,0.04451928
0.2577,0.1625134,0.9053092,0.0444669
0.2688122,0.1625286,0.9053762,0.04414481
0.2757149,0.1624963,0.9055507,0.0438062
0.279932,0.1624328,0.9056978,0.04358
0.2910347,0.1622831,0.9060419,0.04319675
0.2957153,0.1621774,0.9062197,0.04308225
0.3021374,0.1620285,0.906578,0.04290351
0.3134995,0.1618921,0.907092,0.04255061
0.3157158,0.1618759,0.9071907,0.04247862
0.3247643,0.1618485,0.907618,0.04217586
0.3353577,0.161953,0.907944,0.0419209
0.3357143,0.1619565,0.9079558,0.04191159
0.3465271,0.1621004,0.9083319,0.04158255
0.3557148,0.1622963,0.9085455,0.04147837
0.3575916,0.1623439,0.9085808,0.04145238
0.3687668,0.16259,0.9086984,0.04130627
0.3757153,0.1628404,0.9086292,0.04109037
0.3800087,0.1630526,0.9085311,0.04090162
0.3908939,0.1634115,0.9082754,0.04043865
0.3957157,0.1635843,0.9081717,0.04027548
0.4022751,0.163926,0.9080678,0.04006273
0.4132633,0.164443,0.9078656,0.03977868
0.4157143,0.1645446,0.907812,0.03971419
0.4242535,0.1648562,0.9076642,0.03945237
0.4354,0.1651454,0.9077457,0.03910777
0.4357147,0.1651534,0.9077477,0.03909798
0.4465084,0.1652662,0.908063,0.03889751
0.4557152,0.1653237,0.9080754,0.03884658
0.4576225,0.1653318,0.9080672,0.0388394
0.4689598,0.1652584,0.9081506,0.03923075
0.4757156,0.1651929,0.9080284,0.03934103
0.4799538,0.1651314,0.9078658,0.03936279
0.4908867,0.1650952,0.9074184,0.03936201
0.4957142,0.1651243,0.9072111,0.0393243
0.5021458,0.1652368,0.9069357,0.03927711
0.5131836,0.1655717,0.9066325,0.03917389
0.5157146,0.1656281,0.906557,0.03914678
0.5242596,0.1656399,0.9062448,0.03901865
0.5355682,0.1654693,0.905956,0.03879347
0.5357151,0.1654665,0.9059517,0.03879017
0.5465641,0.1651777,0.9055941,0.03853807
0.5557156,0.1648492,0.90548,0.03839105
0.5578346,0.1647725,0.9054631,0.03835532
0.5688591,0.1645036,0.9053246,0.0384441
0.575716,0.1643685,0.9054154,0.03850248
0.5800781,0.1642498,0.9055345,0.03853078
0.5909634,0.1642141,0.905668,0.03861174
0.5957146,0.1642554,0.9057303,0.03860852
0.6020584,0.1643053,0.9058726,0.03860611
0.613308,0.1644678,0.9059218,0.0386574
0.615715,0.1645104,0.9059231,0.03867611
0.6242428,0.1646149,0.9060897,0.03882614
0.6355591,0.1648323,0.9062449,0.03893368
0.6357155,0.1648359,0.9062469,0.03893507
0.6465664,0.1650997,0.9062255,0.03897786
0.6557159,0.1651806,0.9061135,0.03910249
0.6574116,0.16519,0.9060889,0.03912738
0.6685581,0.1652832,0.9058885,0.03917524
0.6757145,0.1653483,0.9057469,0.03917539
0.6796684,0.1653857,0.9056365,0.03916122
0.6910305,0.1654452,0.9055045,0.03913356
0.695715,0.1655032,0.9054617,0.03914422
0.7020893,0.1656472,0.9054003,0.03916761
0.7130527,0.1657169,0.9053316,0.039272
0.7157154,0.1657233,0.9053148,0.03931092
0.7244377,0.1657522,0.9052881,0.0395747
0.7352886,0.1658033,0.9053513,0.03986807
