Time, X, Y, Z
0,-0.2939425,1.045874,0.1292191
0.008422852,-0.2942761,1.045436,0.1303895
0.01947021,-0.2944408,1.044888,0.1315902
0.02001953,-0.2944581,1.044863,0.1316943
0.03076172,-0.2946852,1.044346,0.1333116
0.04000854,-0.2950621,1.043401,0.1345251
0.04174805,-0.295123,1.043252,0.1347319
0.05276489,-0.2954729,1.041983,0.1358464
0.05999756,-0.2954844,1.041064,0.1361997
0.0640564,-0.2955281,1.040431,0.1364765
0.07516479,-0.2953302,1.039292,0.1369443
0.08001709,-0.2953176,1.038676,0.1372533
0.08630371,-0.2952782,1.037777,0.1377027
0.097229,-0.2960079,1.036157,0.1389272
0.1000061,-0.2962727,1.035717,0.1394396
0.1083679,-0.2970449,1.03432,0.1410312
0.119751,-0.2975307,1.032968,0.1428971
0.1199951,-0.2975637,1.032932,0.1428327
0.1307068,-0.2981224,1.031074,0.1441443
0.1400146,-0.2980409,1.029341,0.1452098
0.1416931,-0.2980481,1.029072,0.1453544
0.1528625,-0.2984619,1.027225,0.1466198
0.1600037,-0.2988348,1.026032,0.1472604
0.1641541,-0.2990976,1.025178,0.1477487
0.175354,-0.2994358,1.02303,0.1486111
0.1799927,-0.2995982,1.022426,0.1488031
0.1862183,-0.2998481,1.021428,0.1491848
0.1973877,-0.2996091,1.020125,0.1500276
0.2000122,-0.2993056,1.019636,0.1499854
0.2085266,-0.2984597,1.018048,0.1500253
0.219635,-0.2977724,1.016402,0.1492801
0.2200012,-0.2977214,1.016383,0.1492111
0.2305603,-0.296701,1.014904,0.1478446
0.2400208,-0.2964616,1.013862,0.1469103
0.2418518,-0.2964019,1.013667,0.1467405
0.2529907,-0.2961879,1.012521,0.1460711
0.2600098,-0.2955939,1.011606,0.1458511
0.2638855,-0.2952209,1.011007,0.145685
0.275116,-0.2954543,1.009755,0.1458459
0.2799988,-0.2956018,1.009212,0.1457149
0.2861328,-0.295829,1.008338,0.1455082
0.2973328,-0.2960401,1.007351,0.1445933
0.3000183,-0.2961983,1.007203,0.1444566
0.3082886,-0.2967036,1.00664,0.1439618
0.3196106,-0.2973357,1.006866,0.1432651
0.3200073,-0.2973768,1.006868,0.143219
0.3307495,-0.2982837,1.007075,0.1421417
0.3399963,-0.2985165,1.007564,0.141507
0.3416138,-0.2985627,1.007628,0.1414008
0.3529663,-0.2987827,1.007144,0.1409661
0.3600159,-0.2990313,1.006796,0.1409246
0.3640442,-0.2992048,1.006554,0.1408667
0.3748779,-0.2996666,1.006295,0.1401321
0.3800049,-0.2998613,1.006201,0.1399809
0.3861389,-0.300128,1.006083,0.1397965
0.3974609,-0.3005189,1.005764,0.1397321
0.3999939,-0.3006649,1.005721,0.1397016
0.4082642,-0.3011782,1.005583,0.1396091
0.4194031,-0.3015741,1.005672,0.1390691
0.4200134,-0.3015971,1.005679,0.1390343
0.4307556,-0.3019635,1.005906,0.1381768
0.4400024,-0.3017571,1.006314,0.1372952
0.4417114,-0.3017294,1.006381,0.1371483
0.4527588,-0.3016495,1.00685,0.1362459
0.4599915,-0.3008401,1.007909,0.1354872
0.4636841,-0.3003104,1.008593,0.1350095
0.4750671,-0.2999349,1.00992,0.1343013
0.480011,-0.2996631,1.01049,0.1340506
0.4859619,-0.2992818,1.011261,0.1337107
0.497467,-0.2978772,1.012952,0.1327987
0.5,-0.2974354,1.013395,0.1324418
0.5083923,-0.2957296,1.015056,0.1310338
0.5193481,-0.2927952,1.017376,0.1291588
0.5200195,-0.2926013,1.017532,0.1290365
0.5305786,-0.2895672,1.019607,0.1266498
0.5400085,-0.2870455,1.020211,0.1253882
0.5415955,-0.2866214,1.02031,0.1251789
0.5529175,-0.2837957,1.020868,0.1238584
0.5599976,-0.2816709,1.021349,0.1229434
0.5637817,-0.2802399,1.021681,0.122339
0.5747375,-0.2766753,1.022498,0.1213938
0.5800171,-0.2745657,1.023157,0.1207319
0.5863342,-0.2715318,1.024163,0.1197561
0.5969543,-0.2678968,1.025263,0.1184571
0.6000061,-0.2664466,1.025727,0.1179929
0.6081543,-0.2616195,1.027305,0.1164834
0.6193237,-0.2567985,1.0285,0.1154036
0.6199951,-0.2564844,1.028577,0.1153349
0.6304321,-0.2504004,1.030065,0.1140395
0.6400146,-0.2461213,1.030805,0.1129145
0.6416626,-0.2454091,1.030909,0.1127097
0.6527405,-0.2406615,1.030788,0.110714
0.6600037,-0.2370008,1.03082,0.1090054
0.6638489,-0.2345529,1.030864,0.1078452
0.6750183,-0.2294906,1.030843,0.1043782
0.6799927,-0.2272409,1.030769,0.1028091
0.6859436,-0.2242259,1.030641,0.1007131
0.6970825,-0.2184874,1.031018,0.09699674
0.7000122,-0.2167992,1.031115,0.09599058
0.7080994,-0.2115873,1.031242,0.09296796
0.7194214,-0.2043171,1.03195,0.08910048
0.7200012,-0.2039089,1.031988,0.08888042
0.7303467,-0.1977174,1.031427,0.08521596
0.7400208,-0.1929334,1.030491,0.08177954
0.7416077,-0.1919772,1.030282,0.08107176
0.7527771,-0.1868433,1.028809,0.077378
0.7600098,-0.1828271,1.028159,0.07485268
0.7637329,-0.1802361,1.027833,0.07329505
0.7747192,-0.1740825,1.027167,0.06939504
0.7799988,-0.1708886,1.026634,0.06706472
0.7873535,-0.1659608,1.025615,0.06319365
0.7971802,-0.1612307,1.024308,0.06021539
0.8000183,-0.1596709,1.023894,0.05928634
0.8082581,-0.1544451,1.022497,0.05643932
0.8191528,-0.1492222,1.021171,0.05284953
0.8200073,-0.1487797,1.021059,0.05253965
0.8302307,-0.1433043,1.020007,0.04828779
0.8399963,-0.1386262,1.018838,0.04419679
0.8412476,-0.1380738,1.018694,0.04370911
0.852417,-0.1332222,1.017929,0.03894559
0.8600159,-0.1297951,1.016784,0.03558392
0.8635254,-0.1278363,1.015983,0.03366414
0.8745728,-0.1235348,1.014962,0.0297546
0.8800049,-0.1213489,1.01445,0.02760486
0.8858643,-0.1187283,1.013802,0.02487361
0.8968201,-0.1144595,1.012554,0.02068317
0.8999939,-0.1131578,1.012179,0.01946306
0.9078979,-0.1099665,1.011109,0.01669729
0.9190674,-0.106209,1.009974,0.0132318
0.9200134,-0.1058673,1.009874,0.0129136
0.9302368,-0.1019949,1.008642,0.009246334
0.9400024,-0.09877984,1.007068,0.006375
0.9413147,-0.09828313,1.006806,0.005929172
0.9524536,-0.09574457,1.005697,0.003550693
0.9599915,-0.09367393,1.004582,0.00169909
0.963562,-0.09243228,1.003855,0.0005947649
0.9745483,-0.08970776,1.002638,-0.001738779
0.980011,-0.08813928,1.001912,-0.002914064
0.9856873,-0.08615097,1.000955,-0.00428991
0.9969177,-0.08358613,1.000058,-0.006298579
1,-0.08284375,0.9997826,-0.00687556
1.007996,-0.08077408,0.9984763,-0.008645654
1.018982,-0.0785761,0.9972315,-0.01022715
1.02002,-0.07836787,0.997107,-0.01037452
1.030151,-0.0761497,0.9954841,-0.01219425
1.040009,-0.07494777,0.9935076,-0.01374464
1.041321,-0.07482211,0.9932443,-0.01393135
1.052612,-0.07400846,0.991596,-0.01469179
1.059998,-0.07345454,0.990436,-0.0153024
1.063354,-0.07316364,0.9897754,-0.01566094
1.074493,-0.07203182,0.9883562,-0.01620491
1.080017,-0.071399,0.987574,-0.01651487
1.085632,-0.07071359,0.9865891,-0.01694919
1.096863,-0.06995565,0.984596,-0.01762702
1.100006,-0.06976476,0.9840041,-0.01781681
1.107849,-0.06913529,0.9829721,-0.01832974
1.119049,-0.06828672,0.981567,-0.0190756
1.119995,-0.06821375,0.9814332,-0.01915218
1.130127,-0.06709312,0.9803543,-0.0201685
1.140015,-0.06653003,0.9789824,-0.02113871
1.141235,-0.06648234,0.9787999,-0.02125715
1.152527,-0.06575442,0.9775805,-0.02159159
1.160004,-0.0651976,0.976799,-0.02177711
1.163513,-0.06490771,0.976347,-0.02190463
1.174561,-0.06449753,0.9753034,-0.02219477
1.179993,-0.06434786,0.9746969,-0.02244198
1.185699,-0.06423201,0.9738848,-0.02286126
1.196747,-0.06380759,0.9726951,-0.02346589
1.200012,-0.06363381,0.9723212,-0.02363342
1.207977,-0.06323691,0.9708218,-0.02350239
1.219116,-0.06313869,0.969306,-0.0232492
1.220001,-0.06313299,0.9691846,-0.02322284
1.230286,-0.06310797,0.967682,-0.02267553
1.240021,-0.063044,0.9666859,-0.02222008
1.24115,-0.06303342,0.9665928,-0.02217436
1.25235,-0.06302764,0.9657106,-0.02153403
1.26001,-0.06307715,0.9654592,-0.02104457
1.263367,-0.06311509,0.9654631,-0.02078725
1.274506,-0.06310457,0.9656472,-0.02026631
1.279999,-0.06315607,0.9658328,-0.02004029
1.285675,-0.06326193,0.9660708,-0.01986776
1.297241,-0.06353376,0.9665288,-0.01960021
1.300018,-0.06362523,0.966671,-0.01959764
1.308167,-0.06396747,0.9671432,-0.01957264
1.319824,-0.06431907,0.9677107,-0.01953108
1.320007,-0.06432411,0.9677225,-0.01953124
