Time, X, Y, Z
0,0.1707209,0.9106544,0.05667672
0.008422852,0.1707589,0.9114962,0.05711156
0.01947021,0.1703361,0.9124612,0.05738679
0.02001953,0.1703035,0.9124783,0.05733018
0.03076172,0.1697994,0.9132387,0.0571216
0.04000854,0.1695297,0.9131776,0.05656609
0.04174805,0.1694751,0.913188,0.05647925
0.05276489,0.16946,0.9132846,0.05582014
0.05999756,0.1692519,0.9130337,0.05574085
0.0640564,0.1691219,0.9128892,0.05563501
0.07516479,0.1689502,0.9126241,0.05537876
0.08001709,0.1689696,0.9124244,0.05546364
0.08630371,0.1689788,0.912172,0.05556734
0.097229,0.1688971,0.9121497,0.05570805
0.1000061,0.1689109,0.9121755,0.05575167
0.1083679,0.1689108,0.912226,0.05590826
0.119751,0.168677,0.9122493,0.05603777
0.1199951,0.1686845,0.9122383,0.05604659
0.1307068,0.1687404,0.9120678,0.05591027
0.1400146,0.1688934,0.9115919,0.0556061
0.1416931,0.1689156,0.9115308,0.05556241
0.1528625,0.1690805,0.9109937,0.05513334
0.1600037,0.1690422,0.9108012,0.05519468
0.1641541,0.169027,0.9106624,0.05524009
0.175354,0.1691732,0.9104466,0.05558342
0.1799927,0.169331,0.910385,0.05575864
0.1862183,0.1695327,0.9102766,0.05601085
0.1973877,0.1696595,0.9102691,0.05617735
0.2000122,0.1696639,0.9103056,0.05616328
0.2085266,0.1697135,0.910351,0.05614349
0.219635,0.1697177,0.9104232,0.05616897
0.2200012,0.1697474,0.9104278,0.05617739
0.2305603,0.1700633,0.910531,0.05627317
0.2400208,0.1703981,0.910514,0.05625482
0.2418518,0.1704568,0.9105145,0.05626175
0.2529907,0.1708478,0.9105514,0.05636931
0.2600098,0.170909,0.9104522,0.05611425
0.2638855,0.1709583,0.9103907,0.05595574
0.275116,0.1710887,0.9100544,0.05565524
0.2799988,0.1711696,0.9098448,0.05544749
0.2861328,0.1712841,0.9095142,0.05511753
0.2973328,0.1714139,0.9087425,0.05467579
0.3000183,0.1714696,0.9085711,0.0546159
0.3082886,0.1716543,0.9079729,0.05439452
0.3196106,0.1717966,0.9073607,0.05416011
0.3200073,0.1717794,0.9073352,0.05419166
0.3307495,0.1716363,0.906661,0.05475112
0.3399963,0.1715318,0.9063672,0.05534597
0.3416138,0.1715159,0.9063153,0.05543361
0.3529663,0.1713207,0.9062343,0.05621488
0.3600159,0.1707643,0.9066201,0.05627816
0.3640442,0.1703943,0.9068695,0.0563374
0.3748779,0.1694428,0.9072534,0.05599311
0.3800049,0.1690753,0.9073203,0.05606148
0.3861389,0.1685732,0.9074107,0.05616754
0.3974609,0.1679041,0.9079645,0.05609007
0.3999939,0.1678051,0.9080842,0.0561064
0.4082642,0.1674468,0.9085183,0.05616652
0.4194031,0.1676261,0.9087965,0.05624034
0.4200134,0.1676327,0.9088135,0.05624824
0.4307556,0.1677473,0.9091498,0.05649059
0.4400024,0.1675805,0.9096491,0.05657325
0.4417114,0.1675587,0.9097371,0.05659381
0.4527588,0.1676734,0.9102539,0.05671217
0.4599915,0.1676994,0.9107363,0.05652746
0.4636841,0.1677158,0.9110418,0.05640388
0.4750671,0.1679938,0.9116988,0.05681325
0.480011,0.1678054,0.9118652,0.05692194
0.4859619,0.1675187,0.9120802,0.05706037
0.497467,0.1671218,0.9125643,0.05716369
0.5,0.1670947,0.9126719,0.05718888
0.5083923,0.1670482,0.9130496,0.05726387
0.5193481,0.1670886,0.913536,0.05767797
0.5200195,0.1670916,0.9135695,0.05770594
0.5305786,0.1673051,0.9137945,0.0576996
0.5400085,0.1675472,0.9140256,0.0578278
0.5415955,0.1675864,0.9140619,0.05784958
0.5529175,0.1676495,0.9141647,0.05797494
0.5599976,0.1678002,0.9140817,0.05789034
0.5637817,0.1679093,0.9140165,0.05782447
0.5747375,0.1681627,0.91376,0.05766841
0.5800171,0.1682265,0.9135921,0.05763423
0.5863342,0.1682976,0.9133557,0.05760581
0.5969543,0.1684327,0.9130585,0.05763406
0.6000061,0.1685034,0.9129626,0.05764513
0.6081543,0.1687548,0.9126714,0.05768563
0.6193237,0.1690464,0.9124842,0.05788942
0.6199951,0.1690662,0.9124724,0.05790234
0.6304321,0.169293,0.9124025,0.0581639
0.6400146,0.1694771,0.9124057,0.05831069
0.6416626,0.1695128,0.9124037,0.0583313
0.6527405,0.1695805,0.9124888,0.05840956
0.6600037,0.1695151,0.9124358,0.05831455
0.6638489,0.1694665,0.9123853,0.05823021
0.6750183,0.1693263,0.9122481,0.05804778
0.6799927,0.1692414,0.9122198,0.05798952
0.6859436,0.1691332,0.9121971,0.0579139
0.6970825,0.1691212,0.9119759,0.05797502
0.7000122,0.1691138,0.9119523,0.05800545
0.7080994,0.1690655,0.9119428,0.05808499
0.7194214,0.1691262,0.9118806,0.05816159
0.7200012,0.1691309,0.9118757,0.05816451
0.7303467,0.169322,0.9115658,0.05810023
0.7400208,0.169414,0.9113129,0.05783708
0.7416077,0.169431,0.9112532,0.05776992
0.7527771,0.1698061,0.910969,0.05715282
0.7600098,0.1699142,0.9106978,0.05666076
0.7637329,0.1699466,0.9105088,0.05634262
0.7747192,0.1701193,0.9097322,0.05584362
0.7799988,0.1701324,0.9095463,0.05576552
0.7873535,0.1700862,0.9094121,0.05573757
0.7971802,0.169937,0.9092391,0.05554173
0.8000183,0.1698827,0.909193,0.05550109
0.8082581,0.1696736,0.9090523,0.05547913
0.8191528,0.169428,0.9091065,0.05540383
0.8200073,0.1694069,0.9091123,0.05539645
0.8302307,0.1690809,0.9094635,0.05506476
0.8399963,0.168789,0.9098558,0.05525845
0.8412476,0.1687557,0.9099019,0.05528621
0.852417,0.1683205,0.910307,0.05575388
0.8600159,0.1680403,0.91037,0.05609664
0.8635254,0.1678899,0.9103634,0.05628674
0.8745728,0.1676087,0.9105004,0.05659168
0.8800049,0.1675507,0.9105335,0.05657028
0.8858643,0.1675498,0.9105269,0.05639829
0.8968201,0.167626,0.9102048,0.05608918
0.8999939,0.1676403,0.9101244,0.05603775
0.9078979,0.1676254,0.9099485,0.05596143
0.9190674,0.1677867,0.909761,0.05592754
0.9200134,0.1678041,0.9097445,0.05592342
0.9302368,0.1680853,0.9094656,0.05591732
0.9400024,0.1683448,0.9094194,0.0558805
0.9413147,0.1683754,0.9094254,0.05587864
0.9524536,0.1681997,0.9097078,0.05607927
0.9599915,0.168218,0.909822,0.05617248
0.963562,0.1682254,0.9098746,0.05623464
0.9745483,0.1681398,0.9099665,0.05643626
0.980011,0.1681053,0.9100552,0.05655479
0.9856873,0.1680159,0.9102253,0.0567421
0.9969177,0.1678007,0.9106815,0.05671094
1,0.1677526,0.9108201,0.05671404
1.007996,0.167813,0.9109502,0.05689789
1.018982,0.1680983,0.910955,0.05697837
1.02002,0.1681199,0.9109491,0.05698882
1.030151,0.1683657,0.9108722,0.05702884
1.040009,0.1684556,0.9105331,0.05719367
1.041321,0.1684641,0.9104818,0.05722012
1.052612,0.1684393,0.9101485,0.05746427
1.059998,0.1685582,0.9099247,0.05745621
1.063354,0.1686467,0.9097983,0.05742784
1.074493,0.1688698,0.9092131,0.05731788
1.080017,0.1690077,0.9088764,0.05718115
1.085632,0.1691797,0.9085428,0.05698791
1.096863,0.1692179,0.9081277,0.05688289
1.100006,0.169193,0.9080175,0.05687487
1.107849,0.1690869,0.9077966,0.05699998
1.119049,0.1688337,0.9078216,0.0572719
1.119995,0.168799,0.9078251,0.05729575
1.130127,0.1682544,0.9080943,0.05762051
1.140015,0.1678234,0.9084234,0.05805209
1.141235,0.167776,0.9084573,0.05810145
1.152527,0.1675556,0.9086191,0.05860311
1.160004,0.1676308,0.9087679,0.05886836
1.163513,0.167723,0.9088649,0.0590066
1.174561,0.1679671,0.9091808,0.05930023
1.179993,0.1681498,0.9093507,0.05941975
1.185699,0.16843,0.9095697,0.0595801
1.196747,0.1687043,0.9099971,0.05963933
1.200012,0.1687863,0.9101622,0.05968073
1.207977,0.1687639,0.9107276,0.05965239
1.219116,0.1685392,0.9114092,0.05942112
1.220001,0.1685236,0.9114726,0.05939814
1.230286,0.1685837,0.9119525,0.059021
1.240021,0.1686521,0.9121296,0.05877134
1.24115,0.1686599,0.912143,0.05875011
1.25235,0.1687232,0.9120817,0.05843075
1.26001,0.1687256,0.9120842,0.05824199
1.263367,0.1687247,0.9120963,0.0581305
1.274506,0.1688673,0.9119524,0.05790573
1.279999,0.1689025,0.9118837,0.05780742
1.285675,0.1689194,0.9117707,0.05768055
1.297241,0.1690266,0.9115707,0.0577209
1.300018,0.1690411,0.9115178,0.05770145
1.308167,0.1690837,0.91129,0.0575754
1.319824,0.169118,0.9109056,0.05733822
1.320007,0.1691186,0.9108999,0.05733347
1.330414,0.1691007,0.9104898,0.05719693
1.339996,0.1689243,0.9099778,0.05725104
1.341339,0.1689005,0.90992,0.05726959
1.352356,0.1685465,0.9095095,0.05768165
1.360016,0.1682454,0.9093444,0.05804123
1.363495,0.1680715,0.9093369,0.05824852
1.374359,0.1673649,0.9094905,0.0587291
1.380005,0.1670524,0.9095624,0.05896868
1.38559,0.1671322,0.9094459,0.05913451
1.396667,0.1672938,0.9093345,0.05949196
1.399994,0.1673394,0.9092933,0.05960757
1.407745,0.1676053,0.9091719,0.05983256
1.419067,0.1678204,0.9091514,0.06005181
1.420013,0.1678337,0.9091431,0.06006294
1.429962,0.1678797,0.9090533,0.06015044
1.440002,0.1679232,0.9091265,0.06021537
1.441254,0.1679247,0.9091357,0.06022513
1.452332,0.1679259,0.9090299,0.06038959
1.459991,0.1679757,0.9090053,0.06048857
1.463379,0.1679954,0.9090503,0.06053951
1.474609,0.1681562,0.9091826,0.06048171
1.480011,0.1682772,0.9092112,0.06039217
1.485779,0.1684456,0.9091365,0.06028917
1.497101,0.168613,0.9090887,0.06010157
1.5,0.168697,0.9091191,0.06002644
1.507965,0.1688162,0.9093357,0.05974683
1.51889,0.1688248,0.9095457,0.05943838
1.52002,0.1688267,0.9095745,0.05940339
1.53006,0.1689952,0.9099236,0.0591166
1.540009,0.1690522,0.9103066,0.05890447
1.540924,0.1690465,0.9103408,0.05889046
1.552277,0.1690186,0.9105917,0.05874205
1.559998,0.1690794,0.9107201,0.05863224
1.563263,0.1690742,0.9107933,0.05858973
1.57431,0.1690876,0.9110434,0.05852583
1.580017,0.1690798,0.9111694,0.05851284
1.585388,0.1690034,0.9112639,0.0584172
1.596497,0.1688582,0.9112109,0.05825189
1.600006,0.1688025,0.9111609,0.05818598
1.607819,0.16881,0.9108969,0.05795483
1.618866,0.1686177,0.910541,0.05783506
1.619995,0.1685846,0.9105024,0.05782279
1.630005,0.168418,0.9100719,0.05786887
1.640015,0.1682957,0.9095073,0.05779062
1.640961,0.1682826,0.9094497,0.05777682
1.652069,0.1681235,0.9088275,0.05768976
1.660004,0.1680625,0.9084002,0.05759956
1.66333,0.1681281,0.9081905,0.05760838
1.674438,0.1680657,0.907934,0.05775943
1.679993,0.1679341,0.9079138,0.05789596
1.685638,0.1677987,0.9079791,0.05790599
1.696625,0.1675828,0.9080102,0.05792615
1.700012,0.1675343,0.9080667,0.05797097
1.707642,0.1674987,0.9082129,0.05810528
1.719666,0.1675279,0.9084441,0.05849442
1.720001,0.1675303,0.9084519,0.05851176
1.730103,0.1678054,0.9086354,0.05889741
1.740021,0.1682077,0.9088774,0.05916372
1.740936,0.168254,0.9089029,0.05918816
1.75238,0.1688092,0.9091881,0.05945218
1.76001,0.1690526,0.9093307,0.05939251
1.763275,0.1691042,0.9094633,0.05936436
1.774292,0.1692773,0.9097924,0.05928722
1.779999,0.1693562,0.9098221,0.05904929
1.785339,0.1695463,0.9098622,0.05882278
1.796539,0.169582,0.9098163,0.05843809
1.800018,0.1696081,0.9097961,0.05827376
1.807648,0.1697173,0.9098439,0.05793151
1.818817,0.1698503,0.9099897,0.05761047
1.820007,0.1699263,0.9100391,0.05766585
1.830017,0.169997,0.9101822,0.05752084
1.839996,0.1700554,0.9102774,0.05727229
1.840942,0.1700645,0.9102941,0.05736874
1.852234,0.1701646,0.9104532,0.05725993
1.860016,0.1703165,0.9105525,0.05704883
1.863129,0.1703484,0.9105187,0.0569398
1.874268,0.1704233,0.9104192,0.056655
1.880005,0.1704358,0.91058,0.05668607
1.885559,0.17047,0.9107826,0.05666535
1.896484,0.1705365,0.9111013,0.05667114
1.899994,0.170568,0.9110838,0.05679661
1.907593,0.170645,0.911089,0.05684279
1.91864,0.1707115,0.9112269,0.05693966
1.920013,0.1707218,0.9112716,0.05699928
1.929962,0.1707426,0.9115267,0.05726075
1.940002,0.1706635,0.911627,0.0574979
1.940979,0.1706336,0.9114999,0.05753681
1.952026,0.1705279,0.9114258,0.05784075
1.959991,0.1704701,0.9112532,0.05803129
1.963165,0.1704393,0.9111899,0.05813659
1.974365,0.1705045,0.9111515,0.05824622
1.980011,0.170545,0.9110756,0.05824579
1.985596,0.1705367,0.9110205,0.05838282
1.99649,0.1705553,0.9109238,0.05859562
2,0.1706117,0.9108676,0.05860998
2.007782,0.1707254,0.9107458,0.05866887
2.018707,0.1707007,0.9106991,0.05875672
2.02002,0.1705933,0.9107491,0.05874772
2.030029,0.1704758,0.9108263,0.05888773
2.040009,0.1704515,0.9110072,0.05921809
2.040802,0.1704558,0.9110329,0.05925418
2.052246,0.1701379,0.9113089,0.05980101
2.059998,0.1697097,0.911798,0.06012364
2.063202,0.1695573,0.9120051,0.06031124
2.074219,0.1692801,0.9123119,0.06058121
2.080017,0.1693465,0.9124677,0.06080651
2.08551,0.1694585,0.9124504,0.06091221
2.096405,0.1697362,0.9123477,0.06104781
2.100006,0.16969,0.9123567,0.06106229
2.107574,0.1696916,0.9122372,0.06120997
2.118622,0.1696355,0.9120588,0.06150088
2.119995,0.1697058,0.9120929,0.06152271
2.129883,0.1697333,0.9119621,0.06185127
2.140015,0.1698195,0.911708,0.06156618
2.140869,0.1698251,0.9116848,0.06155509
2.152161,0.1696778,0.9115384,0.06120462
2.160004,0.1694793,0.9113865,0.0610294
