Time, X, Y, Z
15.06001,-0.08462337,0.9419785,0.2241838
17.48194,-0.2284809,0.9390661,0.2661086
27.2,-0.2639916,0.9239804,0.2181155
33.58584,-0.3168761,0.9413776,0.2373226
37.20644,-0.2319457,0.9339953,0.2446368
40.9,-0.3345515,0.9370597,0.2758499
44.00001,-0.3138393,0.9232438,0.2250527
47.4,-0.2500561,0.9251832,0.2457338
49.7,-0.2621402,0.9198107,0.2308257
53.66,-0.2680644,0.9190159,0.2439119
55.98,-0.2429948,0.9190132,0.2358512
58.22001,-0.2855476,0.9282159,0.2704979
60.18,-0.2476639,0.9237113,0.2802061
61.86001,-0.2288574,0.9167523,0.2411567
63.57999,-0.2565849,0.9365476,0.2596661
65.26,-0.1893239,0.9448695,0.2210523
87.84,-0.1775961,0.9558574,0.1708732
90.78001,-0.2365698,0.9333686,0.2396356
93.4,-0.2000222,0.9633209,0.1897632
95.52,-0.2654238,0.9449174,0.2663023
97.3,-0.143612,0.9314483,0.1916384
99.74,-0.2530437,0.9327742,0.2433831
103.48,-0.2895974,0.9329695,0.2350332
106.5,-0.2642363,0.9431069,0.2251189
108.82,-0.256223,0.9354948,0.2280998
110.88,-0.265608,0.9335558,0.2119164
113.28,-0.2732623,0.9464684,0.2560956
118.14,-0.2656937,0.9477717,0.2240079
120.06,-0.2200106,0.9416013,0.232253
122,-0.2448366,0.9408045,0.2426397
124.06,-0.2709599,0.9494534,0.2730763
125.82,-0.2152596,0.9414135,0.2243636
149.12,-0.2677732,0.9415747,0.2159396
151.04,-0.2563789,0.9406807,0.2748629
152.64,-0.2667855,0.9343664,0.24053
154.04,-0.1884141,0.9496047,0.2164591
155.66,-0.1608887,0.9370395,0.2227401
158.08,-0.2496735,0.9523345,0.2692906
161.04,-0.2836804,0.9414617,0.2298271
163.24,-0.2393648,0.9353458,0.2693227
165.6,-0.296437,0.9342353,0.266572
167.7,-0.267392,0.9620733,0.2156834
169.76,-0.2534612,0.9396268,0.265298
171.64,-0.2238445,0.9462324,0.2330428
173.92,-0.3034686,0.9466671,0.2483657
175.94,-0.2408734,0.9339126,0.231755
178.14,-0.2717222,0.9542297,0.2431739
180.34,-0.2946032,0.940826,0.2248083
205.16,-0.1820074,0.9371035,0.2533064
207,-0.2795616,0.9380791,0.2432782
208.92,-0.268787,0.9551796,0.2452582
210.98,-0.2805004,0.9412994,0.2539195
213.22,-0.2916698,0.954655,0.2814026
214.98,-0.2463155,0.9475103,0.2496595
217,-0.2980186,0.9441898,0.262413
219.42,-0.3064104,0.9530256,0.2812044
221.32,-0.2480641,0.9386439,0.2556064
223.24,-0.1884607,0.9328256,0.2347078
225.48,-0.1984703,0.9342517,0.2239868
227.68,-0.2264373,0.937518,0.2429802
