Time, X, Y, Z
15.06001,-0.2148264,0.88,0.181162
17.48194,-0.2085156,0.88,0.2572563
27.2,-0.2712292,0.88,0.235092
33.58584,-0.2933252,0.88,0.1868284
37.20644,-0.2154975,0.88,0.2419187
40.9,-0.2734317,0.88,0.2699414
44.00001,-0.2851546,0.88,0.2085958
47.4,-0.2194859,0.88,0.2362333
49.7,-0.2751185,0.88,0.2730124
53.66,-0.2788746,0.88,0.2216381
55.98,-0.2148442,0.88,0.2317782
58.22001,-0.2708818,0.88,0.2484265
60.18,-0.2182824,0.88,0.2365813
61.86001,-0.235913,0.88,0.1885855
63.57999,-0.2379961,0.88,0.2661526
65.26,-0.2156219,0.88,0.1966245
87.84,-0.2981989,0.88,0.2089422
90.78001,-0.2585694,0.88,0.2375152
93.4,-0.2217328,0.88,0.1811499
95.52,-0.2006154,0.88,0.2586365
97.3,-0.2583814,0.88,0.21841
99.74,-0.2096286,0.88,0.2089297
103.48,-0.2568197,0.88,0.2302491
106.5,-0.2016223,0.88,0.2000358
108.82,-0.2811678,0.88,0.2041782
110.88,-0.2262761,0.88,0.2103386
113.28,-0.2705128,0.88,0.2564158
118.14,-0.2009056,0.88,0.2646442
120.06,-0.2256895,0.88,0.2190706
122,-0.2765057,0.88,0.2567154
124.06,-0.2681978,0.88,0.1922623
125.82,-0.2080263,0.88,0.2411249
149.12,-0.274799,0.88,0.1944391
151.04,-0.2179556,0.88,0.2779556
152.64,-0.283526,0.88,0.1874949
154.04,-0.2156439,0.88,0.2366471
155.66,-0.2692708,0.88,0.263963
158.08,-0.2125045,0.88,0.2742616
161.04,-0.2597572,0.88,0.2030748
163.24,-0.2432535,0.88,0.2487752
165.6,-0.2913567,0.88,0.2134396
167.7,-0.2168209,0.88,0.1845931
169.76,-0.2964243,0.88,0.2552784
171.64,-0.2411479,0.88,0.2157201
173.92,-0.2836954,0.88,0.278108
175.94,-0.2315632,0.88,0.2287635
178.14,-0.2907473,0.88,0.2680022
180.34,-0.2404778,0.88,0.207053
205.16,-0.2657473,0.88,0.2693583
207,-0.2553909,0.88,0.1890084
208.92,-0.2763808,0.88,0.2324216
210.98,-0.2008573,0.88,0.2304781
213.22,-0.2928103,0.88,0.2648036
214.98,-0.2407576,0.88,0.2404014
217,-0.2688105,0.88,0.2796127
219.42,-0.2103339,0.88,0.2429512
221.32,-0.2603059,0.88,0.2178458
223.24,-0.2293694,0.88,0.2552122
225.48,-0.2364181,0.88,0.2043272
227.68,-0.2583661,0.88,0.2551702
