Time, X, Y, Z
0,0.2008425,0.9502772,0.01317292
0.007644653,0.2014469,0.9500784,0.01300958
0.01860046,0.2020133,0.9497808,0.01284963
0.02000427,0.2020858,0.9497319,0.01282823
0.03016663,0.2025909,0.9496105,0.01296747
0.04000092,0.2028156,0.9499474,0.01327749
0.04076385,0.2028229,0.9499663,0.01329178
0.05216217,0.2027394,0.9504387,0.01376119
0.06000519,0.2025729,0.9507276,0.01400048
0.06339264,0.2024202,0.9508452,0.01408722
0.07439423,0.2020167,0.9510047,0.01415697
0.08000183,0.2018451,0.9510987,0.01417688
0.08547211,0.2017058,0.9512106,0.01421572
0.09641266,0.2014832,0.9512953,0.01426801
0.1000061,0.201413,0.9512895,0.01429321
0.1074905,0.2012339,0.9512715,0.01432341
0.1185684,0.2008979,0.9513044,0.01440401
0.1200027,0.2008488,0.9513152,0.01442029
0.1296539,0.2006793,0.9512874,0.01456544
0.1399994,0.2006171,0.9510318,0.01467036
0.140831,0.2006125,0.9510108,0.01467949
0.1518784,0.2006987,0.9506586,0.01465139
0.1600037,0.2009348,0.9504125,0.01457387
0.1631927,0.2010945,0.9503518,0.01455238
0.1740799,0.2013456,0.9500231,0.01458326
0.1800003,0.2015469,0.9498956,0.01467346
0.185379,0.2017945,0.9497285,0.01483335
0.1963196,0.2020532,0.9493215,0.01501819
0.2000046,0.2021137,0.9491783,0.01509815
0.2074127,0.2020766,0.9489401,0.01531014
0.21875,0.2020775,0.9487118,0.01563634
0.2200012,0.2020885,0.9486876,0.01567636
0.2299805,0.202059,0.9485215,0.01585977
0.2400055,0.2019006,0.9485565,0.01602313
0.2408218,0.2018874,0.948562,0.01603259
0.2518616,0.2018613,0.9485937,0.01619168
0.2600021,0.2019157,0.9485726,0.01642925
0.2630386,0.2019843,0.948534,0.01656289
0.2739868,0.2021295,0.9483697,0.01686598
0.2799988,0.2021459,0.9482328,0.01704001
0.2854385,0.2020708,0.9480982,0.01722357
0.2964401,0.2020324,0.947953,0.01742707
0.3000031,0.2020336,0.9479398,0.01750994
0.3074188,0.2020332,0.9479325,0.0175875
0.318512,0.201894,0.9479803,0.01770158
0.3199997,0.2018487,0.9479845,0.01772115
0.3298111,0.2015645,0.9480445,0.01789315
0.340004,0.2013836,0.948114,0.01799408
0.3409653,0.2013629,0.9481195,0.0179942
0.352005,0.201215,0.9482011,0.01806432
0.3600006,0.2012106,0.9482211,0.01822795
0.3631821,0.2012673,0.9482313,0.01834452
0.3741837,0.2014805,0.9483095,0.01870766
0.3800049,0.2016014,0.9482814,0.01878613
0.3853531,0.2017752,0.9481894,0.01892427
0.396347,0.2021375,0.9480323,0.01906481
0.4000015,0.2022878,0.9480008,0.01905622
0.4076309,0.2025478,0.9478595,0.01905775
0.4185486,0.2027066,0.9478841,0.01911846
0.4200058,0.2027226,0.947915,0.01911865
0.4298248,0.2030336,0.9481297,0.01895703
0.4400024,0.203296,0.9482319,0.01850116
0.4408798,0.203315,0.9482394,0.01845509
0.4518509,0.203598,0.9483765,0.01796271
0.4599991,0.2037408,0.9481855,0.01796527
0.4630203,0.2038996,0.9483929,0.01785898
0.4739609,0.2043026,0.9486874,0.01759954
0.4800034,0.2044832,0.9486985,0.01728046
0.4852142,0.2045611,0.9486355,0.01701747
0.4962387,0.2048549,0.9486185,0.01653525
0.5,0.2047253,0.9486083,0.01622474
0.5075684,0.2045806,0.9486614,0.01598454
0.5183411,0.204412,0.948735,0.01581417
0.5200043,0.2045032,0.9487216,0.01570229
0.5296097,0.204539,0.9486824,0.015301
0.5400009,0.2045969,0.9486104,0.01491606
0.5406723,0.2047015,0.9485508,0.01490957
0.5516815,0.2048806,0.9483342,0.01462041
0.5600052,0.2050648,0.9478525,0.01413256
0.562973,0.2050737,0.9478372,0.01412025
0.5741119,0.2051711,0.947714,0.01387155
0.5800018,0.2052786,0.9476436,0.01387256
0.5852661,0.2054208,0.9475772,0.01374319
0.5963974,0.2056169,0.9473889,0.0135307
0.6000061,0.2058308,0.9473398,0.0134934
0.6072617,0.2060746,0.9472476,0.0133014
0.6184006,0.2063668,0.9470989,0.01308152
0.6200027,0.2063789,0.9472115,0.01310822
0.6295471,0.2065104,0.9471657,0.01284733
0.6399994,0.2066933,0.9471158,0.01264158
0.640831,0.2067172,0.9471297,0.01257262
0.6517868,0.2067889,0.9470847,0.01227418
0.6600037,0.2068567,0.947163,0.01186769
0.6631241,0.2068896,0.947198,0.01169443
0.6740417,0.2069676,0.9472573,0.01132405
0.6800003,0.2069891,0.9472204,0.01091382
0.685524,0.2070266,0.9472023,0.01054724
0.6963348,0.2069874,0.9471124,0.0100196
0.7000046,0.2072862,0.9469779,0.009946838
0.7072906,0.2075851,0.9468023,0.009553224
0.7184219,0.2078834,0.946455,0.009261832
0.7200012,0.2079418,0.9463543,0.009311706
0.7295074,0.2083369,0.9459618,0.009123772
0.7400055,0.2088128,0.9457021,0.00890778
0.7406769,0.2088381,0.9456818,0.008895934
0.7517471,0.2091783,0.9453461,0.008756444
0.7600021,0.209008,0.9450554,0.008684486
0.7628708,0.2089843,0.9449218,0.008652389
0.7740707,0.2088281,0.944717,0.008374304
0.7799988,0.20885,0.9446065,0.008341238
0.7851715,0.208823,0.9444742,0.008265972
0.7963867,0.2090017,0.9446133,0.008264884
0.8000031,0.2090726,0.9446507,0.008271381
0.8076477,0.2091835,0.9447598,0.008312643
0.8183289,0.2092375,0.9448197,0.008291945
0.8199997,0.2091935,0.9448465,0.008228078
0.8294907,0.2091038,0.94494,0.008100942
0.840004,0.2090119,0.9449912,0.007863164
0.8407593,0.2089974,0.9449888,0.00784868
0.8517532,0.2086067,0.9448686,0.007541373
0.8600006,0.2087132,0.9449986,0.007446826
0.8629608,0.2087289,0.9450376,0.007380486
0.8739395,0.208796,0.9451289,0.007348537
0.8800049,0.2088376,0.9451351,0.007156104
0.8850327,0.2088844,0.9451888,0.007016972
0.8960342,0.2090806,0.9453154,0.006773695
0.9000015,0.209119,0.9453409,0.00666675
0.9073639,0.2092667,0.9454517,0.006423682
0.9184341,0.2096275,0.9453442,0.006132096
0.9200058,0.2096445,0.9453911,0.006030738
0.9293442,0.2099061,0.94539,0.005609915
0.9400024,0.2101255,0.9454387,0.004890636
0.9405899,0.2101372,0.9454408,0.00485605
0.9516754,0.2101939,0.9453254,0.004220903
0.9599991,0.2103827,0.9454246,0.003442749
0.9627151,0.2104606,0.9454522,0.003136456
0.9738464,0.2106065,0.9455425,0.002515271
0.9800034,0.2105319,0.945621,0.00186789
0.9849472,0.2105129,0.9456822,0.001330525
0.996048,0.2104336,0.9459494,0.000406608
1,0.2104206,0.9460506,0.0002482533
1.007195,0.210363,0.9462476,-0.0002385825
1.018143,0.2104016,0.9466587,-0.001182467
1.020004,0.2103978,0.946685,-0.001350865
1.029617,0.2104374,0.946861,-0.002239645
1.040001,0.2109035,0.9470232,-0.002835751
1.040527,0.210924,0.9470397,-0.002877757
1.051567,0.2110713,0.9473376,-0.003618196
1.060005,0.2113822,0.9476284,-0.00402756
1.06295,0.2114944,0.9477497,-0.004232138
1.073792,0.2117169,0.9481701,-0.004796073
1.080002,0.2116712,0.9484416,-0.0053671
1.085266,0.2116715,0.9486979,-0.005842626
1.0961,0.2114018,0.9493619,-0.006500259
1.100006,0.2113858,0.9495182,-0.006622344
1.107101,0.2112895,0.9498831,-0.006967545
1.118416,0.211134,0.9503753,-0.00756906
1.120003,0.2111634,0.9505445,-0.007686183
1.129425,0.2111367,0.9512801,-0.008346722
1.139999,0.2110145,0.9528309,-0.009405226
1.140282,0.2110137,0.9528415,-0.00941284
1.151611,0.2108979,0.9546921,-0.01073313
1.160004,0.2109731,0.9562293,-0.01181399
1.162567,0.2109869,0.9568297,-0.01222922
1.17395,0.2111991,0.9587668,-0.01349088
1.18,0.2112805,0.9598677,-0.01427516
1.185036,0.2113584,0.9609321,-0.01501444
1.196144,0.2110952,0.9623449,-0.0154022
1.200005,0.2111022,0.9627622,-0.01563095
1.207077,0.211074,0.9637493,-0.01608676
1.218246,0.2114906,0.9648632,-0.01824539
1.220001,0.2112833,0.9651816,-0.01855919
1.229553,0.210865,0.9666245,-0.02044219
1.240005,0.2104748,0.9683422,-0.02327727
1.240486,0.2104541,0.968416,-0.02339396
1.251434,0.2103084,0.9697046,-0.02634818
1.260002,0.2101329,0.9710404,-0.02803007
1.262756,0.2100576,0.9715956,-0.02878701
1.273766,0.2092702,0.9728196,-0.02979326
1.279999,0.2089502,0.9736831,-0.03092306
1.284889,0.2086469,0.9744769,-0.03190484
1.295906,0.2082974,0.9760001,-0.03429146
1.300003,0.20849,0.9764189,-0.03561547
1.307388,0.2087102,0.9773591,-0.03807123
1.318306,0.2086056,0.9781373,-0.04032878
1.32,0.2085298,0.9782861,-0.04096019
1.329369,0.2083385,0.9791675,-0.04414049
1.340004,0.2048692,0.9801247,-0.04488987
1.340477,0.204766,0.9801612,-0.04494307
1.351929,0.2013851,0.981079,-0.04433353
1.360001,0.2002229,0.9812708,-0.04524593
1.362625,0.199639,0.9813887,-0.04556206
1.37365,0.1994169,0.9819528,-0.04794568
1.380005,0.1989542,0.9822437,-0.04927953
1.384872,0.1985563,0.9825201,-0.05050113
1.396011,0.1977545,0.982965,-0.05174298
1.751442,0.1127236,0.9899825,-0.02317937
1.760002,0.1121543,0.9892569,-0.0219309
1.762634,0.1118959,0.9889337,-0.02135897
1.77346,0.1106993,0.9886768,-0.02060479
1.779999,0.109868,0.9883602,-0.02035129
1.78466,0.1091215,0.9880709,-0.02014515
1.795792,0.1079138,0.9875802,-0.01987826
1.800003,0.1076024,0.9873213,-0.01985902
1.806885,0.1070606,0.9868139,-0.01984761
1.817932,0.1066469,0.9863836,-0.02002478
1.82,0.1065295,0.9862929,-0.02007315
1.829063,0.1059155,0.9858517,-0.02034582
1.840004,0.1054757,0.9852648,-0.02068398
1.840332,0.1054668,0.9852476,-0.02069211
1.85128,0.1050181,0.9849612,-0.02123095
1.860001,0.1046722,0.9850135,-0.02187672
1.862503,0.1045394,0.9850454,-0.02213496
1.87336,0.1039432,0.9853706,-0.02304712
1.880005,0.1035541,0.9856253,-0.02356137
1.884567,0.1032409,0.9858355,-0.02396582
1.895691,0.1023792,0.9863687,-0.02464561
1.900002,0.1020069,0.9866732,-0.02488445
1.90683,0.1013381,0.9872469,-0.02529357
1.918297,0.1003221,0.9882416,-0.02569893
1.920006,0.1001873,0.9884163,-0.02574606
1.928902,0.09948599,0.9894385,-0.02597679
1.940002,0.09863824,0.9909966,-0.02633058
1.940277,0.09861955,0.9910289,-0.02633987
1.951218,0.09790179,0.9925811,-0.02694147
1.959999,0.097109,0.9939317,-0.02763316
1.962311,0.09679925,0.9944441,-0.02790229
1.973381,0.09608389,0.9960639,-0.02835895
1.980003,0.09576969,0.9973457,-0.0286661
1.984863,0.09552237,0.9985203,-0.02893353
1.995705,0.09519822,1.000182,-0.02915516
2,0.09486157,1.000824,-0.02927528
2.006783,0.09414166,1.001913,-0.02950223
2.018089,0.09320073,1.003617,-0.02968898
2.020004,0.09300758,1.003959,-0.02970777
2.028938,0.09205522,1.005909,-0.02971965
2.039833,0.09153311,1.00765,-0.03010438
2.040001,0.09152452,1.007679,-0.03011103
2.051025,0.0906402,1.009235,-0.03040048
2.060005,0.09001398,1.01018,-0.0306952
2.062241,0.08985379,1.01042,-0.03077208
2.07341,0.08953844,1.011481,-0.0311861
2.080002,0.089312,1.012105,-0.03138155
2.084373,0.08912507,1.012588,-0.03151959
2.095497,0.08883396,1.013224,-0.03177803
2.100006,0.0886966,1.013426,-0.03183509
2.106552,0.08845389,1.013672,-0.03189464
2.11776,0.0883178,1.013892,-0.03207307
2.120003,0.08830164,1.013922,-0.03211427
2.128815,0.08830062,1.0139,-0.03223947
2.139977,0.08841936,1.013715,-0.03230146
2.139999,0.08841965,1.013715,-0.03230154
2.151215,0.08863705,1.013292,-0.03227525
2.160004,0.08875498,1.012931,-0.03228059
2.16217,0.0887825,1.012843,-0.03228432
2.17318,0.08893803,1.012402,-0.03223821
2.18,0.08920269,1.012092,-0.03210491
2.184547,0.08946788,1.011839,-0.0319746
2.195557,0.09000683,1.011308,-0.03169294
2.200005,0.09025061,1.011106,-0.03155321
2.20649,0.09068052,1.010841,-0.03131276
2.218636,0.09145904,1.010494,-0.03109402
2.220001,0.09154265,1.010452,-0.03106618
2.228745,0.09211273,1.010162,-0.03087772
2.239761,0.09270345,1.009819,-0.03069029
2.240005,0.0927176,1.009811,-0.0306862
2.250916,0.09338991,1.009408,-0.03060111
2.260002,0.09402844,1.009149,-0.03054415
2.261971,0.09417316,1.009094,-0.03053151
2.273445,0.0949038,1.008746,-0.03041093
2.279999,0.09536399,1.008601,-0.03035681
2.284294,0.09571606,1.00851,-0.03032058
2.295403,0.09658253,1.008242,-0.03034435
2.300003,0.09705006,1.008075,-0.03038506
2.306427,0.09788425,1.007774,-0.03046294
2.31752,0.09929852,1.00756,-0.03067781
2.32,0.09965374,1.007526,-0.03074035
2.328613,0.1008163,1.007495,-0.03104142
2.339935,0.1022722,1.007334,-0.03111924
2.340004,0.1022818,1.007333,-0.03111956
2.350876,0.1036777,1.007304,-0.03100756
2.360001,0.1047845,1.007151,-0.03089403
2.362137,0.1050406,1.007107,-0.03087233
2.37323,0.1065238,1.006906,-0.03090384
2.380005,0.1075624,1.006805,-0.03098375
2.384239,0.1083465,1.006757,-0.03106507
2.3955,0.1096908,1.006516,-0.03132188
2.400002,0.1102498,1.006457,-0.03143035
2.406487,0.1111676,1.006401,-0.03163937
2.417542,0.1123651,1.006367,-0.0320286
2.420006,0.1126473,1.00638,-0.032116
2.428795,0.1137064,1.006339,-0.03252926
2.440002,0.114649,1.006327,-0.0330878
2.440018,0.1146509,1.006327,-0.03308907
2.450897,0.115118,1.006432,-0.03361596
2.459999,0.1151535,1.006583,-0.03385107
2.46212,0.1151238,1.006631,-0.0339059
2.473503,0.1149065,1.00655,-0.03432009
2.480003,0.114696,1.006459,-0.03466557
2.484276,0.1144635,1.006383,-0.03496023
2.495377,0.1139918,1.006023,-0.03550941
2.5,0.1138076,1.005776,-0.03575574
2.506393,0.1135538,1.005143,-0.03609589
2.517639,0.1131395,1.004329,-0.03631468
2.520004,0.1130466,1.004151,-0.03634311
2.528732,0.1127598,1.003255,-0.03650795
2.539932,0.1122726,1.002364,-0.03671407
2.540001,0.1122689,1.002358,-0.03671543
2.550896,0.1113181,1.001464,-0.03663759
2.560005,0.1105121,1.000493,-0.03661984
2.561943,0.1103463,1.000262,-0.03662406
2.573021,0.1094742,0.9989115,-0.03683616
2.580002,0.1087359,0.997973,-0.03709286
2.584526,0.1080604,0.9972094,-0.03733891
2.59552,0.1066967,0.9964362,-0.03760445
2.600006,0.1060847,0.9961805,-0.03771439
2.606346,0.1050151,0.9956431,-0.03796785
2.617691,0.1033998,0.9945388,-0.0383581
2.620003,0.1030279,0.9942867,-0.03844164
2.628639,0.1014521,0.9929732,-0.03880788
2.639999,0.09978941,0.9913836,-0.03946894
2.640053,0.09979154,0.9913855,-0.03946812
2.650795,0.09858814,0.9902072,-0.03992908
2.660004,0.09741671,0.9889956,-0.04018211
2.66201,0.09704475,0.9886001,-0.04024171
2.672989,0.09588374,0.9870566,-0.04030685
2.68,0.09505278,0.9860554,-0.04041117
2.684151,0.09437282,0.9854424,-0.04063477
2.695419,0.09295338,0.9841945,-0.04123712
2.700005,0.09236234,0.9836681,-0.04149727
2.70639,0.09149666,0.9827899,-0.04196814
2.7174,0.09021536,0.9818205,-0.04264337
2.720001,0.08988177,0.9816024,-0.04280436
2.728561,0.08894432,0.9803879,-0.04311784
2.739876,0.08812011,0.9790741,-0.04340376
2.740005,0.08811101,0.9790592,-0.04340743
2.750778,0.08745628,0.9777158,-0.04364556
2.760002,0.08683668,0.977012,-0.04396138
2.762039,0.08667563,0.9769034,-0.04405363
2.772896,0.0858606,0.9760717,-0.04467566
2.779999,0.08529692,0.9753742,-0.04508573
2.784004,0.08497098,0.974876,-0.04534403
2.795044,0.08453093,0.9736295,-0.04572356
2.800003,0.08435926,0.9729687,-0.04587561
2.806274,0.08429307,0.9724779,-0.04561561
2.817413,0.08426958,0.9716434,-0.04541215
2.82,0.08428596,0.9714233,-0.04542096
2.82843,0.08427188,0.9706415,-0.04554424
2.839592,0.0843166,0.9696425,-0.04590219
2.840004,0.08432151,0.9696012,-0.04591957
2.850685,0.08456554,0.9682345,-0.0460479
2.860001,0.08474188,0.9668781,-0.04600736
2.861832,0.08476537,0.9665796,-0.04599109
2.872932,0.08491175,0.9648649,-0.04586469
2.880005,0.08506861,0.9636644,-0.0457381
2.883995,0.08524854,0.9629212,-0.04557784
2.895279,0.08581611,0.9614347,-0.04525299
2.900002,0.08616146,0.9608093,-0.04513137
2.906578,0.08681664,0.9600249,-0.04496463
2.917595,0.08762994,0.9589831,-0.0447824
2.920006,0.08782379,0.9587367,-0.04474153
2.928696,0.08865716,0.957623,-0.04489116
2.939545,0.08949272,0.956035,-0.04518566
2.940002,0.08953261,0.9559495,-0.04520336
2.950737,0.09040825,0.953797,-0.0452718
2.959999,0.09097145,0.9522531,-0.04489508
2.961739,0.09108536,0.9519629,-0.04480301
2.972885,0.0917431,0.9504976,-0.04433924
